id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,GCaMP_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2,dHbT_modularity_whole
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.044109022090076624,0.14139972825577773,0.04912190637322302,0.02216196982306851,0.027827817461604922,0.022939149981969036
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.03451919807704731,0.11859257940684667,0.03987521517458123,0.02098213396162108,0.018056118440094096,0.019384739967474782
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.047234882979298495,0.1654199128039831,0.05387740387420715,0.030825200928247903,0.031182918253479814,0.030982981804880832
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,0.11016442816749435,0.15678987310817002,0.11428959426020868,0.04310711327057204,0.044251319117028134,0.043714245244276036
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.029978854135981732,0.041766963806204045,0.031355871701526754,0.020989784874252924,0.021989554932420132,0.021278672263560908
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,0.02023569295692483,0.026675252714789797,0.020930834674585664,0.02094943365349917,0.024687663419758064,0.02214155486547158
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.0789656476896044,0.08525813558719957,0.07995451043494704,0.05236458353888986,0.04446900077723664,0.05009618640542576
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.030850248474987175,0.05935055089508648,0.03288868911611727,0.01887477480293097,0.02062877530099479,0.019422448392075912
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.02481707876944173,0.04180651047760444,0.0262973687088393,0.027265382477997646,0.033130056836113426,0.028807900726850084
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.02117685475176109,0.03195383811497482,0.02248289922433641,0.023267168431859032,0.02203440997122292,0.02272392352837141
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.021718357074402936,0.030393299511920078,0.022843020508739945,0.028203893073815624,0.037913634101051634,0.031136625919511742
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.025431326384660412,0.03553142582734838,0.02596890539667676,0.02567388355199849,0.025365133777113684,0.025616416788469872
M316-10_v2_no_mvmt,316,True,10,3.0,"(104, 7207)",F,0.03203879540882073,0.05251632679620938,0.03417276200927095,0.024885945112102792,0.031021636093510836,0.026136035172027994
