id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,GCaMP_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2,dHbT_modularity_whole
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,0.712989486154127,0.8285932996666413,0.7604034949525301,0.02272327745121944,0.023182207475817083,0.022939149981969036
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,0.9021101721966631,0.9238823312869671,0.9149234957351308,0.01804605050332023,0.018172315769170427,0.01810766008097002
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,0.6991696369829082,0.8030209805779382,0.7498200067610031,0.030787942711198557,0.03118451174030542,0.030982981804880832
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,0.8430920343914203,0.9173660323339755,0.8809199079987334,0.04437377150442688,0.043129347266607235,0.043714245244276036
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,0.8768182127518481,0.9384736661047137,0.9064181749612825,0.021275132008480073,0.021280946459719667,0.021278672263560908
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,0.9178079604339424,0.9846326236688367,0.9501841981569005,0.02214628240643575,0.022127019544935476,0.02214155486547158
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,0.5887291432792454,0.8945005770419641,0.7106763306096373,0.05146533994706052,0.04885700994931792,0.05009618640542576
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,0.9823263653491615,1.0003767178503196,0.9912801105731952,0.019446583680137568,0.01938858767499263,0.019422448392075912
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,0.9438122011065989,0.9445865270639655,0.9443453464822924,0.029115679746044825,0.028525037400619246,0.028807900726850084
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,0.9624431648118934,0.9670323144767459,0.9649923719748583,0.022842804150431727,0.022603793848184,0.02272392352837141
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,1.0195808679192073,1.0102231921282927,1.0151384333806213,0.034993287478767995,0.028696374570120444,0.031136625919511742
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,0.9833166960017061,0.9799512919669284,0.9817965949925108,0.02554414343520571,0.02568919561726288,0.025616416788469872
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,0.958355480065157,0.9448346522707467,0.9518181930751967,0.028176983507706033,0.026763445474046278,0.02739846031687775
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,0.9794034314951303,0.9935264885041089,0.9865510220429361,0.02456665334693105,0.024679861805583583,0.024624625383105517
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,0.9092400969392449,0.9535294040296772,0.9300627274108664,0.03120132046414802,0.03121819509621387,0.031211539263734538
