id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,GCaMP_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2,dHbT_modularity_whole
M39-12_v2_null_shuffle,39,False,12,,"(88, 4695)",F,0.7302099315762637,0.8552989048640689,0.7849230125597184,0.0229928986084151,0.022881008075516816,0.022939149981969036
M42-12_v2_null_shuffle,42,False,12,,"(113, 4794)",F,0.8732523379131544,0.9468472489616961,0.9084346181782319,0.019083564499444195,0.019721475178892042,0.019384739967474782
M44-12_v2_null_shuffle,44,False,12,,"(93, 4987)",M,0.7263343855685142,0.8262228322158861,0.7754424430024592,0.03022780230104845,0.03193229468501794,0.030982981804880832
M45-12_v2_null_shuffle,45,False,12,,"(81, 4877)",M,0.877203908730494,0.9307983809302568,0.9068577518928764,0.043188880249710945,0.04425583751082342,0.043714245244276036
M46-12_v2_null_shuffle,46,False,12,,"(116, 4835)",M,0.8543874215900354,0.8999578600882251,0.8789472017757299,0.02117088455512287,0.02139934217532608,0.021278672263560908
M251-6_v2_null_shuffle,251,False,6,,"(52, 4966)",F,0.9689379556468708,1.0050159587725378,0.9866469452924428,0.022794652418055086,0.021570540807524567,0.02214155486547158
M254-6_v2_null_shuffle,254,False,6,,"(51, 4955)",M,0.620841258446111,0.8860121004166144,0.7375605735389056,0.046879500588369004,0.053316230321947274,0.05009618640542576
M308-8_v2_null_shuffle,308,False,8,2.0,"(88, 7378)",F,0.9939997231854913,1.009893655248324,1.001911448457145,0.01942987342499946,0.01941267114048202,0.019422448392075912
M308-10_v2_null_shuffle,308,False,10,2.0,"(111, 7328)",F,0.9929161321335608,0.9721527792991509,0.9829494627664845,0.029819470321276714,0.027930276333234697,0.028807900726850084
M308-12_v2_null_shuffle,308,False,12,2.0,"(135, 7630)",F,0.9570536556567275,0.9721509842910818,0.9646351416264671,0.022778599959067777,0.02265408313195904,0.02272392352837141
M308-14_v2_null_shuffle,308,False,14,2.0,"(107, 7269)",F,1.0014883260669751,0.9706329553378883,0.9861867613064189,0.03186279748021867,0.030480213796223107,0.031136625919511742
M316-8_v2_null_shuffle,316,True,8,3.0,"(83, 7579)",F,1.0079249214123638,0.9647717466644142,0.9863481030805181,0.025544985420702222,0.02568537108924016,0.025616416788469872
M316-10_v2_null_shuffle,316,True,10,3.0,"(104, 7207)",F,0.9559006594986832,0.9780466297627664,0.9668487449317409,0.027550526321070655,0.027252123374981403,0.02739846031687775
M316-12_v2_null_shuffle,316,True,12,3.0,"(94, 7392)",F,1.0007239571159396,0.9617746992186034,0.9815261628494101,0.024650525804498554,0.024599315572581285,0.024624625383105517
M322-6_v2_null_shuffle,322,True,6,3.0,"(140, 7572)",M,0.9243629483289567,0.9090313105730792,0.918581486734549,0.03139687017948718,0.031027640421777015,0.031211539263734538
M322-8_v2_null_shuffle,322,True,8,3.0,"(83, 7594)",M,0.6064548319226205,0.8503956839178215,0.7076992970335746,0.028473617188793054,0.02872425822451506,0.02860037111338932
M322-10_v2_null_shuffle,322,True,10,3.0,"(45, 7308)",M,0.9574292793106842,0.9932353596208743,0.9749051290085359,0.02883152764738319,0.02885324760508925,0.028846541128120944
M322-12_v2_null_shuffle,322,True,12,3.0,"(182, 7577)",M,0.9511415939639588,0.9478556628835669,0.9496397389440766,0.030952959882705917,0.030277979267172517,0.030605578334551794
M353-6_v2_null_shuffle,353,True,6,5.0,"(97, 7497)",M,0.924600590844966,0.9481935396136374,0.9367091135600647,0.026444993341423202,0.02638057921786576,0.026415628438705426
M353-8_v2_null_shuffle,353,True,8,5.0,"(109, 7400)",M,0.8250819880049648,0.8992814577436141,0.8588961339011806,0.02836477918726643,0.02843913940637965,0.028405001305261215
M353-10_v2_null_shuffle,353,True,10,5.0,"(113, 7428)",M,0.4928189032288137,0.8972314474706491,0.6371071504077349,0.031192277445529843,0.03164807133761868,0.03141438270576248
M361-6_v2_null_shuffle,361,True,6,5.0,"(108, 7428)",F,0.9536799828636163,0.9888964345183316,0.9711141848899858,0.019989265043763478,0.019886944582005343,0.01993850076056927
M365-6_v2_null_shuffle,365,True,6,6.0,"(87, 7428)",F,0.91560726411962,0.9739365196434469,0.9438915667363666,0.023532567005292163,0.022852318692516527,0.023172893597265164
M367-6_v2_null_shuffle,367,True,6,6.0,"(162, 7529)",F,0.9399064817114515,0.9918922450523792,0.9651346009415905,0.02636369068532568,0.026279223743459645,0.026321152998831508
M374-6_v2_null_shuffle,374,True,6,6.0,"(72, 7417)",M,0.601904997363359,0.8582802318287168,0.7141105829630049,0.01868395477970649,0.01887441783887657,0.018773915821588893
M374-8_v2_null_shuffle,374,True,8,6.0,"(68, 7125)",M,0.8333721304636635,0.9627854523040519,0.893995203065056,0.02033057743128783,0.019814502481423125,0.02006700556089956
M374-10_v2_null_shuffle,374,True,10,6.0,"(68, 7649)",M,0.906729129225245,0.944990336896015,0.9254992075391504,0.020982997411484853,0.020298414771620477,0.02063103181023851
M387-6_v2_null_shuffle,387,True,6,7.0,"(90, 7540)",M,0.9697244646535194,0.9851695987121163,0.9775436005557678,0.021301601268540516,0.02135595470944961,0.021328509395068574
M387-10_v2_null_shuffle,387,True,10,7.0,"(117, 7462)",M,0.9622346842664451,0.9609869909694764,0.9619228020169621,0.031815422791258936,0.029676644617274206,0.030669080531592542
M396-6_v2_null_shuffle,396,True,6,7.0,"(89, 7528)",F,0.666426119838866,0.8977933808745387,0.7721950527674055,0.015817542554390635,0.015687637058758447,0.015753883138573763
M397-6_v2_null_shuffle,397,True,6,7.0,"(69, 7503)",F,1.0142279861674595,0.998445569919284,1.0065217778422466,0.01781633088488176,0.018347407899975604,0.018066827926876066
M410-6_v2_null_shuffle,410,True,6,9.0,"(99, 7428)",M,0.978702547655924,0.9625613313319891,0.9714093325722134,0.02185683938554874,0.021458233064329736,0.02165522254420057
M410-8_v2_null_shuffle,410,True,8,9.0,"(102, 7532)",M,0.9637411465095991,0.9962994765556735,0.979688993149611,0.02065692435608274,0.02284660215330593,0.02151837929829203
M410-10_v2_null_shuffle,410,True,10,9.0,"(71, 7137)",M,0.8988514495294508,0.9521865205934643,0.9265029585774854,0.02412041581679569,0.028616755675473834,0.02593723249283751
M412-8_v2_null_shuffle,412,True,8,9.0,"(135, 7515)",F,0.9795667575000083,0.9757554060402173,0.9778464638304695,0.024070332709870065,0.02523885036038613,0.024618795026537906
M412-10_v2_null_shuffle,412,True,10,9.0,"(101, 7163)",F,0.9435078619622175,0.9662994667404818,0.9548267538307214,0.01993632072494522,0.02016991346842091,0.02005880275699565
M415-6_v2_null_shuffle,415,True,6,9.0,"(131, 7585)",F,0.9404486641079965,0.9536225881660911,0.947028715842636,0.02440847580104996,0.024097932680967427,0.024255462497621713
