id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,GCaMP_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2,dHbT_modularity_whole
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,0.045728568631759885,0.15079428296374325,0.06009299552427432,0.022756375986635966,0.025840545721000266,0.02359898269489309
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,0.033432503615866124,0.10714371847505086,0.04227673764348296,0.018224050639718735,0.01794074498737358,0.01810766008097002
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.07013652302400637,0.1685877930721034,0.09116429514130779,0.030082972937914766,0.030726240657883153,0.030380354584047746
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,0.04969401826025306,0.1427184220991615,0.06142870030450789,0.04595255832801868,0.04681453908968738,0.046515993280435576
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.023806104210891202,0.041183725742401235,0.025400817606268878,0.021414161037013425,0.023818894515626254,0.02199148474739046
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,0.017292124763263146,0.02836999485269782,0.018174772193737226,0.02326395935297682,0.02506051570992044,0.024047530182449543
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.06133941827397693,0.0812177529848636,0.0641942330960525,0.04675813566221818,0.0429528468220381,0.045450269455466256
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.02826680785331671,0.0661993746722369,0.03205271405255006,0.020923287195886948,0.01955101769396483,0.02060668739774063
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.02073778294594708,0.04752358428817144,0.022785868547242516,0.030515841820593602,0.030527266613475323,0.030556494004844253
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.01943538187423558,0.02840855305720937,0.020487649870122315,0.022255472475607958,0.02196148009649462,0.02212690890303374
M308-14_v2_trim_mvmt,308,False,14,2.0,"(107, 7269)",F,0.020326124226795344,0.02934285870653431,0.021354995601230928,0.0336081697309645,0.034534727353257064,0.034059103437160614
M316-8_v2_trim_mvmt,316,True,8,3.0,"(83, 7579)",F,0.025126265681338057,0.03486281707558179,0.025669224676358304,0.025284991334295823,0.025906241136790905,0.025518874636767098
M316-10_v2_trim_mvmt,316,True,10,3.0,"(104, 7207)",F,0.03442327114538442,0.059913468736881664,0.03822598616178286,0.025827452799882238,0.03174264992144462,0.02739846031687775
M316-12_v2_trim_mvmt,316,True,12,3.0,"(94, 7392)",F,0.026112038234060327,0.04618581101744589,0.02861050470727453,0.025104184270556194,0.02615258343198049,0.025444572384448607
M322-6_v2_trim_mvmt,322,True,6,3.0,"(140, 7572)",M,0.036256596413371936,0.08813042096651375,0.04096538824373406,0.032557664690270376,0.031930196137450274,0.03231381880633335
M322-8_v2_trim_mvmt,322,True,8,3.0,"(83, 7594)",M,0.0302573673531608,0.07090741049941644,0.0327992085101835,0.027919707439578473,0.030245157842152474,0.0287744941767876
