id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,GCaMP_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2,dHbT_modularity_whole
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.04885552360042274,0.09717244777143051,0.05281396494251531,0.0343231547815612,0.0401915074587031,0.035187877721820984
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.03162364033956715,0.13652385543777132,0.03461006905298672,0.02698212232012577,0.023796694426855357,0.025250018329811965
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.03051337352026828,0.05304719296933353,0.031644593878692354,0.02167828774794724,0.022503521993548832,0.0219588613587706
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,0.027616750361398525,0.04302996582405656,0.028116952925342317,0.03694082704328045,0.03540269711419679,0.03659032072336055
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.029498191677299154,0.03844596345194476,0.03017951550634372,0.018255699542642546,0.020529054716745317,0.018821365445533634
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,0.02986667473894435,0.0460903673113027,0.031466437294813625,0.023412184827874577,0.023787661427114276,0.02357112064643462
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.033961844307975775,0.039661423355182086,0.034576461080227064,0.028341355859900674,0.026690503577706814,0.02759654212374549
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.03940212735648845,0.10570903164581244,0.04370363751230785,0.027476796155079895,0.031046926679734545,0.02841447601163338
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.03496841260995774,0.11192907698126667,0.03984825788341044,0.028643954137235562,0.036485430540239866,0.030659593907865212
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.02912729971862881,0.050506200896536436,0.03138224566826007,0.03056725640000308,0.02946052577316846,0.030216965173963623
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.03063076733390776,0.045003526215869456,0.03254535395455443,0.030538650615411344,0.0363314813531481,0.03241186311587418
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.025442810781809672,0.055972138388488024,0.027301323041388208,0.02238176784712668,0.0225619370856765,0.022483328661611693
M316-10_v2_no_mvmt,316,True,10,3.0,"(104, 7207)",F,0.024304650339679927,0.058032146972371176,0.026745464478789654,0.02199847178081174,0.02632517211093441,0.023003005835882374
M316-12_v2_no_mvmt,316,True,12,3.0,"(94, 7392)",F,0.02849035154866691,0.07290655306730173,0.031624848189200604,0.024467113473290045,0.027689112727234465,0.025238294888529703
M322-6_v2_no_mvmt,322,True,6,3.0,"(140, 7572)",M,0.02339215848230734,0.045054419350206716,0.02457351213902088,0.023362446962722123,0.025698848169664053,0.024068951650926936
M322-8_v2_no_mvmt,322,True,8,3.0,"(83, 7594)",M,0.027153044842116586,0.06042389024503732,0.02842511080951884,0.024870717905437812,0.025371501735387172,0.025062619095438186
M322-10_v2_no_mvmt,322,True,10,3.0,"(45, 7308)",M,0.02290321033146957,0.0379828925501714,0.023705251898880744,0.02252271399126843,0.02197945873486323,0.022339259113902065
M322-12_v2_no_mvmt,322,True,12,3.0,"(182, 7577)",M,0.03443510069430584,0.07759841583439316,0.03817674059541381,0.026219396736989066,0.02861380590123668,0.027131182672713566
M353-6_v2_no_mvmt,353,True,6,5.0,"(97, 7497)",M,0.04019904729881999,0.0746872139905149,0.04405719817131947,0.02834307766489783,0.034454934157080286,0.02978872068787218
M353-8_v2_no_mvmt,353,True,8,5.0,"(109, 7400)",M,0.032032671358917665,0.05887941131002412,0.034125751871488676,0.025102903304095814,0.025489713069975366,0.025310876831972962
M353-10_v2_no_mvmt,353,True,10,5.0,"(113, 7428)",M,0.030749859417070792,0.060905317190305855,0.032873413594595884,0.027116234315609958,0.03806148777795324,0.02880219602685505
M361-6_v2_no_mvmt,361,True,6,5.0,"(108, 7428)",F,0.024253625796584983,0.05211045601046304,0.025506288326307126,0.02213445176888695,0.024434200536674448,0.02284095290357516
M365-6_v2_no_mvmt,365,True,6,6.0,"(87, 7428)",F,0.03519812830106609,0.06385042489783557,0.03778677948487032,0.030532408016513253,0.031956463854589084,0.03113583715305816
M367-6_v2_no_mvmt,367,True,6,6.0,"(162, 7529)",F,0.022506460489529888,0.04392867514140122,0.02395124922984948,0.022204286097790446,0.024146456966060322,0.022861155748426617
M374-6_v2_no_mvmt,374,True,6,6.0,"(72, 7417)",M,0.06550231449270198,0.08336515044946279,0.0702902134147965,0.04278616146629293,0.05675237478100844,0.04621819297804204
M374-8_v2_no_mvmt,374,True,8,6.0,"(68, 7125)",M,0.0388548647816698,0.07621765327828738,0.040008287667467377,0.04129384838760022,0.043441084300311815,0.042431259658738285
M374-10_v2_no_mvmt,374,True,10,6.0,"(68, 7649)",M,0.04074097558075113,0.07043490018029237,0.042339907625950426,0.04093653122474049,0.04116897079989,0.04108640009695217
M387-6_v2_no_mvmt,387,True,6,7.0,"(90, 7540)",M,0.035454136622098925,0.12435434675774847,0.039345000425242214,0.026300236479778468,0.027098422890044223,0.02656265656181257
M387-10_v2_no_mvmt,387,True,10,7.0,"(117, 7462)",M,0.042694834444061726,0.08249833807745129,0.04714325698893925,0.03322139694715282,0.04910392840158217,0.036078002063306684
M396-6_v2_no_mvmt,396,True,6,7.0,"(89, 7528)",F,0.05868190417853039,0.09437436464993765,0.060660636855585814,0.05446240476442059,0.05435019413956687,0.05443671395347497
M397-6_v2_no_mvmt,397,True,6,7.0,"(69, 7503)",F,0.03873966073220863,0.07321443872367284,0.04128839317863757,0.037638977713919275,0.044552864307821176,0.03944150570398463
M410-6_v2_no_mvmt,410,True,6,9.0,"(99, 7428)",M,0.022146923969569684,0.03488491716972725,0.02270468070576683,0.023221804103882717,0.02726303999843254,0.024194895249794394
M410-8_v2_no_mvmt,410,True,8,9.0,"(102, 7532)",M,0.02322103205710547,0.03648768265412432,0.024023805629174166,0.02276053878334782,0.023859626084902726,0.02308770303184834
M410-10_v2_no_mvmt,410,True,10,9.0,"(71, 7137)",M,0.022062663575793222,0.03598835954543231,0.02274129382751447,0.022735680529530098,0.02672291971734533,0.024017232488948766
M412-8_v2_no_mvmt,412,True,8,9.0,"(135, 7515)",F,0.035782165328486694,0.049993665396081646,0.03775680816460411,0.029939181200445183,0.031013564905744397,0.030305693416893136
M412-10_v2_no_mvmt,412,True,10,9.0,"(101, 7163)",F,0.026919925947587624,0.05276072244095844,0.02784098056288781,0.02632628698307648,0.027127995608377985,0.02662592662420356
M415-6_v2_no_mvmt,415,True,6,9.0,"(131, 7585)",F,0.029365052174423957,0.056892484469948185,0.030628314409716154,0.03032562084316911,0.030945388920289273,0.030654652526259697
M415-8_v2_no_mvmt,415,True,8,9.0,"(62, 7420)",F,0.03231176380423361,0.07627824100392688,0.03444001594024275,0.039814541512300065,0.034090464039164,0.03782360652943606
