id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,GCaMP_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2,dHbT_modularity_whole
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,0.9137607387432175,0.9654659929374086,0.9391986296036401,0.034967029158847654,0.03543771890269049,0.035187877721820984
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,0.9934890874295564,0.9795840534446416,0.9867870102073464,0.023926425108515278,0.024236853869535276,0.024081105417390287
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,0.9842955548879847,0.9878529799161564,0.9864146377004462,0.022017099589060257,0.021892480267462436,0.0219588613587706
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,0.9298357888358778,0.9763899170805301,0.9529565554894415,0.036994040259087035,0.036240821336175504,0.03659032072336055
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,0.9855932197045982,0.968793627498453,0.9774607539140783,0.018985321202307764,0.018655807259897707,0.018821365445533634
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,0.7810350617574251,0.8841188271442054,0.8301201490378763,0.023442893893872236,0.023707996340165512,0.02357112064643462
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,1.0203493671576254,0.9731841359881075,0.997095115819115,0.027651985411032066,0.02754074336677685,0.02759654212374549
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,0.9599273692710513,0.9175078856930771,0.9402361424282787,0.028249608888422678,0.02858686098515429,0.02841447601163338
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,0.651503422919504,0.8665489187031501,0.7439388248680942,0.031166803593108323,0.0302205943625996,0.030659593907865212
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,0.8951279422235512,0.9276849861346946,0.91134278617124,0.03035454332184533,0.030079536569950285,0.030216965173963623
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,0.9728411998425802,0.9599212562425258,0.9665905594686371,0.03450968928649835,0.03095708764222843,0.03241186311587418
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,0.7459016955158525,0.8485425189326625,0.7952720500044018,0.02244744787197761,0.022519200102422768,0.022483328661611693
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,0.8711112582406639,0.909485482272339,0.8888973519435388,0.024211254502069082,0.023487383762496265,0.023820896082244466
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,0.9578942751319998,0.9600140489946253,0.9590861936089085,0.02515211941035959,0.025325755708134164,0.025238294888529703
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,1.01483609614923,0.9811688875001374,0.9982059502718589,0.024071058788340375,0.024064935673596077,0.024068951650926936
M322-8_v2_null_normal,322,True,8,3.0,"(83, 7594)",M,0.9937191570462715,0.9354370650695165,0.9638476718580256,0.025218687808302612,0.024926147496907473,0.025062619095438186
M322-10_v2_null_normal,322,True,10,3.0,"(45, 7308)",M,0.9974981215118884,0.9316572270172973,0.9653413074561065,0.022253050832897785,0.022422610831900315,0.022339259113902065
M322-12_v2_null_normal,322,True,12,3.0,"(182, 7577)",M,0.6664711781000652,0.8477890524865124,0.7465149939530543,0.027175000314672924,0.027081096055743194,0.027131182672713566
M353-6_v2_null_normal,353,True,6,5.0,"(97, 7497)",M,0.5991193334367261,0.7889251950054746,0.6821424562711249,0.029616414112421576,0.029973760139446744,0.02978872068787218
M353-8_v2_null_normal,353,True,8,5.0,"(109, 7400)",M,0.8781191394539819,0.9077928153293447,0.8930337464086591,0.025351319576562392,0.0252413116037068,0.025310876831972962
M353-10_v2_null_normal,353,True,10,5.0,"(113, 7428)",M,0.7535057961151461,0.8902523248324943,0.8174110728263534,0.028076709138393767,0.029778900165441113,0.02880219602685505
M361-6_v2_null_normal,361,True,6,5.0,"(108, 7428)",F,0.9792051925260241,0.9339780330233385,0.956791228307953,0.022815216315536763,0.022866965720264875,0.02284095290357516
M365-6_v2_null_normal,365,True,6,6.0,"(87, 7428)",F,0.9336776529339844,0.9214956097993633,0.9279255603107694,0.031039497560594462,0.031233320021624687,0.03113583715305816
M367-6_v2_null_normal,367,True,6,6.0,"(162, 7529)",F,0.8974842207194541,0.9313557773625566,0.9145631868790712,0.022504649810476014,0.023293221424553232,0.022861155748426617
M374-6_v2_null_normal,374,True,6,6.0,"(72, 7417)",M,1.0171182243531542,0.9540274583038529,0.9850545223722902,0.0462629052048247,0.04616577584454004,0.04621819297804204
M374-8_v2_null_normal,374,True,8,6.0,"(68, 7125)",M,0.9197430185486785,0.9560946833751635,0.9378121551932188,0.042651177465703814,0.04221347770280304,0.042431259658738285
M374-10_v2_null_normal,374,True,10,6.0,"(68, 7649)",M,0.8894526112448743,0.8846659276442768,0.887449112633619,0.04061012308196808,0.04161343036345269,0.04108640009695217
M387-6_v2_null_normal,387,True,6,7.0,"(90, 7540)",M,0.774667028688518,0.8538643250566339,0.80698785801919,0.026608207099013067,0.02651516019125811,0.02656265656181257
M387-10_v2_null_normal,387,True,10,7.0,"(117, 7462)",M,0.8981255601154379,0.8978069479837141,0.898581832906563,0.035773093358141,0.03638550612868699,0.036078002063306684
M396-6_v2_null_normal,396,True,6,7.0,"(89, 7528)",F,0.8298973696251182,0.8756213531169286,0.8528447863854648,0.05422717764991565,0.05466387155874229,0.05443671395347497
M397-6_v2_null_normal,397,True,6,7.0,"(69, 7503)",F,0.9484557839444498,0.9575422843949714,0.9531997270718513,0.039566983514614205,0.039309541612085316,0.03944150570398463
M410-6_v2_null_normal,410,True,6,9.0,"(99, 7428)",M,0.8522171729319967,0.9265912928470182,0.89013303281455,0.024417833582670086,0.02398727465767107,0.024194883023816928
M410-8_v2_null_normal,410,True,8,9.0,"(102, 7532)",M,0.8817021277729675,0.8785839574785353,0.8817252091921045,0.02296554241307564,0.02322864184528443,0.02308770303184834
M410-10_v2_null_normal,410,True,10,9.0,"(71, 7137)",M,0.9659479873136709,0.9833606146404384,0.974687922428035,0.023939196810848183,0.024095293805601888,0.024017232488948766
M412-8_v2_null_normal,412,True,8,9.0,"(135, 7515)",F,0.9826531089401387,0.9309621660108576,0.9570981449700032,0.03043344702689457,0.030173870796379548,0.030305693416893136
M412-10_v2_null_normal,412,True,10,9.0,"(101, 7163)",F,0.6142047541552527,0.8136137399361317,0.6907297645135965,0.02655299862858013,0.026699521471902837,0.02662592662420356
M415-6_v2_null_normal,415,True,6,9.0,"(131, 7585)",F,0.9247030643081823,0.9742984543668574,0.9489323914928232,0.03063427282960494,0.030668966876222902,0.030654652526259697
M415-8_v2_null_normal,415,True,8,9.0,"(62, 7420)",F,1.0108740132265166,0.9542623764629731,0.9820230050983223,0.037960992933250434,0.037684662266857155,0.03782360652943606
