id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,GCaMP_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2,dHbT_modularity_whole
M39-12_v2_null_shuffle,39,False,12,,"(88, 4695)",F,0.9691583386502051,0.9174361350913709,0.9427607612302376,0.0351898398421241,0.035181552843810714,0.035187877721820984
M42-12_v2_null_shuffle,42,False,12,,"(113, 4794)",F,0.9704264956369199,0.9285259391269394,0.9494080208241218,0.02504448982231542,0.025483677874488648,0.025250018329811965
M44-12_v2_null_shuffle,44,False,12,,"(93, 4987)",M,0.9832606671014721,0.9615531068527717,0.9724385784244385,0.021523945605150682,0.022500790653446193,0.0219588613587706
M45-12_v2_null_shuffle,45,False,12,,"(81, 4877)",M,0.9711006598354179,0.9648624149137235,0.9684342546971955,0.03626861855268577,0.03692372038009873,0.03659032072336055
M46-12_v2_null_shuffle,46,False,12,,"(116, 4835)",M,1.010190493359804,0.9695319536600452,0.989929060445019,0.018798652476992066,0.018844476535436267,0.018821365445533634
M251-6_v2_null_shuffle,251,False,6,,"(52, 4966)",F,0.7840862648600473,0.865178558190851,0.8221636654257881,0.02388207309606584,0.023305680134186473,0.02357112064643462
M254-6_v2_null_shuffle,254,False,6,,"(51, 4955)",M,0.9317510221952097,0.9965213911942021,0.9631110870605133,0.027239559340278545,0.02798961724098606,0.02759654212374549
M308-8_v2_null_shuffle,308,False,8,2.0,"(88, 7378)",F,0.9693324642022069,0.931311761772137,0.9517586586999612,0.028290912483127584,0.02853352885991721,0.02841447601163338
M308-10_v2_null_shuffle,308,False,10,2.0,"(111, 7328)",F,0.6550422041588669,0.8918840700490708,0.7580780584904007,0.031610838095400266,0.029838515953057886,0.030659593907865212
M308-12_v2_null_shuffle,308,False,12,2.0,"(135, 7630)",F,0.9516419122269801,0.9192628809107051,0.935650168327549,0.03019927797996042,0.03023125005441498,0.030216965173963623
