id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,GCaMP_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2,dHbT_modularity_whole
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,0.046579041184402536,0.09673824989706749,0.05349426660762274,0.03676677385401147,0.03994137583772651,0.03772006707927762
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,0.032335155903853656,0.0943941450593402,0.03780116128344658,0.024534464962444193,0.023559776125917156,0.024081105417390287
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.031989763318541004,0.06599795591672314,0.036556942703618575,0.021896479825206105,0.02248373948378266,0.022128150253155298
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,0.028395747220291312,0.05393982064683117,0.030418678668400326,0.03759807444633651,0.03418345478773026,0.03580901183909622
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.020903065029092168,0.03962118883251568,0.022065860803626915,0.019131788946362634,0.0245399188269214,0.020224015873123412
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,0.023750169553165282,0.05396630726642792,0.026159407365692378,0.02347643555318402,0.023745950987297527,0.023600005255856205
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.029481706673414865,0.03495861780173794,0.030331305855660524,0.026801958215949412,0.026846677358643895,0.026833308140288503
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.042264485554017205,0.11574946897261174,0.05035751997797823,0.029432930016259212,0.031058565209601468,0.03012413780808862
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.02954622064537696,0.09627779829958795,0.03534266483102341,0.035416918870510704,0.0370943762240679,0.03610557054177724
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.026203665759091974,0.04069491797994111,0.02779440466121668,0.029457920339102432,0.029664188749767274,0.029600295242802572
M308-14_v2_trim_mvmt,308,False,14,2.0,"(107, 7269)",F,0.026699285060200306,0.04081515138833096,0.028115008364076936,0.033441935058328986,0.03513693735579966,0.034149012299981796
M316-8_v2_trim_mvmt,316,True,8,3.0,"(83, 7579)",F,0.0238451004660586,0.049448763073738355,0.025376856686247687,0.022330416191556096,0.022906566146523717,0.022543562106165663
M316-10_v2_trim_mvmt,316,True,10,3.0,"(104, 7207)",F,0.02728529342216139,0.057808186309648076,0.03136906119090771,0.02261574383237205,0.02697226076578594,0.023820896082244466
M316-12_v2_trim_mvmt,316,True,12,3.0,"(94, 7392)",F,0.03057548027954439,0.06590621043276229,0.035241177798535764,0.026053885841630434,0.02713176292115118,0.02642943551103608
M322-6_v2_trim_mvmt,322,True,6,3.0,"(140, 7572)",M,0.02715478541648917,0.051136216379653814,0.030427853808848347,0.02590965476155014,0.025710431057061438,0.025868685236541348
M322-8_v2_trim_mvmt,322,True,8,3.0,"(83, 7594)",M,0.030471075022377045,0.0642637647176289,0.03294553567769144,0.02467586558331274,0.024788361835921965,0.02473707412435716
M322-10_v2_trim_mvmt,322,True,10,3.0,"(45, 7308)",M,0.024498175221371415,0.04641613887674671,0.026323467182948816,0.02185975516128294,0.021892692237855952,0.02188621843809219
M322-12_v2_trim_mvmt,322,True,12,3.0,"(182, 7577)",M,0.028904939201041986,0.08167856155035506,0.033305071401010765,0.027551248229424858,0.0276609086758743,0.027644569066424176
M353-6_v2_trim_mvmt,353,True,6,5.0,"(97, 7497)",M,0.034204365245845594,0.07156172687807454,0.038939132497303484,0.03223661729070613,0.03465030887831433,0.033287426048363676
M353-8_v2_trim_mvmt,353,True,8,5.0,"(109, 7400)",M,0.028416498786406078,0.05419327682715795,0.03138192884147885,0.02607047324064393,0.02565474480539294,0.02589421012183736
M353-10_v2_trim_mvmt,353,True,10,5.0,"(113, 7428)",M,0.028060442486914767,0.06305908099910947,0.0308274734489201,0.03816902958028295,0.03960467487592038,0.038840939784985914
M361-6_v2_trim_mvmt,361,True,6,5.0,"(108, 7428)",F,0.024083860790838123,0.05408610981392849,0.025841656120822606,0.023406436538107336,0.024786544605772908,0.02400471532295677
M365-6_v2_trim_mvmt,365,True,6,6.0,"(87, 7428)",F,0.032980866437717124,0.054951447709214014,0.035789453112908876,0.030663070397970088,0.03090101157156874,0.03077256751297369
M367-6_v2_trim_mvmt,367,True,6,6.0,"(162, 7529)",F,0.020570506656975567,0.02953481859362505,0.021656373777591362,0.023087045229998684,0.025671705493392715,0.02394545126204071
M374-6_v2_trim_mvmt,374,True,6,6.0,"(72, 7417)",M,0.06628146895034902,0.0817410155911712,0.07041276135921848,0.045974243752499554,0.06136010042696346,0.050256036711273336
M374-8_v2_trim_mvmt,374,True,8,6.0,"(68, 7125)",M,0.041447444868183345,0.08280222797223173,0.04423136552520758,0.04692540608520165,0.0447521408531592,0.04697310612779843
M374-10_v2_trim_mvmt,374,True,10,6.0,"(68, 7649)",M,0.039058225080946904,0.06399705947514789,0.04060829997886533,0.04275091050898136,0.041376372096446686,0.04223126798192234
M387-6_v2_trim_mvmt,387,True,6,7.0,"(90, 7540)",M,0.03791318345037037,0.10662111958525483,0.04421772200310273,0.026624998178904978,0.027043717074788275,0.02679845508451442
M387-10_v2_trim_mvmt,387,True,10,7.0,"(117, 7462)",M,0.04219527645959724,0.10062075622395164,0.05069678158353732,0.03827726925404841,0.05259862110395298,0.04190713820079589
M396-6_v2_trim_mvmt,396,True,6,7.0,"(89, 7528)",F,0.0555815637581384,0.08710415706355956,0.05804720083139743,0.05553555756134012,0.05453029102042319,0.055058215622964424
M397-6_v2_trim_mvmt,397,True,6,7.0,"(69, 7503)",F,0.04020490405072043,0.08551578247981594,0.04525639336721238,0.03986187506691195,0.04283246346964005,0.04125148849674204
