id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,GCaMP_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2,dHbT_modularity_whole
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,0.0686720468796155,0.1507454373456004,0.07740745993275742,0.039266465798212205,0.03957259139102076,0.0394457103614473
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,0.08762475057462092,0.18249074911060614,0.09808210668984675,0.04837274119514075,0.04670769903691062,0.0474889795247846
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.09653073536060888,0.14841000221733192,0.10216164777220942,0.060060980162718075,0.057779208048570514,0.05954660349716034
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,0.07279068397306165,0.07832783221805645,0.07353778647087388,0.07986612847638143,0.06980737043536782,0.07556847151865566
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.047404307763726616,0.061987640545970654,0.04968173480162926,0.03164104172550536,0.03331891633586176,0.03212910237858287
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.04564074829504767,0.055960687656475154,0.04691610229376079,0.033385986995611044,0.03172010777464593,0.032779660077308065
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,0.06037789750899306,0.08595290851732855,0.0637586239477238,0.06239949635247358,0.061761054133387866,0.06254971055564598
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.059418348857557576,0.09176034020273646,0.06324877604275361,0.03314377354737238,0.04261358636267572,0.03531929615772544
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.03681576170029549,0.0609579824297705,0.0392744398000893,0.03870662492874997,0.04035390325826195,0.039362166210162676
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.03467584490620875,0.061197684369680774,0.03742290608799953,0.0369899758675295,0.03507699330962405,0.03592338618186058
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.03214227695448097,0.04397975364913886,0.03379844803555755,0.03974464740774536,0.049802000542505005,0.04308570370280765
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.040567194700218676,0.05406402739882345,0.041637514144622634,0.03996963696948151,0.040628062111541866,0.040236682630380056
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.05561710970125019,0.07986211103658387,0.06057495254696705,0.044269779441400814,0.05422886804074798,0.047341228274715104
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.045079589742034486,0.09220289880017511,0.05048803598034255,0.04311342317747229,0.045420063866609246,0.04391779059642384
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.051962639450717475,0.07335480719006647,0.05428392466040873,0.053013730681912966,0.05412751527823712,0.05350899042615288
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,0.041768974754980245,0.06334245014856388,0.04395375045621254,0.038153772823108445,0.038074756720616665,0.03814526645324905
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,0.05208351132525749,0.08463058859209996,0.05871292428707674,0.04239467022119952,0.04201064406023722,0.04222150441715086
