id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,GCaMP_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2,dHbT_modularity_whole
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.14508621677379008,0.2543577676817102,0.16040271004374443,0.03902567155466143,0.040923609460522356,0.0394457103614473
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.11041952973956648,0.23789546642221598,0.12440745335482821,0.0486951765801764,0.04658313231181527,0.0474889795247846
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.1184573235049182,0.25197139757162024,0.12683610553412838,0.06125781625064923,0.056512893691569824,0.05954660349716034
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,0.13918169632241945,0.16549471701590648,0.14218117828972932,0.08189076299912572,0.0671572999754744,0.07556847151865566
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.05267388793396345,0.06759246459700954,0.05464942371867314,0.03185534069972332,0.03275889071870068,0.03212910237858287
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,0.048497402877997524,0.06663746118186364,0.05042872095402491,0.033613152999984026,0.031462829524105354,0.032779660077308065
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.06652340619367196,0.09479912881615683,0.06917600078358412,0.06183795611352545,0.061737717481091435,0.06254971055564598
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.06459442070351264,0.12855405431089612,0.0703994921978973,0.033073514111961896,0.04272778161894987,0.03531929615772544
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.04059060563884204,0.06607049816600885,0.04341318036851592,0.03955501260122019,0.038970562386106564,0.039362166210162676
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.038664463292146366,0.06602451386830022,0.04215004672518972,0.03853910303000339,0.03436115600550306,0.03592338618186058
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.03367187423375666,0.047007324397728006,0.03552131069008985,0.04135686855846212,0.045539898980616285,0.04308570370280765
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.041835780201207665,0.06799776901329763,0.043413616383685745,0.04041368011668068,0.03996723128277498,0.040236682630380056
M316-10_v2_no_mvmt,316,True,10,3.0,"(104, 7207)",F,0.06903879088140208,0.08261162533224739,0.07276092952917398,0.04431198634616187,0.054171137839209606,0.047341228274715104
M316-12_v2_no_mvmt,316,True,12,3.0,"(94, 7392)",F,0.046977073982772954,0.10144906002346245,0.05256328150430736,0.042652632102722,0.0468707574600831,0.04391779059642384
M322-6_v2_no_mvmt,322,True,6,3.0,"(140, 7572)",M,0.053492282339653106,0.07808325290311828,0.056314278286297356,0.05271326547139854,0.05452496587031999,0.05350899042615288
M322-8_v2_no_mvmt,322,True,8,3.0,"(83, 7594)",M,0.04288570642859595,0.06827207677604694,0.044813426308714224,0.03788431484479194,0.03855484200219947,0.03814526645324905
M322-10_v2_no_mvmt,322,True,10,3.0,"(45, 7308)",M,0.05493112461205549,0.08908564781425538,0.061730014059075314,0.042483088535701284,0.04193016484546704,0.04222150441715086
M322-12_v2_no_mvmt,322,True,12,3.0,"(182, 7577)",M,0.055982702059508234,0.07054309082357935,0.0597534139991559,0.06649500631510694,0.06322702185326581,0.06504970713690912
M353-6_v2_no_mvmt,353,True,6,5.0,"(97, 7497)",M,0.05107851901312528,0.08186511595084936,0.05409616331819465,0.0387265825014317,0.0441538691456581,0.03999540002417149
M353-8_v2_no_mvmt,353,True,8,5.0,"(109, 7400)",M,0.04231195169491965,0.07453696715674023,0.044571576246076786,0.04387267146262831,0.042811039911850875,0.04352167791411836
M353-10_v2_no_mvmt,353,True,10,5.0,"(113, 7428)",M,0.06045974189233422,0.1363900762710844,0.06648630570746279,0.06077822474763822,0.07835259470445022,0.06500081856655952
M361-6_v2_no_mvmt,361,True,6,5.0,"(108, 7428)",F,0.03627852960766885,0.05935268757259987,0.03813941679815032,0.04191515990344079,0.05443922472283409,0.04610814862762398
M365-6_v2_no_mvmt,365,True,6,6.0,"(87, 7428)",F,0.039796712654804944,0.06317746078056583,0.04261679854056681,0.038903225217923075,0.03929859011538316,0.03909454605578731
M367-6_v2_no_mvmt,367,True,6,6.0,"(162, 7529)",F,0.04425835181131338,0.07814009192550123,0.047040897133718854,0.04405413827227423,0.04868712440664163,0.04557453843319627
M374-6_v2_no_mvmt,374,True,6,6.0,"(72, 7417)",M,0.03582277360817126,0.06409167300993651,0.038767533777141774,0.031333110775231675,0.03285614697293436,0.03186397618253807
M374-8_v2_no_mvmt,374,True,8,6.0,"(68, 7125)",M,0.046758037595459406,0.07620257660956532,0.04893267932873264,0.04819361214663189,0.05439051488806464,0.05006418727329395
M374-10_v2_no_mvmt,374,True,10,6.0,"(68, 7649)",M,0.03555159780770503,0.0701358502877767,0.038735073951866615,0.033983698640987735,0.03797799108345,0.035382051058510104
M387-6_v2_no_mvmt,387,True,6,7.0,"(90, 7540)",M,0.057392577170890476,0.10865037430662453,0.0625839774665154,0.04444100579853786,0.04898749454497145,0.04598290094321142
M387-10_v2_no_mvmt,387,True,10,7.0,"(117, 7462)",M,0.046491413020859476,0.08808456323924363,0.051554305828211036,0.04528391509986408,0.0667707526187816,0.05076365883825351
M396-6_v2_no_mvmt,396,True,6,7.0,"(89, 7528)",F,0.029426092272923574,0.052019479795604735,0.031049519542021457,0.02736395401190322,0.02729291003913532,0.027351200085820666
M397-6_v2_no_mvmt,397,True,6,7.0,"(69, 7503)",F,0.04056837251516048,0.0613055365866433,0.04306653175479287,0.03687220407155868,0.04421768316281308,0.03882898320848207
M410-6_v2_no_mvmt,410,True,6,9.0,"(99, 7428)",M,0.032512048714624035,0.049238249604431794,0.03389896394971614,0.039310991429078054,0.04483965445792549,0.04142770621996831
M410-8_v2_no_mvmt,410,True,8,9.0,"(102, 7532)",M,0.03524098012542376,0.04538064958440568,0.036216165708945425,0.03438516333331794,0.04011111154125422,0.03591255543667792
M410-10_v2_no_mvmt,410,True,10,9.0,"(71, 7137)",M,0.03223433239956994,0.05341367892731765,0.03345179794964509,0.037581228470763256,0.043313015598036804,0.039690305621433
M412-8_v2_no_mvmt,412,True,8,9.0,"(135, 7515)",F,0.04864493705676666,0.07559356271754586,0.05190440108513802,0.03632178657622152,0.037507344962510965,0.03674066501244623
