id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,GCaMP_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2,dHbT_modularity_whole
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,0.6056409643991719,0.7420557267579033,0.6683192490763701,0.03954446412350374,0.03933975792381639,0.0394457103614473
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,0.6311875308400864,0.7264084477548277,0.6681229175509706,0.04661321189529642,0.046687809445837405,0.04665024605349308
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,0.7732930093214991,0.7697462567091446,0.7731394677763868,0.06013137683867177,0.05894337883822103,0.05954660349716034
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,0.896496048294997,0.919638070286209,0.9076820706701294,0.07620984846731824,0.07497435114240873,0.07556847151865566
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,0.8590877484504649,0.8700214064393766,0.8646894224861575,0.032027742768850655,0.03222781151598193,0.03212910237858287
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,0.9461172526707229,0.9472200199223304,0.9472641672868142,0.03257208588884182,0.03300410504728162,0.032779660077308065
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,0.8527420372664297,0.8885747676036866,0.870727512032832,0.06321063768525262,0.06188731841429627,0.06254971055564598
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,0.8652088095103663,0.9225986535579725,0.8932998651056687,0.034946010872608735,0.03575769735240189,0.03531929615772544
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,0.964959580792091,0.9093613525804576,0.9369678502800519,0.03946650449811814,0.0392598292836412,0.039362166210162676
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,0.7645617367617992,0.8182410785940143,0.7906572397343403,0.03576579683956513,0.03608784773163127,0.03592338618186058
