id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,GCaMP_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2,dHbT_modularity_whole
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,0.08428780494931,0.20031530357267355,0.10245879881352014,0.03861670244839139,0.04017361635911078,0.039073235147597155
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,0.09661935188013102,0.2668549290564537,0.12505443463010266,0.046787059111153814,0.04650252360219296,0.04665024605349308
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.18177539894704012,0.3170675301842156,0.20668821019986372,0.05682474641376992,0.05502929906708205,0.05610578196951949
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,0.0652515304670693,0.12678075317134452,0.07344488954609285,0.07012471803048141,0.0695839504990482,0.07002408379093097
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.03693552116499276,0.06666207007609318,0.03994591332153124,0.032195073089549775,0.03422220208638479,0.032724590807197196
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,0.033605942425102876,0.06801758664620504,0.036205963118060694,0.031438514481744693,0.03126013968939627,0.03139131904131974
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.07282119695837266,0.08815563363044125,0.07523797172043281,0.07800702428097823,0.05389791831926575,0.0677742606687699
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.06201947350532455,0.13413213101700108,0.07261423528070045,0.03405422938782974,0.04130077526485416,0.03625055540202668
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.035794875908176024,0.07474281188444074,0.03970814951303298,0.03744509775167528,0.03942961073046545,0.038225006719615956
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.03375700187127439,0.062197648849912475,0.037046383246139084,0.035934982436446,0.03463528434001266,0.03521114435192636
M308-14_v2_trim_mvmt,308,False,14,2.0,"(107, 7269)",F,0.03166843310767459,0.0450941335173608,0.03337232019878079,0.0396318403079711,0.0464052865020922,0.04224005173664214
M316-8_v2_trim_mvmt,316,True,8,3.0,"(83, 7579)",F,0.04104187571293439,0.06490106812924948,0.04260262265253443,0.03999157049817769,0.04022239989654306,0.04008742595103015
M316-10_v2_trim_mvmt,316,True,10,3.0,"(104, 7207)",F,0.054782021446742594,0.07908974968315846,0.06043550882918861,0.044427760949335704,0.05464941952814149,0.04775343242812998
M316-12_v2_trim_mvmt,316,True,12,3.0,"(94, 7392)",F,0.04920470761591862,0.09829609316601841,0.05681009250023658,0.04280933075161527,0.04568354440301796,0.04372326960763735
M322-6_v2_trim_mvmt,322,True,6,3.0,"(140, 7572)",M,0.05764001059894349,0.07721310924591071,0.061502104228125104,0.05302334573153729,0.054228015085225914,0.05351249450637211
M322-8_v2_trim_mvmt,322,True,8,3.0,"(83, 7594)",M,0.051548042414183856,0.07874334548962197,0.05583408331651635,0.03758942461732568,0.038057298433379176,0.03778832914876389
M322-10_v2_trim_mvmt,322,True,10,3.0,"(45, 7308)",M,0.05454559303441731,0.0866202161577439,0.06168838970071244,0.04118479491295647,0.04217310957651435,0.04162668300224464
M322-12_v2_trim_mvmt,322,True,12,3.0,"(182, 7577)",M,0.05127662775308511,0.07061049896937235,0.055820488177150275,0.06554564499742677,0.05982189318956275,0.06245706382732044
M353-6_v2_trim_mvmt,353,True,6,5.0,"(97, 7497)",M,0.045017646845329294,0.08618964624445684,0.050085403376483095,0.041273267879662595,0.045946393283818755,0.042957297932919206
M353-8_v2_trim_mvmt,353,True,8,5.0,"(109, 7400)",M,0.04123190117103776,0.07150770980208945,0.04486077163335686,0.04415097997565526,0.043609136697015556,0.043910741547286886
M353-10_v2_trim_mvmt,353,True,10,5.0,"(113, 7428)",M,0.05381257573246058,0.13792579726789467,0.06151906215638536,0.10622020363590452,0.07311574828865973,0.0876937894709208
M361-6_v2_trim_mvmt,361,True,6,5.0,"(108, 7428)",F,0.03586705445869599,0.060654005212127014,0.03823715421999006,0.04698854134743089,0.053178609301810675,0.049617790028466564
M365-6_v2_trim_mvmt,365,True,6,6.0,"(87, 7428)",F,0.03847532018132823,0.06252219938832605,0.04189494025564467,0.03756515672609422,0.03785002097393514,0.03771818832546555
M367-6_v2_trim_mvmt,367,True,6,6.0,"(162, 7529)",F,0.044024705716639134,0.07373829901598229,0.04721836324659721,0.04590397076786615,0.05232044621181281,0.048065530505971996
