id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,GCaMP_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2,dHbT_modularity_whole
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,0.11553955713490001,0.18124634255204344,0.12187087716468048,0.05918442064168759,0.0630813718281211,0.060252368894324344
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,0.06450042443185913,0.11159119284174343,0.06874780447332095,0.053282005433668046,0.052015260353660164,0.05264177443090577
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.04996480513405188,0.06565207345243658,0.05144999691132217,0.035224272831648654,0.034813133891173145,0.03513640973221443
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,0.0457773183791452,0.07407226402569098,0.04854285905930871,0.04421359851798906,0.045339431782504006,0.044741148249481416
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.0349256248139602,0.04268497869399348,0.03621120267642605,0.026476590373975456,0.027590066644096772,0.026814355960774663
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.055243338995630394,0.07591861491717074,0.05769089017499248,0.043721424840285274,0.042991410718870034,0.04358866931982397
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,0.05359179765004224,0.05998921409055367,0.05493958006843033,0.04855341347261026,0.046189862888339595,0.04738896578803168
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.05086766003868362,0.08568370633622663,0.05513224142619589,0.03848842519933978,0.045255591465629116,0.03995679223103821
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.03677899179704594,0.0700325578628071,0.03957680948983049,0.038930613275881966,0.046644096824262564,0.04141246669214377
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.04296426387919541,0.0608914173796027,0.04480725036498511,0.04061972099836449,0.03934232051904423,0.03994259238297143
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.038960702727481256,0.056909605364192435,0.041278349390207,0.04131515957703271,0.048722542116571156,0.0437687454912058
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.04627910746931285,0.061009644633261924,0.0475226458966357,0.045481492221999785,0.04654221001812302,0.04588318388530056
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.05023606995301613,0.06774756960965345,0.053210518905529657,0.04494270661693728,0.05163911355891484,0.04707574320863
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.04675565617590933,0.07764914752175275,0.04912368430895387,0.0460345629734657,0.048331654093406465,0.04679932158637144
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.042794720683382984,0.06552255995786915,0.04446224769144304,0.04327009143607966,0.04488395009471561,0.04394002785226717
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,0.04230898645563436,0.06955338048827406,0.04470926234135485,0.03763677872501611,0.03742486273402815,0.03755389726534311
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,0.03822575238658228,0.05442078813519506,0.04011370612732317,0.03599926479608446,0.0350698799772598,0.035521330403598526
M322-12_v2_mvmt,322,True,12,3.0,"(182, 7577)",M,0.05350435641131842,0.12010922808284505,0.06335265774148013,0.060050451901984436,0.06413894172773071,0.06184311092111786
M353-6_v2_mvmt,353,True,6,5.0,"(97, 7497)",M,0.05584804946439757,0.10590711016067633,0.061112400001911024,0.04483202708584741,0.05011288042668226,0.046231176031638364
M353-8_v2_mvmt,353,True,8,5.0,"(109, 7400)",M,0.05151538392054768,0.09166059621720221,0.05492051180485905,0.05026412199188694,0.05300026594832983,0.05138128688228308
M353-10_v2_mvmt,353,True,10,5.0,"(113, 7428)",M,0.044639039796925836,0.09953821661526609,0.04782693748760794,0.04502586929873385,0.04959506510067592,0.046436524565191775
M361-6_v2_mvmt,361,True,6,5.0,"(108, 7428)",F,0.03989329749314681,0.08599429490843108,0.04337872634094225,0.03648752453316117,0.04436445868944613,0.03873995489883636
M365-6_v2_mvmt,365,True,6,6.0,"(87, 7428)",F,0.05312549910538046,0.06763748497390588,0.05526047036378766,0.0511380501549017,0.05034418761856349,0.05084054039928868
M367-6_v2_mvmt,367,True,6,6.0,"(162, 7529)",F,0.03976833827221104,0.08697672643222834,0.044613955879528426,0.0478913661836244,0.06082377013908763,0.05151589286694568
M374-6_v2_mvmt,374,True,6,6.0,"(72, 7417)",M,0.119864762597659,0.13442303897083221,0.12472184214377163,0.0652786559362923,0.09137675065759739,0.07491748011999355
M374-8_v2_mvmt,374,True,8,6.0,"(68, 7125)",M,0.07410927997964625,0.11576006237933388,0.07718831646114303,0.10250110507135336,0.0854725473260867,0.09536091993620528
M374-10_v2_mvmt,374,True,10,6.0,"(68, 7649)",M,0.05705783856126591,0.09094184478314216,0.060529157141709,0.057735020853323646,0.05448574500370295,0.056307501303193265
M387-6_v2_mvmt,387,True,6,7.0,"(90, 7540)",M,0.05714912089236811,0.0982511521182099,0.06213736291116024,0.05115849081557364,0.05549476836758995,0.05259717331460228
M387-10_v2_mvmt,387,True,10,7.0,"(117, 7462)",M,0.047512587298727364,0.08575150670527769,0.050917562635863334,0.047110414985178206,0.06069555199371249,0.05032883482051249
M396-6_v2_mvmt,396,True,6,7.0,"(89, 7528)",F,0.08666245003713931,0.12805240474975682,0.09040471842787334,0.09052031528588585,0.08865192833651735,0.08970479430319538
M397-6_v2_mvmt,397,True,6,7.0,"(69, 7503)",F,0.0608382694500073,0.12421059946168678,0.06713161586789698,0.05600118031536108,0.06677862704229186,0.058421982975986775
M410-6_v2_mvmt,410,True,6,9.0,"(99, 7428)",M,0.032333538285922635,0.05481355298664421,0.03339614047663726,0.03785918171489594,0.034616660821265445,0.03659150938261725
M410-8_v2_mvmt,410,True,8,9.0,"(102, 7532)",M,0.04324339809202441,0.07149556077846211,0.04545367924815576,0.05170068447422597,0.06212665712408677,0.055483423122446134
M410-10_v2_mvmt,410,True,10,9.0,"(71, 7137)",M,0.034521208152210756,0.06896659160490687,0.0363401525985,0.03561069722874839,0.036173828775953897,0.03590737480798171
M412-8_v2_mvmt,412,True,8,9.0,"(135, 7515)",F,0.061167626894717136,0.114499158797127,0.06593608341102637,0.05524260734010939,0.05600853311601975,0.055517944735126175
M412-10_v2_mvmt,412,True,10,9.0,"(101, 7163)",F,0.05928680674595447,0.12680421937737976,0.0623598138561198,0.0693538567068353,0.06464472181918739,0.06725425685982327
M415-6_v2_mvmt,415,True,6,9.0,"(131, 7585)",F,0.05381203076453171,0.09655504594369788,0.05669569039520332,0.04948427033782273,0.050541915673533444,0.04997965384067007
M415-8_v2_mvmt,415,True,8,9.0,"(62, 7420)",F,0.04095289476078802,0.0717899595004533,0.042911466105220245,0.05051652623874304,0.04995664824804441,0.0505262872655486
