id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,GCaMP_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2,dHbT_modularity_whole
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.27128705678341974,0.2688941153808292,0.27187243885310663,0.059068783009228534,0.06529134879920448,0.060252368894324344
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.07523198311870688,0.18860656571426138,0.08039160239591936,0.05380478109641461,0.051710688487497686,0.05264177443090577
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.056040264853628195,0.0858578159286696,0.05816944796114326,0.03540599525261832,0.034538521667611954,0.03513640973221443
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,0.052153019103589396,0.09296349340923894,0.05484587868714701,0.044893478193670386,0.04422616488215589,0.044741148249481416
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.03687580734332551,0.04661225499332262,0.03814288586167681,0.026655565378057872,0.027118282969352647,0.026814355960774663
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,0.05739004389475656,0.09494685073566891,0.060725907371731704,0.04368727121431017,0.042991468659898564,0.04358866931982397
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.06407116829868617,0.07390041426051037,0.06575625870141993,0.04850352844325067,0.04606791443097145,0.04738896578803168
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.0523469128875771,0.11244197113665781,0.05812104169119107,0.038457992610869574,0.04521119061262267,0.03995679223103821
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.04285508615454825,0.08859320773349748,0.04703814276156342,0.039789316983491356,0.04405157891048556,0.04141246669214377
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.0529089545800534,0.08379116500237457,0.0564925882493979,0.04113897031732414,0.038943500783521,0.03994259238297143
