id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,GCaMP_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2,dHbT_modularity_whole
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,0.23375995438336428,0.5131589306259858,0.32265522011791936,0.06010782542141461,0.06039628090035285,0.060252368894324344
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,0.934654690623482,0.9423731629105735,0.9388423478961055,0.051917716957094726,0.05204517976393,0.05198077142872121
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,0.9369462605928179,0.9294580332792989,0.9335491426588675,0.03523696485339246,0.0350316875149953,0.03513640973221443
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,0.8982852480897442,0.8386546361135158,0.8677862419319468,0.04524520607288417,0.044293638640249135,0.044741148249481416
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,0.9800022710525634,0.9289220231225729,0.9550285899257713,0.026772651421414693,0.02685299404345714,0.026814355960774663
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,0.4276372353416773,0.6452685617940763,0.5091854629066459,0.043471123816822194,0.043713708026595605,0.04358866931982397
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,0.8876930758742161,0.9618575236877893,0.923071065214198,0.04715885286743232,0.047617537041745685,0.04738896578803168
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,0.8484912961535713,0.8983141932350217,0.8718040827849359,0.03966800406717753,0.04031066427888538,0.03995679223103821
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,0.9217987741722183,0.9184517361867991,0.9203891669442928,0.041750375556454944,0.04108755426851998,0.04141246669214377
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,0.44144459742588116,0.7393155113004493,0.5530142803905169,0.039919935066090095,0.03996204768011273,0.03994259238297143
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,0.9022220277257003,0.9239217248067997,0.9130030879954486,0.04416569571688689,0.04341387140084792,0.0437687454912058
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,0.9181291043641704,0.9089419234384567,0.9139698912134597,0.04574691344394026,0.04602191261052297,0.04588318388530056
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,0.9506536220904436,0.9253468261243831,0.9383584285577733,0.048448147423218804,0.04748966509625067,0.04794615874371666
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,0.8197140680969365,0.8340920240482105,0.8272982804033748,0.046849228958289905,0.04674734393891787,0.04679932158637144
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,0.9480015240798078,0.8980643981889733,0.9248791637804387,0.04381774163209474,0.04406416681157112,0.04394002785226717
M322-8_v2_null_normal,322,True,8,3.0,"(83, 7594)",M,0.8875809193949709,0.9274592423472313,0.9069699950348007,0.03768815371504837,0.037433060477175456,0.03755389726534311
M322-10_v2_null_normal,322,True,10,3.0,"(45, 7308)",M,0.961749753310545,0.9370774686449719,0.9501779129685026,0.035498139722078006,0.03554385477259476,0.035521330403598526
M322-12_v2_null_normal,322,True,12,3.0,"(182, 7577)",M,0.6603257984567996,0.7497513516318821,0.7039323674280866,0.06137020797567181,0.06232415219704016,0.06184311092111786
M353-6_v2_null_normal,353,True,6,5.0,"(97, 7497)",M,0.7416293114125252,0.7659861135553615,0.7549658724369128,0.046507149572100455,0.045940384515722105,0.046231176031638364
M353-8_v2_null_normal,353,True,8,5.0,"(109, 7400)",M,0.4292439820781507,0.7187932541176973,0.539303134206046,0.05108712181678725,0.051654300084523846,0.05138128688228308
M353-10_v2_null_normal,353,True,10,5.0,"(113, 7428)",M,0.7322368809897758,0.8784428266977972,0.7931435505206385,0.04618552593510232,0.04667575387615264,0.046436524565191775
M361-6_v2_null_normal,361,True,6,5.0,"(108, 7428)",F,0.598973204780096,0.7766124293831569,0.6757461012851185,0.03821956700492712,0.039314454631282206,0.03873995489883636
M365-6_v2_null_normal,365,True,6,6.0,"(87, 7428)",F,0.8045266505988282,0.8554978277815063,0.8291518613964188,0.05073943678275673,0.050936137087229556,0.05084054039928868
M367-6_v2_null_normal,367,True,6,6.0,"(162, 7529)",F,0.848297705027998,0.8836338238215024,0.8661512828690383,0.051746173249443195,0.051213848454580976,0.05151589286694568
M374-6_v2_null_normal,374,True,6,6.0,"(72, 7417)",M,0.9662558173870905,0.9386444356312722,0.9526164282090903,0.0762386720219969,0.07358594432726787,0.07491748011999355
M374-8_v2_null_normal,374,True,8,6.0,"(68, 7125)",M,0.7593899370086585,0.7878821073474971,0.7737410186257447,0.09458304578941598,0.09607681631753125,0.09536091993620528
M374-10_v2_null_normal,374,True,10,6.0,"(68, 7649)",M,0.5181249506648579,0.6955877417914947,0.5927230868049569,0.05670623186852495,0.05588563803998635,0.056307501303193265
M387-6_v2_null_normal,387,True,6,7.0,"(90, 7540)",M,0.5649867511075708,0.6937843281196427,0.6154852977054245,0.05235751675315664,0.05283422871437928,0.05259717331460228
M387-10_v2_null_normal,387,True,10,7.0,"(117, 7462)",M,0.6633009363976066,0.742822867186972,0.6986722300859796,0.05017424952298446,0.05048050821294347,0.05032883482051249
M396-6_v2_null_normal,396,True,6,7.0,"(89, 7528)",F,0.5983704299284712,0.6499282289991035,0.6234169167903826,0.08952365023664718,0.08986706707050848,0.08970479430319538
M397-6_v2_null_normal,397,True,6,7.0,"(69, 7503)",F,0.5544846021693648,0.6865470900118755,0.6075524547229019,0.05790736237581617,0.058991181740526456,0.058421982975986775
