id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,GCaMP_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2,dHbT_modularity_whole
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,0.1435983548343359,0.2669108934622802,0.16344203780325292,0.06141079005856632,0.06422715902653502,0.062303948112874666
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,0.07784412101857377,0.15053534943037708,0.08632290305200932,0.05226314962752454,0.05165428547043939,0.05198077142872121
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.05121744787012295,0.10532260576782218,0.058902184760438125,0.03446067773385815,0.034607276706115124,0.03453888607939833
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,0.045661099133493054,0.07914190988826507,0.0492919297495507,0.04629091993018121,0.044372737201405506,0.045251541905413
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.030896442399815302,0.04865205373536326,0.03253680603630612,0.027010497040145312,0.027896103324463198,0.027266962398750642
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,0.04720675302308672,0.09916942050835918,0.05095289112258142,0.042774347792808365,0.04271196259863745,0.04277773044133929
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.053106315862474725,0.06660204351530663,0.05572373213159473,0.04837904925338713,0.04603258479029537,0.047295521473213
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.060712897777178615,0.11243800677879938,0.07032320293557845,0.03945639796050838,0.04663368950081784,0.041406429805227955
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.04008389314765111,0.09382266860539074,0.04627407182899076,0.04076751976200365,0.04434412982194245,0.042266303809861364
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.04205493973981102,0.0712041280222375,0.04584745572121298,0.03970902267484106,0.039076607731973335,0.0394134227004732
M308-14_v2_trim_mvmt,308,False,14,2.0,"(107, 7269)",F,0.03838689293465066,0.05835132088172177,0.040776186521881454,0.041159208696866546,0.04680052114978159,0.043274747219616716
M316-8_v2_trim_mvmt,316,True,8,3.0,"(83, 7579)",F,0.04694866275797073,0.07236949180839179,0.04874776783528667,0.045673559397604736,0.04650443795837414,0.045988616189254226
M316-10_v2_trim_mvmt,316,True,10,3.0,"(104, 7207)",F,0.05006770061230768,0.06928390757393305,0.05375010679396719,0.04570522864554022,0.05216430290980011,0.04794615874371666
M316-12_v2_trim_mvmt,316,True,12,3.0,"(94, 7392)",F,0.05095537736000964,0.08587566966360341,0.05555861764170949,0.04680475249240901,0.04834572599702118,0.047349653628325786
M322-6_v2_trim_mvmt,322,True,6,3.0,"(140, 7572)",M,0.04762006982706373,0.07088452677776032,0.05131603557429592,0.0432437829453596,0.04438094808219569,0.04371626053759235
M322-8_v2_trim_mvmt,322,True,8,3.0,"(83, 7594)",M,0.05231216517122337,0.09332187870261456,0.05770105720132129,0.03708564305959731,0.03750797922660355,0.037257178668811716
M322-10_v2_trim_mvmt,322,True,10,3.0,"(45, 7308)",M,0.04159091884028366,0.06723072665334523,0.04507542416382305,0.0346425699043671,0.03496636259173112,0.03479122183865009
M322-12_v2_trim_mvmt,322,True,12,3.0,"(182, 7577)",M,0.05899761522662058,0.11343521504912646,0.07058830128542103,0.058664746551109134,0.05926077599744138,0.058963240649238316
M353-6_v2_trim_mvmt,353,True,6,5.0,"(97, 7497)",M,0.06084268114956655,0.13754836355820038,0.0727135411050571,0.04666076565123114,0.05045897989384045,0.04815754828331632
M353-8_v2_trim_mvmt,353,True,8,5.0,"(109, 7400)",M,0.05252638540086114,0.13307203567099224,0.06217492489736117,0.05330479784855408,0.05140370660337377,0.05246612003738099
M353-10_v2_trim_mvmt,353,True,10,5.0,"(113, 7428)",M,0.046708062473658114,0.10112698401082108,0.052852062626088034,0.05162101308344107,0.04921065111365736,0.05033307521124927
M361-6_v2_trim_mvmt,361,True,6,5.0,"(108, 7428)",F,0.04343548556662597,0.09954045869896405,0.04866520352449918,0.04031081923231956,0.04527365747349777,0.04226726894108239
M365-6_v2_trim_mvmt,365,True,6,6.0,"(87, 7428)",F,0.05415864900555731,0.08059853518060411,0.058672725585764696,0.04897987388616658,0.04925073817860315,0.04911776381111075
M367-6_v2_trim_mvmt,367,True,6,6.0,"(162, 7529)",F,0.042458974747299635,0.08551140341614435,0.047822314935369634,0.05410060915881494,0.05834418327294501,0.055627223708202556
M374-6_v2_trim_mvmt,374,True,6,6.0,"(72, 7417)",M,0.11789643240409173,0.13896595293880765,0.12497824563540083,0.07523757912530034,0.09916666673747378,0.08451357269900808
M374-8_v2_trim_mvmt,374,True,8,6.0,"(68, 7125)",M,0.09077867373181507,0.1367649164957072,0.0954100028299533,0.10825692608034412,0.08196821154878117,0.09170189206148605
M374-10_v2_trim_mvmt,374,True,10,6.0,"(68, 7649)",M,0.05927987176787201,0.09908196662168164,0.06412948747507387,0.056177689661020075,0.054867301778294846,0.05568693700450951
M387-6_v2_trim_mvmt,387,True,6,7.0,"(90, 7540)",M,0.07070689426056308,0.11645575746882804,0.07929160986655259,0.052296356270701394,0.056380192696323314,0.05381121321052886
M387-10_v2_trim_mvmt,387,True,10,7.0,"(117, 7462)",M,0.05482299662485081,0.11506401930814164,0.062281064796720076,0.047624463447560945,0.06387632679433772,0.051263584723692975
M396-6_v2_trim_mvmt,396,True,6,7.0,"(89, 7528)",F,0.08655405246645004,0.13563610561697592,0.09138966601675504,0.0911425289480618,0.08711281506980287,0.08925222411168457
M397-6_v2_trim_mvmt,397,True,6,7.0,"(69, 7503)",F,0.07343718258843172,0.14336374589062004,0.08702645058218637,0.055547895992429645,0.06368176346402427,0.05775614661491537
