id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_whole,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,dHbT_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,0.1423741982580376,0.14056064867578397,0.17245551027416178,0.11895546039417797,0.1214087141689288,0.11056725754185703
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,0.13084005439221164,0.12911529788327672,0.14979465523488564,0.08700699671416491,0.0893857663056318,0.08468357547363113
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.11760069000129672,0.1134731458249618,0.1743710065154235,0.0964038909220897,0.0977911764099084,0.09241536631037825
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,0.11815342819025924,0.11610240765787959,0.1356955365561297,0.12684378759847995,0.13522829150456261,0.11554133634560732
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.11178511197055263,0.10473301542557982,0.18034945461948357,0.09347124171970146,0.09335631422028505,0.09294323604877526
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.10120425490611809,0.09857031425187471,0.1264606328628059,0.10093765568054182,0.10392771907021116,0.09662447362623491
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,0.13688421889693303,0.13078101373988021,0.19165014370917827,0.10580697806104844,0.10729757951511326,0.10365657571480699
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.10560619382815806,0.0993975123420915,0.19697459825189406,0.09789510923597916,0.09669980426191863,0.1006410799426671
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.10529302771137626,0.10086020125139826,0.17490727767427391,0.13816821552335773,0.13827858586835412,0.1360938148930502
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.09345827663182021,0.089825211564007,0.14205274738934603,0.10036744014003827,0.10650797571216601,0.09548527288233917
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.10441591244477474,0.09950923531671738,0.15478632401766435,0.14751146075345192,0.15245378874011736,0.13663012406100547
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.10815044341377242,0.10578330712394612,0.14055983548817527,0.10338318142841942,0.10241479120347376,0.10438787159451432
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.11847774153028655,0.10894389182340672,0.28639067906092064,0.10491051911370985,0.1025392122591961,0.10808309035240321
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.12291415743022097,0.11608753366903274,0.2729828494763434,0.12233988646138275,0.12096205571727227,0.12406978034572447
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.0936398074875786,0.08915657728416032,0.20485612935743872,0.09958733590953203,0.09949962956943667,0.09823210945901069
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,0.11080640734010055,0.10647793248605497,0.20109159210533262,0.11113418233284134,0.11220371565765572,0.10891928568328456
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,0.12225871511936376,0.11560568747723352,0.22054034664881073,0.11381015938903506,0.11627399510760508,0.10996122416873644
M322-12_v2_mvmt,322,True,12,3.0,"(182, 7577)",M,0.1059416666278462,0.09747859556307654,0.27644923161092927,0.11515840324207048,0.11812740172149327,0.11007866777739983
M353-6_v2_mvmt,353,True,6,5.0,"(97, 7497)",M,0.11701073491891766,0.11153728800927766,0.20936322013160885,0.12652047360863994,0.1257362498856648,0.12281200968841681
M353-8_v2_mvmt,353,True,8,5.0,"(109, 7400)",M,0.1134717085202386,0.10887124716491363,0.19228932996888082,0.11255710671365497,0.11481010967945918,0.10794243728085338
M353-10_v2_mvmt,353,True,10,5.0,"(113, 7428)",M,0.09216782364808823,0.08878460073550798,0.20399293038639754,0.1323686162545369,0.13076842186101903,0.12872058789677876
M361-6_v2_mvmt,361,True,6,5.0,"(108, 7428)",F,0.1149898517267379,0.10987568274933915,0.2501225135065697,0.12703610286195055,0.11993513925257725,0.13998535791933397
M365-6_v2_mvmt,365,True,6,6.0,"(87, 7428)",F,0.1345851931337344,0.12395515743544591,0.2726233918089472,0.1548998577349133,0.16251433405491728,0.14406546883471524
M367-6_v2_mvmt,367,True,6,6.0,"(162, 7529)",F,0.10886787286756261,0.10508246711733193,0.15754558690307677,0.1284303697538541,0.12154109509652648,0.145568752982532
M374-6_v2_mvmt,374,True,6,6.0,"(72, 7417)",M,0.13698136945309486,0.12504981467303306,0.259566499487442,0.09354037964529595,0.09317947649528449,0.09391897326696264
M374-8_v2_mvmt,374,True,8,6.0,"(68, 7125)",M,0.09766170709410295,0.09429201174383946,0.1623695103052574,0.14474761168963438,0.14053491087219264,0.1513697099135873
M374-10_v2_mvmt,374,True,10,6.0,"(68, 7649)",M,0.10184737821180906,0.09628605319699768,0.20255688333555766,0.12492481984839,0.13347589399173182,0.11408616620160651
M387-6_v2_mvmt,387,True,6,7.0,"(90, 7540)",M,0.0970935924017203,0.09211165796060533,0.1929313349953453,0.08984330883572726,0.0896494719011234,0.08986587797613606
M387-10_v2_mvmt,387,True,10,7.0,"(117, 7462)",M,0.12398513607369327,0.11765508185387492,0.2591570323871568,0.15097334242638408,0.15151803411923823,0.14671586875751091
M396-6_v2_mvmt,396,True,6,7.0,"(89, 7528)",F,0.11333854573190007,0.10878212985447837,0.18610416285310738,0.13752627456864838,0.13721670114882079,0.13700355555161886
M397-6_v2_mvmt,397,True,6,7.0,"(69, 7503)",F,0.10255750557188287,0.09731332121007508,0.20937977525370507,0.10623736845549195,0.10248937224028193,0.11322480980143562
M410-6_v2_mvmt,410,True,6,9.0,"(99, 7428)",M,0.1090507939671036,0.10541258345483905,0.1980565368949027,0.17087119717256075,0.17264550966235545,0.1589806961641314
M410-8_v2_mvmt,410,True,8,9.0,"(102, 7532)",M,0.09446600087042462,0.09090242247041518,0.1558989471793794,0.11041349254397989,0.1131389781476105,0.10267592317012421
M410-10_v2_mvmt,410,True,10,9.0,"(71, 7137)",M,0.09170107327126026,0.08844292409950778,0.1780772055160029,0.12628894986678757,0.13408361813732736,0.11067773805254652
M412-8_v2_mvmt,412,True,8,9.0,"(135, 7515)",F,0.09701179782267233,0.09240977882465713,0.1772713733088096,0.09890824497142967,0.09886715750639771,0.09897046091922804
M412-10_v2_mvmt,412,True,10,9.0,"(101, 7163)",F,0.08827998573776351,0.08596224501233528,0.18268220117026673,0.09109892468296173,0.09276256877938181,0.08864024894283505
M415-6_v2_mvmt,415,True,6,9.0,"(131, 7585)",F,0.12177783310232895,0.1167927957255381,0.21482422630624137,0.12412138420682564,0.12579825181201526,0.11730434304496741
M415-8_v2_mvmt,415,True,8,9.0,"(62, 7420)",F,0.12118825576547032,0.1162132341273852,0.25322791008167883,0.19390489000657585,0.20426348558563232,0.17358867021813898
