id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_whole,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,dHbT_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.2782606635207766,0.2757093044997816,0.3140820568875658,0.11895546039417797,0.11949785300918694,0.11529273338130912
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.21835452944456643,0.21269432133297345,0.31708899723375167,0.08700699671416491,0.0903993872001074,0.08425358754989343
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.14450172232482586,0.14005617153500052,0.3002895055805853,0.0964038909220897,0.09727850258202347,0.09366946527457087
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,0.16937029605145076,0.16506577450942506,0.23734166504370885,0.12684378759847995,0.1402743446196719,0.11013434407064071
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.12540266354127955,0.12165546709934741,0.16336597148681112,0.09347124171970146,0.09377378921566074,0.0917988120180615
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,0.10895997471162036,0.10642285927613092,0.1389897194013199,0.10093765568054182,0.10318044443552639,0.09707365424769618
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.1832393569439045,0.17840980883257485,0.22228237187585906,0.10580697806104844,0.1077994394626173,0.10122974988639254
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.11281711046320682,0.10531248606575067,0.28368071825831054,0.09789510923597916,0.09676242018121117,0.09997097673351192
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.12812015661667955,0.12240720458672778,0.21496630866774774,0.13816821552335773,0.14210888044221723,0.1305331478009696
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.10369421759045289,0.09774381318626604,0.17517144745858657,0.10036744014003827,0.10999463194202287,0.09382895097596002
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.1191182414620811,0.11111266484216235,0.19173512335919415,0.14751146075345192,0.15436228502860322,0.13494925261258722
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.11711873105428117,0.1134586988510217,0.19098875658271972,0.10338318142841942,0.10405100594096434,0.10222463302887516
M316-10_v2_no_mvmt,316,True,10,3.0,"(104, 7207)",F,0.1341327995278019,0.1231877606848466,0.2848215464392514,0.10491051911370985,0.10088485567032153,0.1133228295815604
M316-12_v2_no_mvmt,316,True,12,3.0,"(94, 7392)",F,0.13453852777252528,0.12482324123330153,0.29846430094834375,0.12233988646138275,0.1213047153520463,0.12185643071322116
M322-6_v2_no_mvmt,322,True,6,3.0,"(140, 7572)",M,0.09844071988660058,0.09292874005762121,0.22858685073533722,0.09958733590953203,0.09925390955678902,0.09874177278883188
M322-8_v2_no_mvmt,322,True,8,3.0,"(83, 7594)",M,0.11673770854583315,0.11141206442862199,0.2732356878753103,0.11113418233284134,0.10993902037204016,0.11291451947477749
M322-10_v2_no_mvmt,322,True,10,3.0,"(45, 7308)",M,0.1301385863912057,0.12242466257462765,0.26362185528819915,0.11381015938903506,0.11558953143348893,0.11063021901986639
M322-12_v2_no_mvmt,322,True,12,3.0,"(182, 7577)",M,0.12359983062569005,0.11100720016799992,0.29532108366485316,0.11515840324207048,0.11950996881650373,0.10856773512742664
