id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_modularity_whole,GCaMP_modularity_segment_0/2,GCaMP_modularity_segment_1/2,dHbT_modularity_whole,dHbT_modularity_segment_0/2,dHbT_modularity_segment_1/2
M39-12_v2_null_shuffle,39,False,12,,"(88, 4695)",F,0.860285820118082,0.947119014293932,0.5685353708667855,0.11895546039417797,0.11748932003333479,0.12042680560931773
M42-12_v2_null_shuffle,42,False,12,,"(113, 4794)",F,0.9062568567934886,1.0310708641843642,0.615401614214846,0.08700699671416491,0.08706431332572544,0.08694715473025512
M44-12_v2_null_shuffle,44,False,12,,"(93, 4987)",M,0.9200476081659203,1.0569195514760035,0.5931638594028162,0.0964038909220897,0.09684958914663686,0.09596115242237269
M45-12_v2_null_shuffle,45,False,12,,"(81, 4877)",M,0.8469288024155602,0.9372396401986661,0.6582886635702948,0.12684378759847995,0.12413795120049467,0.12943959384805634
M46-12_v2_null_shuffle,46,False,12,,"(116, 4835)",M,0.9421919611361282,1.0279174921007534,0.7828466091463466,0.09347124171970146,0.09366616206235699,0.09328673870772039
M251-6_v2_null_shuffle,251,False,6,,"(52, 4966)",F,0.8627606035032224,0.9117941259148205,0.7683096405040288,0.10093765568054182,0.10092564951411843,0.10094413838949964
M254-6_v2_null_shuffle,254,False,6,,"(51, 4955)",M,0.8831183521156448,0.9754336502069715,0.6862162860980288,0.10580697806104844,0.10613007429438077,0.10546706569819256
M308-8_v2_null_shuffle,308,False,8,2.0,"(88, 7378)",F,0.9334505328563225,1.0410217150903867,0.674097451669515,0.09789510923597916,0.09595441327912636,0.10034855563133899
M308-10_v2_null_shuffle,308,False,10,2.0,"(111, 7328)",F,0.8995317627180698,0.9735009071887301,0.7097872394968603,0.13816821552335773,0.14119151536549798,0.13529272463907907
M308-12_v2_null_shuffle,308,False,12,2.0,"(135, 7630)",F,0.9179987372998064,0.9238377395347113,0.9044165679438297,0.10036744014003827,0.09986113927514609,0.10087192680856626
M308-14_v2_null_shuffle,308,False,14,2.0,"(107, 7269)",F,0.9019477218066275,0.9100029433153893,0.884740398759774,0.14751146075345192,0.14776248196433597,0.14702525486462548
M316-8_v2_null_shuffle,316,True,8,3.0,"(83, 7579)",F,0.8811405783901266,1.0136985653272352,0.5726646930730245,0.10338318142841942,0.10308004824374811,0.10368887804870683
M316-10_v2_null_shuffle,316,True,10,3.0,"(104, 7207)",F,0.8742677571363848,0.8868383247249624,0.843138493167209,0.10558637153006317,0.1075077155930212,0.10367549945734857
M316-12_v2_null_shuffle,316,True,12,3.0,"(94, 7392)",F,0.8772698956592053,0.9412215663842087,0.6161062140677046,0.12233988646138275,0.12419916686437979,0.12075038633850359
M322-6_v2_null_shuffle,322,True,6,3.0,"(140, 7572)",M,0.9310635781920185,1.022601887144266,0.62857270342606,0.09958733590953203,0.09903797492754063,0.10011357197180704
M322-8_v2_null_shuffle,322,True,8,3.0,"(83, 7594)",M,0.8715456550324462,1.0097453933109632,0.47060629669999593,0.11113418233284134,0.1120259495825767,0.110256120693815
M322-10_v2_null_shuffle,322,True,10,3.0,"(45, 7308)",M,0.8989776184010837,0.9850926240119171,0.672857159338349,0.11381015938903506,0.11242389843408855,0.11536715476787654
M322-12_v2_null_shuffle,322,True,12,3.0,"(182, 7577)",M,0.8759764261083511,0.9155594167423846,0.7608977508049717,0.11515840324207048,0.11679879499244927,0.11348203126705166
M353-6_v2_null_shuffle,353,True,6,5.0,"(97, 7497)",M,0.8741040964377713,0.9480024281873327,0.6724139951480732,0.12652047360863994,0.12564598148206244,0.12737072325706728
M353-8_v2_null_shuffle,353,True,8,5.0,"(109, 7400)",M,0.8657651984121837,0.9468192579226975,0.6088586690543334,0.11255710671365497,0.11278804619022592,0.11230273410232725
M353-10_v2_null_shuffle,353,True,10,5.0,"(113, 7428)",M,0.9075899884431962,0.9586721393081177,0.7038325122362206,0.1323686162545369,0.1336559260817012,0.13101604477872386
M361-6_v2_null_shuffle,361,True,6,5.0,"(108, 7428)",F,0.9018620708743472,0.993178498115421,0.5819505178643308,0.12703610286195055,0.12731863196390972,0.12676462944850797
M365-6_v2_null_shuffle,365,True,6,6.0,"(87, 7428)",F,0.8670450702886966,0.9828985109966691,0.6145552882151328,0.1548998577349133,0.15320380245576648,0.15653999132859484
M367-6_v2_null_shuffle,367,True,6,6.0,"(162, 7529)",F,0.8597013390059689,0.9605288831113863,0.6320534909296889,0.1284303697538541,0.1311734450498457,0.12602067709776438
M374-6_v2_null_shuffle,374,True,6,6.0,"(72, 7417)",M,0.9046862486298237,1.015852618426237,0.6699709223674775,0.09354037964529595,0.0935753064918369,0.09349838291481974
M374-8_v2_null_shuffle,374,True,8,6.0,"(68, 7125)",M,0.8591222229653941,0.9991731363124563,0.48703725998518327,0.14474761168963438,0.14191887342889176,0.1479127008270298
M374-10_v2_null_shuffle,374,True,10,6.0,"(68, 7649)",M,0.8959435898345959,1.025960334110404,0.5941252767752874,0.12492481984839,0.12450414764822526,0.12533617456172208
M387-6_v2_null_shuffle,387,True,6,7.0,"(90, 7540)",M,0.9037806166339531,1.0304333777710648,0.5684791734550056,0.08984330883572726,0.08996692776961268,0.0897026392922585
M387-10_v2_null_shuffle,387,True,10,7.0,"(117, 7462)",M,0.8897125867332271,0.9738726702090662,0.6184084331927521,0.15097334242638408,0.14736600945481734,0.15421754607453486
M396-6_v2_null_shuffle,396,True,6,7.0,"(89, 7528)",F,0.8760413472236719,0.9880754283611191,0.5974898339795403,0.13752627456864838,0.1371501483584791,0.13790512804090824
M397-6_v2_null_shuffle,397,True,6,7.0,"(69, 7503)",F,0.9033813821467848,1.0291295501353508,0.5817941666594314,0.10623736845549195,0.10653188616620007,0.10582461469193136
M410-6_v2_null_shuffle,410,True,6,9.0,"(99, 7428)",M,0.8948955950863875,1.0235668122285095,0.4849288398243918,0.17087119717256075,0.17049408705176639,0.17122654955998073
M410-8_v2_null_shuffle,410,True,8,9.0,"(102, 7532)",M,0.870681207895571,0.9588019314037297,0.6544093858869893,0.11041349254397989,0.1142652513274394,0.10691662999093142
M410-10_v2_null_shuffle,410,True,10,9.0,"(71, 7137)",M,0.8813406112123102,1.0188335192327853,0.4529130212988174,0.12628894986678757,0.1259365072355038,0.12658520089261718
M412-8_v2_null_shuffle,412,True,8,9.0,"(135, 7515)",F,0.8954080926844121,0.9261122028728686,0.820453454814085,0.09890824497142967,0.09800427893272042,0.09985851322819188
M412-10_v2_null_shuffle,412,True,10,9.0,"(101, 7163)",F,0.9168791160142251,1.0105670474636783,0.46804039633739214,0.09109892468296173,0.09109621202618814,0.09109003021226743
M415-6_v2_null_shuffle,415,True,6,9.0,"(131, 7585)",F,0.8750016337487603,1.0074829456831016,0.4656547125604013,0.12412138420682564,0.12389601031051595,0.12431629708419838
M415-8_v2_null_shuffle,415,True,8,9.0,"(62, 7420)",F,0.8776948033710559,0.9826709296103133,0.4795669732242451,0.19390489000657585,0.19351408313612425,0.19427067244541937
