id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,,,,,,
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,-0.05390095940991463,-0.04689919751624548,-0.05067990393898489,-0.48,0.46666666666666673,-0.7866666666666667
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.4792731480687636,0.12104177125517791,0.4220811646105306,0.5517241379310345,0.1264367816091954,0.5517241379310345
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,,,,,,
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.5190893763215162,0.11340992278610658,0.4568287454536289,0.4102564102564103,0.5897435897435898,0.4487179487179486
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.0365156725594845,-0.1113449793517853,-0.010720510306341689,-0.33333333333333326,0.08045977011494256,-0.4137931034482758
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,0.05162744678106242,0.11426023071591779,0.12463885667625915,0.39130434782608686,0.4782608695652174,0.08695652173913047
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.3130844075234416,0.07044195539936236,0.25948078317755596,-0.1547619047619047,-0.16666666666666669,-0.17857142857142858
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.322055310284184,0.22894305629233913,0.29348223440368193,-0.3645833333333333,0.14583333333333334,-0.40625
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.18535175853785493,0.06962987071103932,0.1327600800955993,0.5,0.19444444444444442,0.36111111111111116
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.15897071102989238,0.1376228684532276,0.12630567837679052,-0.20289855072463767,1.9308226515220113e-17,-0.014492753623188432
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,,,,,,
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.3374464972526898,0.035398362405771794,0.2237920771951796,-0.8636363636363636,0.16666666666666663,-0.3181818181818181
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,,,,,,
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.4769080968420231,0.05514901485653456,0.37232729320520935,-0.10256410256410257,-0.3589743589743589,0.038461538461538464
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,,,,,,
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,,,,,,
M322-12_v2_mvmt,322,True,12,3.0,"(182, 7577)",M,0.2882040062361925,0.19038022008281535,0.3061737114445232,-0.10714285714285718,-0.07142857142857142,-0.20238095238095236
M353-6_v2_mvmt,353,True,6,5.0,"(97, 7497)",M,,,,,,
M353-8_v2_mvmt,353,True,8,5.0,"(109, 7400)",M,,,,,,
M353-10_v2_mvmt,353,True,10,5.0,"(113, 7428)",M,0.25268472915520196,0.07672286416070151,0.23576494400774536,-0.37878787878787873,0.30303030303030304,-0.5454545454545454
M361-6_v2_mvmt,361,True,6,5.0,"(108, 7428)",F,,,,,,
M365-6_v2_mvmt,365,True,6,6.0,"(87, 7428)",F,,,,,,
M367-6_v2_mvmt,367,True,6,6.0,"(162, 7529)",F,,,,,,
M374-6_v2_mvmt,374,True,6,6.0,"(72, 7417)",M,0.3799232634566789,0.15629645733550648,0.35856448819238096,0.19540229885057472,0.03448275862068966,-0.25287356321839083
M374-8_v2_mvmt,374,True,8,6.0,"(68, 7125)",M,0.4107010885388447,0.10101827489991913,0.3483141928189602,-0.06349206349206352,0.4761904761904763,-0.31746031746031744
M374-10_v2_mvmt,374,True,10,6.0,"(68, 7649)",M,0.4552507654642187,0.21853924690493542,0.3863690679628338,-0.16666666666666666,-0.2948717948717949,-0.3205128205128205
M387-6_v2_mvmt,387,True,6,7.0,"(90, 7540)",M,0.45076909871869386,0.20260952810190905,0.39570912518009854,-0.8333333333333334,-0.09722222222222221,-0.8333333333333334
M387-10_v2_mvmt,387,True,10,7.0,"(117, 7462)",M,,,,,,
M396-6_v2_mvmt,396,True,6,7.0,"(89, 7528)",F,,,,,,
M397-6_v2_mvmt,397,True,6,7.0,"(69, 7503)",F,0.5111567133863135,0.16831088057205407,0.41455198009474314,-0.282051282051282,-0.12820512820512822,-0.24358974358974356
M410-6_v2_mvmt,410,True,6,9.0,"(99, 7428)",M,,,,,,
M410-8_v2_mvmt,410,True,8,9.0,"(102, 7532)",M,0.5519044372692322,0.17593782456843796,0.45345958136099984,-0.4642857142857143,-0.023809523809523798,-0.5595238095238094
M410-10_v2_mvmt,410,True,10,9.0,"(71, 7137)",M,0.5344732711262146,0.13532567581308752,0.4513343123599886,-0.3589743589743589,0.4230769230769231,-0.5384615384615384
M412-8_v2_mvmt,412,True,8,9.0,"(135, 7515)",F,0.16889996091189388,0.19032129490893632,0.19271408197083797,-0.5555555555555556,-0.14285714285714285,0.015873015873015858
M412-10_v2_mvmt,412,True,10,9.0,"(101, 7163)",F,0.4420462300959613,0.09848869530057144,0.3464793236442253,-0.5128205128205128,0.6666666666666666,-0.33333333333333326
M415-6_v2_mvmt,415,True,6,9.0,"(131, 7585)",F,,,,,,
M415-8_v2_mvmt,415,True,8,9.0,"(62, 7420)",F,,,,,,
