id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,,,,,,
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.02054378899639326,-0.018771616316917802,-0.004662137328877547,0.5599999999999999,0.33333333333333326,0.013333333333333251
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.33684163385436383,0.036255482853208586,0.24801825794044408,0.43678160919540227,-0.16091954022988506,0.3448275862068966
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,,,,,,
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.4709558282562059,0.058416338435839855,0.3686714180991662,0.5769230769230769,0.5897435897435896,0.37179487179487186
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,-0.183110570441744,-0.03868337689278061,-0.09979241620654157,-2.0804597701149428,0.6896551724137931,-1.4252873563218391
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.2356277176131116,0.06976074672212873,0.20249204874099166,-0.01449275362318846,0.2028985507246377,-0.24637681159420283
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.31470112153877583,0.08266826923333241,0.25271446324113633,-0.20238095238095236,-0.5476190476190477,-0.10714285714285712
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.2938681465467237,0.24371893634164513,0.28839785191432016,0.125,0.07291666666666666,-0.1875
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.2369955640777318,0.07769433162163251,0.15321733231531295,0.09722222222222222,-0.13888888888888895,0.29166666666666663
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.16161776800476824,0.14650957437234274,0.13086487073744166,-0.13043478260869562,-0.14492753623188406,-0.3768115942028986
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,,,,,,
M316-10_v2_no_mvmt,316,True,10,3.0,"(104, 7207)",F,0.31889657447266234,0.08134176552776358,0.2435256797294312,0.15151515151515157,-0.2878787878787879,-0.030303030303030276
M316-12_v2_no_mvmt,316,True,12,3.0,"(94, 7392)",F,,,,,,
M322-6_v2_no_mvmt,322,True,6,3.0,"(140, 7572)",M,0.3818364233224999,0.06535574122206098,0.2925114426790469,0.28205128205128205,-0.23076923076923078,0.08974358974358972
M322-8_v2_no_mvmt,322,True,8,3.0,"(83, 7594)",M,,,,,,
M322-10_v2_no_mvmt,322,True,10,3.0,"(45, 7308)",M,,,,,,
M322-12_v2_no_mvmt,322,True,12,3.0,"(182, 7577)",M,0.3164186549150278,0.13854389067560666,0.28458674799119416,0.07142857142857142,0.14285714285714282,-0.04761904761904761
M353-6_v2_no_mvmt,353,True,6,5.0,"(97, 7497)",M,,,,,,
M353-8_v2_no_mvmt,353,True,8,5.0,"(109, 7400)",M,,,,,,
M353-10_v2_no_mvmt,353,True,10,5.0,"(113, 7428)",M,0.17074468175158142,0.1306331457740754,0.16347821835592866,0.060606060606060615,-0.43939393939393945,0.015151515151515138
M361-6_v2_no_mvmt,361,True,6,5.0,"(108, 7428)",F,,,,,,
M365-6_v2_no_mvmt,365,True,6,6.0,"(87, 7428)",F,,,,,,
M367-6_v2_no_mvmt,367,True,6,6.0,"(162, 7529)",F,,,,,,
M374-6_v2_no_mvmt,374,True,6,6.0,"(72, 7417)",M,0.1571858276476471,0.07519102180586947,0.15460902651483807,0.5402298850574713,-0.2873563218390805,0.5057471264367815
M374-8_v2_no_mvmt,374,True,8,6.0,"(68, 7125)",M,0.2190631473162355,0.1447172671800679,0.2025753586716853,0.5714285714285714,0.31746031746031744,0.36507936507936506
M374-10_v2_no_mvmt,374,True,10,6.0,"(68, 7649)",M,0.4233512662010028,0.1426622599113889,0.32971349133533373,-0.14102564102564102,0.06410256410256411,-0.06410256410256408
M387-6_v2_no_mvmt,387,True,6,7.0,"(90, 7540)",M,0.29649853345132265,0.1840209043947484,0.2758733362809886,0.13888888888888884,-0.4305555555555556,0.02777777777777779
M387-10_v2_no_mvmt,387,True,10,7.0,"(117, 7462)",M,,,,,,
M396-6_v2_no_mvmt,396,True,6,7.0,"(89, 7528)",F,,,,,,
M397-6_v2_no_mvmt,397,True,6,7.0,"(69, 7503)",F,0.4437167324155307,0.20725403023280087,0.38549927099160375,1.708035422500241e-17,-0.07692307692307694,-0.11538461538461536
M410-6_v2_no_mvmt,410,True,6,9.0,"(99, 7428)",M,,,,,,
M410-8_v2_no_mvmt,410,True,8,9.0,"(102, 7532)",M,0.3084096845327006,0.19557997683193085,0.2940054020587245,0.16666666666666669,0.1904761904761905,-0.023809523809523808
M410-10_v2_no_mvmt,410,True,10,9.0,"(71, 7137)",M,0.386653280987384,0.029055568693879555,0.26718030638797424,-0.3076923076923077,-0.19230769230769232,-0.15384615384615385
M412-8_v2_no_mvmt,412,True,8,9.0,"(135, 7515)",F,0.25765885950560125,0.1256281378936078,0.2180674637469423,7.93016446160826e-18,-0.03174603174603178,0.09523809523809523
M412-10_v2_no_mvmt,412,True,10,9.0,"(101, 7163)",F,0.22476424502001618,0.08448708147953414,0.20358996156436351,-0.5,0.2564102564102564,-0.32051282051282054
M415-6_v2_no_mvmt,415,True,6,9.0,"(131, 7585)",F,,,,,,
M415-8_v2_no_mvmt,415,True,8,9.0,"(62, 7420)",F,,,,,,
