id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,,,,,,
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,-0.009270368691661778,-0.021968876543679867,-0.013409354599160057,-0.33333333333333337,-0.13333333333333333,0.21333333333333335
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,-0.002839151343830032,-0.006498194495535465,-0.003471105622611031,-0.03448275862068964,-0.12643678160919544,0.14942528735632193
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,,,,,,
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,0.010161510316952126,0.015867409232732495,0.018329277028467043,-0.14102564102564108,0.3205128205128206,0.14102564102564114
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,-0.0023273906314157486,0.0032900909721245344,-0.0017040863641991928,0.7241379310344827,0.6781609195402298,0.05747126436781607
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,-0.01495017164780331,0.011947782685930726,-0.001271238124779885,0.1739130434782608,-0.23188405797101452,1.1594202898550723
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,0.004009499865620616,0.007029164873011003,-0.0010439545772781675,0.9404761904761906,0.20238095238095236,0.7023809523809523
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,-0.013233376741168153,-0.010179981915860021,-0.011226226596493484,0.3125,0.5729166666666667,0.12500000000000003
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,-0.0006679689839483386,0.0032359212048263474,0.0008034184614525763,0.4444444444444444,0.41666666666666674,0.13888888888888887
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,0.009243725734326734,-0.006993859218035687,0.0009762502308648614,0.4782608695652174,-0.9275362318840578,0.42028985507246375
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,,,,,,
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,-0.006377309784989533,-0.012743397277372458,-0.009736674662682831,-0.46969696969696967,0.12121212121212127,-0.5
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,,,,,,
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,-0.002704034016742418,-0.01213235403868209,-0.010073994263601116,-0.4230769230769231,0.38461538461538464,-0.14102564102564108
M322-8_v2_null_normal,322,True,8,3.0,"(83, 7594)",M,,,,,,
M322-10_v2_null_normal,322,True,10,3.0,"(45, 7308)",M,,,,,,
M322-12_v2_null_normal,322,True,12,3.0,"(182, 7577)",M,0.0030499648153058507,-0.015516250203639866,-0.002318099173024435,-0.17857142857142855,0.75,0.08333333333333336
M353-6_v2_null_normal,353,True,6,5.0,"(97, 7497)",M,,,,,,
M353-8_v2_null_normal,353,True,8,5.0,"(109, 7400)",M,,,,,,
M353-10_v2_null_normal,353,True,10,5.0,"(113, 7428)",M,-0.013293737772300753,-0.019704701958866346,-0.01188032530094482,-0.34848484848484845,-0.060606060606060656,-0.10606060606060609
M361-6_v2_null_normal,361,True,6,5.0,"(108, 7428)",F,,,,,,
M365-6_v2_null_normal,365,True,6,6.0,"(87, 7428)",F,,,,,,
M367-6_v2_null_normal,367,True,6,6.0,"(162, 7529)",F,,,,,,
M374-6_v2_null_normal,374,True,6,6.0,"(72, 7417)",M,0.00039553147052087966,-0.00309869474221356,-0.005352522500665024,0.3448275862068966,0.7586206896551724,0.9885057471264368
M374-8_v2_null_normal,374,True,8,6.0,"(68, 7125)",M,-0.02207879059362195,0.004371615588034742,-0.008302220411740563,-0.49206349206349226,0.2698412698412698,-0.11111111111111113
M374-10_v2_null_normal,374,True,10,6.0,"(68, 7649)",M,0.009280842299815737,-0.003970667349985291,0.003154758720049865,0.07692307692307694,0.5384615384615383,0.15384615384615385
M387-6_v2_null_normal,387,True,6,7.0,"(90, 7540)",M,-0.003553860263175928,-0.0014839756933100804,0.001243988939935235,-0.375,0.48611111111111116,0.055555555555555504
M387-10_v2_null_normal,387,True,10,7.0,"(117, 7462)",M,,,,,,
M396-6_v2_null_normal,396,True,6,7.0,"(89, 7528)",F,,,,,,
M397-6_v2_null_normal,397,True,6,7.0,"(69, 7503)",F,0.01267491749391707,-0.012606620765606246,0.0005526831727819451,0.07692307692307693,0.38461538461538464,0.5769230769230769
M410-6_v2_null_normal,410,True,6,9.0,"(99, 7428)",M,,,,,,
M410-8_v2_null_normal,410,True,8,9.0,"(102, 7532)",M,-0.016993124580131712,-0.0006970019322705233,-0.013270162353757681,-0.21428571428571422,-0.1666666666666667,-0.5833333333333334
M410-10_v2_null_normal,410,True,10,9.0,"(71, 7137)",M,-0.001472081902030603,0.02659680966858761,0.00167421049289358,0.37179487179487186,0.20512820512820512,0.6666666666666667
M412-8_v2_null_normal,412,True,8,9.0,"(135, 7515)",F,0.03452392556628091,0.0175165642560253,0.019740775726733897,-0.46031746031746035,-0.09523809523809523,0.7619047619047619
M412-10_v2_null_normal,412,True,10,9.0,"(101, 7163)",F,0.0018760699448956216,-0.003088354172803418,-0.005036662453886011,0.5897435897435896,0.2307692307692307,0.46153846153846156
M415-6_v2_null_normal,415,True,6,9.0,"(131, 7585)",F,,,,,,
M415-8_v2_null_normal,415,True,8,9.0,"(62, 7420)",F,,,,,,
