id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_null_shuffle,39,False,12,,"(88, 4695)",F,,,,,,
M42-12_v2_null_shuffle,42,False,12,,"(113, 4794)",F,-0.01700210896259688,0.009899050198316682,-0.00683399946824716,-0.33333333333333326,-0.31999999999999995,-0.56
M44-12_v2_null_shuffle,44,False,12,,"(93, 4987)",M,0.01072338014970001,0.005219140935468704,0.00982211411804732,0.3908045977011494,0.16091954022988506,0.3103448275862069
M45-12_v2_null_shuffle,45,False,12,,"(81, 4877)",M,,,,,,
M46-12_v2_null_shuffle,46,False,12,,"(116, 4835)",M,-0.011247803400568286,-0.01648222386563654,-0.01166024845821542,0.11538461538461539,-0.07692307692307694,0.3205128205128205
M251-6_v2_null_shuffle,251,False,6,,"(52, 4966)",F,-0.0015094559588155274,0.0018481296771857146,-0.003411013178588964,-0.5402298850574712,-0.20689655172413793,-0.7356321839080461
M254-6_v2_null_shuffle,254,False,6,,"(51, 4955)",M,-0.027418569572538944,0.006915980792528226,-0.0021359899968886754,0.18840579710144925,0.17391304347826092,0.028985507246376784
M308-8_v2_null_shuffle,308,False,8,2.0,"(88, 7378)",F,0.002777619775373778,-0.005198917994585098,-0.00010914685819946035,0.26190476190476186,-0.21428571428571427,0.9642857142857143
M308-10_v2_null_shuffle,308,False,10,2.0,"(111, 7328)",F,0.001647244614971323,-0.014593667724464195,-0.003369504948883722,-0.5833333333333334,-0.06249999999999999,-0.35416666666666674
M308-12_v2_null_shuffle,308,False,12,2.0,"(135, 7630)",F,0.013699439762708274,-0.004377874000544165,0.0018721074425192413,-0.4305555555555555,0.375,-0.3333333333333333
M308-14_v2_null_shuffle,308,False,14,2.0,"(107, 7269)",F,0.0037982141362111273,-0.006259757867795676,-0.005122781048496434,0.08695652173913042,-0.44927536231884063,0.7246376811594202
M316-8_v2_null_shuffle,316,True,8,3.0,"(83, 7579)",F,,,,,,
M316-10_v2_null_shuffle,316,True,10,3.0,"(104, 7207)",F,-0.004723251570598066,-0.00414235361518312,0.0004798241172865831,-0.13636363636363635,0.8030303030303031,0.25757575757575757
M316-12_v2_null_shuffle,316,True,12,3.0,"(94, 7392)",F,,,,,,
M322-6_v2_null_shuffle,322,True,6,3.0,"(140, 7572)",M,-0.014793931185005,-0.005173132773293875,-0.016785274763251055,0.05128205128205137,-0.12820512820512822,-0.02564102564102562
M322-8_v2_null_shuffle,322,True,8,3.0,"(83, 7594)",M,,,,,,
M322-10_v2_null_shuffle,322,True,10,3.0,"(45, 7308)",M,,,,,,
M322-12_v2_null_shuffle,322,True,12,3.0,"(182, 7577)",M,0.004519976516670433,0.013885805909031993,0.0035818092253254792,0.5119047619047619,-0.2380952380952381,-0.10714285714285714
M353-6_v2_null_shuffle,353,True,6,5.0,"(97, 7497)",M,,,,,,
M353-8_v2_null_shuffle,353,True,8,5.0,"(109, 7400)",M,,,,,,
M353-10_v2_null_shuffle,353,True,10,5.0,"(113, 7428)",M,-0.013853595488876864,0.00578434848756614,-0.008843347081121692,0.6666666666666667,0.45454545454545453,0.5303030303030304
M361-6_v2_null_shuffle,361,True,6,5.0,"(108, 7428)",F,,,,,,
M365-6_v2_null_shuffle,365,True,6,6.0,"(87, 7428)",F,,,,,,
M367-6_v2_null_shuffle,367,True,6,6.0,"(162, 7529)",F,,,,,,
M374-6_v2_null_shuffle,374,True,6,6.0,"(72, 7417)",M,-0.008630746272358101,-0.004851445932225884,-0.002735301217158667,0.7701149425287357,0.20689655172413793,-0.3793103448275862
M374-8_v2_null_shuffle,374,True,8,6.0,"(68, 7125)",M,-0.0029882032718126744,-0.001619506222332456,-0.0070144121535243905,0.5873015873015872,4.229421046191072e-17,0.5555555555555556
M374-10_v2_null_shuffle,374,True,10,6.0,"(68, 7649)",M,-0.005031791509614959,0.0036267440722559732,-0.007199180969997648,-0.10256410256410255,-0.11538461538461539,-0.4743589743589744
M387-6_v2_null_shuffle,387,True,6,7.0,"(90, 7540)",M,0.004346094877330432,0.001656612180278449,-0.001916475733818027,0.1805555555555555,0.3194444444444445,0.055555555555555546
M387-10_v2_null_shuffle,387,True,10,7.0,"(117, 7462)",M,,,,,,
M396-6_v2_null_shuffle,396,True,6,7.0,"(89, 7528)",F,,,,,,
M397-6_v2_null_shuffle,397,True,6,7.0,"(69, 7503)",F,0.011225337099645617,0.03572456007353505,0.019608853514487764,0.19230769230769226,-0.23076923076923078,0.06410256410256414
M410-6_v2_null_shuffle,410,True,6,9.0,"(99, 7428)",M,,,,,,
M410-8_v2_null_shuffle,410,True,8,9.0,"(102, 7532)",M,-0.004102273540918602,-0.006997324923329646,-0.007153273104479612,0.09523809523809525,-0.09523809523809523,0.20238095238095236
M410-10_v2_null_shuffle,410,True,10,9.0,"(71, 7137)",M,-0.007182449996048789,-0.0013096332010125893,0.006367350653652629,-0.717948717948718,0.43589743589743585,0.06410256410256415
M412-8_v2_null_shuffle,412,True,8,9.0,"(135, 7515)",F,0.0016904815749514154,0.010025906536936342,0.0018562637469537067,0.5714285714285714,0.4920634920634921,0.22222222222222218
M412-10_v2_null_shuffle,412,True,10,9.0,"(101, 7163)",F,0.012369856738201766,-0.001580602133288971,0.003256487304919348,0.28205128205128194,0.6666666666666667,-0.05128205128205127
M415-6_v2_null_shuffle,415,True,6,9.0,"(131, 7585)",F,,,,,,
M415-8_v2_null_shuffle,415,True,8,9.0,"(62, 7420)",F,,,,,,
