id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,,,,,,
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,-0.006946939779702129,-0.0599733386732147,-0.02701224519539018,0.1066666666666666,0.8666666666666667,-0.5466666666666666
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.19065754745276692,0.0341236470023288,0.14411221735041,-0.057471264367816084,0.04597701149425283,0.20689655172413793
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,,,,,,
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.4356907355340567,0.03824636622186228,0.34039156651665614,0.6794871794871794,0.10256410256410262,0.3589743589743589
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,-0.13289867187449786,-0.07187114083636313,-0.10121363730142188,1.8620689655172413,-0.36781609195402293,1.367816091954023
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.10292596721668618,0.10135848665351097,0.14178075549378652,0.6521739130434783,0.10144927536231889,0.26086956521739124
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.15806991546184834,0.06051266384444575,0.1228872053642903,-0.13095238095238096,-0.13095238095238096,-0.5238095238095238
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.23122173717737948,0.23777838706859244,0.23785861454711743,-0.13541666666666666,-0.3020833333333333,1.3877787807814457e-17
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.14141363617695776,0.09893800484429971,0.11795015971126527,0.5972222222222222,0.3611111111111111,-0.2777777777777778
M308-14_v2_trim_mvmt,308,False,14,2.0,"(107, 7269)",F,0.16767825802879807,0.14101443949657233,0.11774856435664881,-0.07246376811594205,0.07246376811594202,0.43478260869565216
M316-8_v2_trim_mvmt,316,True,8,3.0,"(83, 7579)",F,,,,,,
M316-10_v2_trim_mvmt,316,True,10,3.0,"(104, 7207)",F,0.1434283589656712,0.027753434969841558,0.11587397274719269,-0.16666666666666666,0.2727272727272727,-0.19696969696969696
M316-12_v2_trim_mvmt,316,True,12,3.0,"(94, 7392)",F,,,,,,
M322-6_v2_trim_mvmt,322,True,6,3.0,"(140, 7572)",M,0.13669770780806847,0.024447715935207576,0.07056139506752004,0.4743589743589744,-0.3333333333333333,0.3333333333333333
M322-8_v2_trim_mvmt,322,True,8,3.0,"(83, 7594)",M,,,,,,
M322-10_v2_trim_mvmt,322,True,10,3.0,"(45, 7308)",M,,,,,,
M322-12_v2_trim_mvmt,322,True,12,3.0,"(182, 7577)",M,0.10962247981454572,0.14099803152754417,0.17850413804492637,-0.48809523809523814,0.0595238095238095,-0.40476190476190477
M353-6_v2_trim_mvmt,353,True,6,5.0,"(97, 7497)",M,,,,,,
M353-8_v2_trim_mvmt,353,True,8,5.0,"(109, 7400)",M,,,,,,
M353-10_v2_trim_mvmt,353,True,10,5.0,"(113, 7428)",M,0.12923496782209135,0.09217298484658633,0.13659543409771735,0.09090909090909091,-0.12121212121212119,0.16666666666666666
M361-6_v2_trim_mvmt,361,True,6,5.0,"(108, 7428)",F,,,,,,
M365-6_v2_trim_mvmt,365,True,6,6.0,"(87, 7428)",F,,,,,,
M367-6_v2_trim_mvmt,367,True,6,6.0,"(162, 7529)",F,,,,,,
M374-6_v2_trim_mvmt,374,True,6,6.0,"(72, 7417)",M,0.17374404518214231,0.05257567190542458,0.1466976129800449,-0.03448275862068967,0.5287356321839081,0.3103448275862069
M374-8_v2_trim_mvmt,374,True,8,6.0,"(68, 7125)",M,0.14760283439787297,0.1085697659410079,0.1481083225452018,0.5873015873015872,-0.4444444444444445,0.23809523809523808
M374-10_v2_trim_mvmt,374,True,10,6.0,"(68, 7649)",M,0.31581099597586,0.19246442185754142,0.272038376108847,-0.08974358974358974,0.16666666666666663,-0.025641025641025637
M387-6_v2_trim_mvmt,387,True,6,7.0,"(90, 7540)",M,0.28691512006355374,0.1645265229514353,0.2574033926954565,0.02777777777777779,-0.34722222222222227,-0.12499999999999999
M387-10_v2_trim_mvmt,387,True,10,7.0,"(117, 7462)",M,,,,,,
M396-6_v2_trim_mvmt,396,True,6,7.0,"(89, 7528)",F,,,,,,
M397-6_v2_trim_mvmt,397,True,6,7.0,"(69, 7503)",F,0.41436873285170644,0.15029556241457953,0.35822564878716323,0.08974358974358973,-0.20512820512820518,-0.16666666666666666
M410-6_v2_trim_mvmt,410,True,6,9.0,"(99, 7428)",M,,,,,,
M410-8_v2_trim_mvmt,410,True,8,9.0,"(102, 7532)",M,0.3075981367335347,0.209282008624661,0.28722865294852085,-0.25,-0.42857142857142855,-0.15476190476190474
M410-10_v2_trim_mvmt,410,True,10,9.0,"(71, 7137)",M,0.23655728270927898,0.10947965571369277,0.2209000924858537,0.2948717948717949,0.2948717948717948,-0.08974358974358974
M412-8_v2_trim_mvmt,412,True,8,9.0,"(135, 7515)",F,0.19165980882383635,0.185203316059239,0.18694254088894105,-0.3333333333333333,-0.3015873015873015,-0.11111111111111112
M412-10_v2_trim_mvmt,412,True,10,9.0,"(101, 7163)",F,0.20133874595802276,0.09750509769018058,0.18074115872718988,-0.012820512820512827,0.6538461538461539,0.16666666666666666
M415-6_v2_trim_mvmt,415,True,6,9.0,"(131, 7585)",F,,,,,,
M415-8_v2_trim_mvmt,415,True,8,9.0,"(62, 7420)",F,,,,,,
