id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,,,,,,
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,-0.04354423303278184,-0.030041773582840724,-0.044130609418892644,-0.8166666666666668,0.5333333333333333,-0.7666666666666667
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.45462835784408273,0.1570098575224445,0.39303323755227826,0.45614035087719307,-0.12280701754385966,0.40350877192982454
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,,,,,,
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.385327628557358,0.1548848370605389,0.36172573242356704,0.8115942028985508,-0.11594202898550728,1.115942028985507
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.024655467037173695,-0.08288810002317844,-0.004216658352322761,-0.17391304347826084,0.31884057971014496,0.07246376811594202
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,0.11862131856192701,0.10628073011736516,0.10061996498177406,0.011111111111111072,-0.7,-0.11111111111111113
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.23629248474455739,0.16937015575947162,0.23307645555360976,-0.2948717948717949,0.10256410256410256,-0.5769230769230769
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.34063984464634733,0.16876574050467477,0.31013544493334605,-0.16666666666666669,0.13636363636363635,-0.22727272727272727
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.19588090735822986,0.09331274321784452,0.1423791732170617,-0.43478260869565216,-0.2608695652173913,-0.028985507246376815
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.2596434249790265,0.1551311212682324,0.2313001538043535,-0.05376344086021505,0.02150537634408603,0.2043010752688172
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,,,,,,
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.42468634140850126,0.15689695309189614,0.36284647875717096,-0.4444444444444444,0.17777777777777776,-0.044444444444444405
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,,,,,,
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.4715987106800983,-0.03623418384208913,0.35594566703617186,-0.24444444444444444,0.4111111111111111,-0.2555555555555555
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,,,,,,
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,,,,,,
M322-12_v2_mvmt,322,True,12,3.0,"(182, 7577)",M,0.22428577925278784,0.07557642046478506,0.21393192450030055,-0.35714285714285715,0.14285714285714282,-0.39285714285714285
M353-6_v2_mvmt,353,True,6,5.0,"(97, 7497)",M,,,,,,
M353-8_v2_mvmt,353,True,8,5.0,"(109, 7400)",M,,,,,,
M353-10_v2_mvmt,353,True,10,5.0,"(113, 7428)",M,0.46791097152910593,0.11214282996313855,0.3716798321449336,-0.47435897435897434,-0.30769230769230765,-0.2692307692307692
M361-6_v2_mvmt,361,True,6,5.0,"(108, 7428)",F,,,,,,
M365-6_v2_mvmt,365,True,6,6.0,"(87, 7428)",F,,,,,,
M367-6_v2_mvmt,367,True,6,6.0,"(162, 7529)",F,,,,,,
M374-6_v2_mvmt,374,True,6,6.0,"(72, 7417)",M,0.37182551999209484,0.13289286082221552,0.3451629548629466,0.013888888888888886,0.27777777777777773,-0.2222222222222222
M374-8_v2_mvmt,374,True,8,6.0,"(68, 7125)",M,0.5708908148650137,0.11321633243729336,0.44935848340249296,-0.38095238095238093,0.492063492063492,-0.492063492063492
M374-10_v2_mvmt,374,True,10,6.0,"(68, 7649)",M,0.4008820872445368,0.22526824164627765,0.3437420289841293,-0.36363636363636365,0.3181818181818182,-0.5606060606060606
M387-6_v2_mvmt,387,True,6,7.0,"(90, 7540)",M,0.419671953926294,0.17030446509136318,0.3649844602259409,-0.4888888888888888,0.4666666666666667,-0.4444444444444444
M387-10_v2_mvmt,387,True,10,7.0,"(117, 7462)",M,,,,,,
M396-6_v2_mvmt,396,True,6,7.0,"(89, 7528)",F,,,,,,
M397-6_v2_mvmt,397,True,6,7.0,"(69, 7503)",F,0.5264353680587455,0.2032203895317582,0.44482054198851684,-0.38333333333333336,-0.2,-0.5
M410-6_v2_mvmt,410,True,6,9.0,"(99, 7428)",M,,,,,,
M410-8_v2_mvmt,410,True,8,9.0,"(102, 7532)",M,0.41260483128723463,0.08523086023983946,0.3345319278030579,-0.22222222222222218,-0.15277777777777776,-0.20833333333333334
M410-10_v2_mvmt,410,True,10,9.0,"(71, 7137)",M,0.5569197716295875,0.11340277351659474,0.44473179737325663,-0.4,0.5733333333333333,-0.3466666666666666
M412-8_v2_mvmt,412,True,8,9.0,"(135, 7515)",F,0.2649680219449525,0.18901345244228282,0.24880958596432673,-0.29885057471264365,-0.4482758620689655,-0.5402298850574713
M412-10_v2_mvmt,412,True,10,9.0,"(101, 7163)",F,0.45327871707954387,0.07727377300928957,0.3276547092178099,-0.30666666666666664,0.44,-0.22666666666666666
M415-6_v2_mvmt,415,True,6,9.0,"(131, 7585)",F,,,,,,
M415-8_v2_mvmt,415,True,8,9.0,"(62, 7420)",F,,,,,,
