id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,,,,,,
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,0.01813137275763672,0.023195972431983354,0.013331140407582561,-0.4833333333333333,0.2,-0.3833333333333333
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,0.01592668641021998,0.03477660589492193,0.024280400773324946,-0.19298245614035084,-0.40350877192982454,-0.035087719298245536
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,,,,,,
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,0.0028393877726407084,-0.019749149299826917,-0.004151042644639801,0.4637681159420289,0.17391304347826095,0.1884057971014493
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,0.0019516636018990078,-0.0021592851032005726,0.002418150211621972,0.2898550724637681,0.44927536231884063,-0.07246376811594209
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,-0.0034647187268538253,-0.008622901054068075,-0.008795384065998842,0.35555555555555546,0.10000000000000003,0.6444444444444445
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,-0.006857705623743947,-0.001977661739580121,0.0010412830417248855,0.8333333333333333,0.2051282051282051,0.012820512820512886
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,0.01781419089523618,-0.016407423027073986,-0.0001923619482060438,-0.07575757575757575,-0.5454545454545454,-0.5
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,0.0025843732340148713,-0.0032638559805459413,-0.003377100940577235,0.7246376811594203,0.24637681159420294,-0.05797101449275365
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,-0.015312371859064106,-0.0036768591195393435,-0.0042794463671282385,0.10752688172043007,0.4301075268817205,-0.5698924731182795
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,,,,,,
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,0.006988592432806138,0.025982569410097658,0.011864349680628057,0.11111111111111108,0.4888888888888888,0.8
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,,,,,,
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,-0.004648940108535388,0.008129558623231786,-0.001035555883728292,0.13333333333333333,-0.7666666666666667,0.4
M322-8_v2_null_normal,322,True,8,3.0,"(83, 7594)",M,,,,,,
M322-10_v2_null_normal,322,True,10,3.0,"(45, 7308)",M,,,,,,
M322-12_v2_null_normal,322,True,12,3.0,"(182, 7577)",M,-0.0023040713646353857,0.008549282465896185,-0.008560438133406588,0.011904761904761862,0.10714285714285711,-0.023809523809523805
M353-6_v2_null_normal,353,True,6,5.0,"(97, 7497)",M,,,,,,
M353-8_v2_null_normal,353,True,8,5.0,"(109, 7400)",M,,,,,,
M353-10_v2_null_normal,353,True,10,5.0,"(113, 7428)",M,-0.020977362071376314,0.003924546480329864,-0.003748804442238866,-0.358974358974359,0.3589743589743591,0.19230769230769226
M361-6_v2_null_normal,361,True,6,5.0,"(108, 7428)",F,,,,,,
M365-6_v2_null_normal,365,True,6,6.0,"(87, 7428)",F,,,,,,
M367-6_v2_null_normal,367,True,6,6.0,"(162, 7529)",F,,,,,,
M374-6_v2_null_normal,374,True,6,6.0,"(72, 7417)",M,0.0026562278186526046,0.00916142283114199,0.0035764828949023317,0.3333333333333333,0.9027777777777778,0.5833333333333334
M374-8_v2_null_normal,374,True,8,6.0,"(68, 7125)",M,-0.009792481849920561,-0.0009580074148087417,-0.0012463610126210102,-0.04761904761904773,0.031746031746031717,-0.14285714285714285
M374-10_v2_null_normal,374,True,10,6.0,"(68, 7649)",M,-0.019157503462637768,-0.01833528779586399,-0.01762561220300799,-0.07575757575757582,-0.36363636363636365,-0.25757575757575774
M387-6_v2_null_normal,387,True,6,7.0,"(90, 7540)",M,0.013879011892826658,0.0273423779670006,0.00961447374752256,-0.15555555555555553,-0.48888888888888893,-0.022222222222222202
M387-10_v2_null_normal,387,True,10,7.0,"(117, 7462)",M,,,,,,
M396-6_v2_null_normal,396,True,6,7.0,"(89, 7528)",F,,,,,,
M397-6_v2_null_normal,397,True,6,7.0,"(69, 7503)",F,-0.007968713451999159,0.009187820787631154,-0.003162392863244911,-0.38333333333333336,0.5833333333333333,-0.41666666666666663
M410-6_v2_null_normal,410,True,6,9.0,"(99, 7428)",M,,,,,,
M410-8_v2_null_normal,410,True,8,9.0,"(102, 7532)",M,-0.007817300745666637,0.008640374389174837,0.0011470613798021491,-0.24999999999999997,0.11111111111111109,0.5
M410-10_v2_null_normal,410,True,10,9.0,"(71, 7137)",M,-0.0066870963666774705,0.00456947527218362,0.0043340351706019145,0.48,-0.09333333333333331,-0.04
M412-8_v2_null_normal,412,True,8,9.0,"(135, 7515)",F,0.0021414697235868346,0.013664505027522351,0.002328253543332226,0.5517241379310345,0.19540229885057472,0.5517241379310345
M412-10_v2_null_normal,412,True,10,9.0,"(101, 7163)",F,0.009330498443182348,-0.009539895932091478,0.00012147547955127735,0.09333333333333335,0.42666666666666664,-0.09333333333333335
M415-6_v2_null_normal,415,True,6,9.0,"(131, 7585)",F,,,,,,
M415-8_v2_null_normal,415,True,8,9.0,"(62, 7420)",F,,,,,,
