id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,,,,,,
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,-0.08216654877217892,-0.015031446346923539,-0.029416305514776652,1.0166666666666664,0.39999999999999997,0.95
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.16371566967119672,0.10162087144879099,0.17300776893740852,-0.035087719298245654,0.26315789473684215,0.10526315789473686
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,,,,,,
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.34477504255616237,0.11239524474880831,0.28910603313550837,1.0144927536231882,-0.08695652173913042,0.7391304347826086
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,-0.12038970367971677,-0.0532089922739435,-0.06514954092089319,2.217391304347826,0.6811594202898551,1.507246376811594
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.15057364530532827,0.10732342031230083,0.12466447563555906,-0.31111111111111117,-0.4666666666666667,-0.5333333333333333
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.12868426267667882,0.1286024091978349,0.14221146627709708,-0.03846153846153848,-0.025641025641025637,0.5384615384615384
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.27504658420412476,0.20330185098708184,0.26091764774185044,-0.045454545454545456,-0.3939393939393939,-0.0909090909090909
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.16036323308646513,0.1100933960930581,0.1411486708047121,0.13043478260869565,0.391304347826087,0.13043478260869565
M308-14_v2_trim_mvmt,308,False,14,2.0,"(107, 7269)",F,0.2584853724373095,0.16501069260255685,0.21136631319043594,0.13978494623655915,0.03225806451612902,-0.1935483870967742
M316-8_v2_trim_mvmt,316,True,8,3.0,"(83, 7579)",F,,,,,,
M316-10_v2_trim_mvmt,316,True,10,3.0,"(104, 7207)",F,0.30395464819428775,0.15646854992434198,0.25225019901702667,0.02222222222222224,0.17777777777777773,0.2888888888888889
M316-12_v2_trim_mvmt,316,True,12,3.0,"(94, 7392)",F,,,,,,
M322-6_v2_trim_mvmt,322,True,6,3.0,"(140, 7572)",M,0.01734714384904106,-0.10041416974160408,-0.019470489774370374,0.5333333333333333,0.12222222222222232,0.8777777777777778
M322-8_v2_trim_mvmt,322,True,8,3.0,"(83, 7594)",M,,,,,,
M322-10_v2_trim_mvmt,322,True,10,3.0,"(45, 7308)",M,,,,,,
M322-12_v2_trim_mvmt,322,True,12,3.0,"(182, 7577)",M,-0.026074500729343735,0.001815286984751938,0.03921288981336213,-0.8095238095238095,0.3452380952380953,-0.34523809523809523
M353-6_v2_trim_mvmt,353,True,6,5.0,"(97, 7497)",M,,,,,,
M353-8_v2_trim_mvmt,353,True,8,5.0,"(109, 7400)",M,,,,,,
M353-10_v2_trim_mvmt,353,True,10,5.0,"(113, 7428)",M,0.2941373927045708,0.11805416568424389,0.2290309890380794,0.2435897435897436,0.17948717948717946,0.1282051282051282
M361-6_v2_trim_mvmt,361,True,6,5.0,"(108, 7428)",F,,,,,,
M365-6_v2_trim_mvmt,365,True,6,6.0,"(87, 7428)",F,,,,,,
M367-6_v2_trim_mvmt,367,True,6,6.0,"(162, 7529)",F,,,,,,
M374-6_v2_trim_mvmt,374,True,6,6.0,"(72, 7417)",M,0.22413221391966764,0.10764254345909778,0.19689091204073486,0.3194444444444445,-0.11111111111111112,0.40277777777777773
M374-8_v2_trim_mvmt,374,True,8,6.0,"(68, 7125)",M,0.3410234633714768,0.1299704392201862,0.26121830075441493,0.12698412698412698,-0.03174603174603173,-1.057355261547768e-17
M374-10_v2_trim_mvmt,374,True,10,6.0,"(68, 7649)",M,0.30523744565053657,0.19878730022292943,0.26652679110159866,-0.25757575757575757,-0.5303030303030303,-0.13636363636363635
M387-6_v2_trim_mvmt,387,True,6,7.0,"(90, 7540)",M,0.30973290248297286,0.14010060851896114,0.24563665051880107,0.022222222222222216,0.22222222222222224,0.5555555555555555
M387-10_v2_trim_mvmt,387,True,10,7.0,"(117, 7462)",M,,,,,,
M396-6_v2_trim_mvmt,396,True,6,7.0,"(89, 7528)",F,,,,,,
M397-6_v2_trim_mvmt,397,True,6,7.0,"(69, 7503)",F,0.42019491308748513,0.2019492152407183,0.3639412372141204,0.06666666666666667,0.0833333333333333,-0.35
M410-6_v2_trim_mvmt,410,True,6,9.0,"(99, 7428)",M,,,,,,
M410-8_v2_trim_mvmt,410,True,8,9.0,"(102, 7532)",M,0.26228034682492907,0.13082724950700986,0.22456676404737985,0.5416666666666667,0.23611111111111113,1.850371707708594e-17
M410-10_v2_trim_mvmt,410,True,10,9.0,"(71, 7137)",M,0.3048155463009569,0.14514274840292038,0.23181024484846371,-0.06666666666666665,0.36,0.14666666666666667
M412-8_v2_trim_mvmt,412,True,8,9.0,"(135, 7515)",F,0.23831414296267145,0.170649339884277,0.21202974055251975,-0.20689655172413793,-0.20689655172413796,-0.2528735632183908
M412-10_v2_trim_mvmt,412,True,10,9.0,"(101, 7163)",F,0.13326694753452015,0.07971895413510408,0.10799025249115755,0.5199999999999999,0.3466666666666666,-0.02666666666666668
M415-6_v2_trim_mvmt,415,True,6,9.0,"(131, 7585)",F,,,,,,
M415-8_v2_trim_mvmt,415,True,8,9.0,"(62, 7420)",F,,,,,,
