id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,0.16678578336414968,-0.00074345427148364,0.12468023475401681,0.03933948518698397,0.12255140035615997,-0.019022179051319414
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,-0.12461984524876871,0.04428448188939598,-0.06577040407712001,-0.2685624012638231,0.08825219014792474,-0.19998563837426397
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.1779067172029365,0.09399387563682265,0.16373682606619988,-0.03690104644758583,0.17759011076433515,0.012912306468392379
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,0.027758964503908398,0.0198910818787812,0.045445953519158054,-0.26917936380646884,0.09115209836941995,-0.28976209569633793
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.22073608168805686,0.18605461001337292,0.23287861892937137,-0.05547903275176003,0.09565350474441385,0.10908325681052954
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.002402840707411746,-0.028888228922681235,-0.007213189563843482,0.4630862715132991,0.55772659462213,0.6074300476658299
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,0.18540275633081996,0.06475207940787804,0.1660852219767527,-0.6066666666666666,0.20412859560067684,-0.29895093062605754
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.2663184830885997,0.09069674183613156,0.22738167211469112,0.061916965658636594,0.009670254570305814,0.10005125576627372
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.09006930185670496,0.10679306432140198,0.09622126052235645,0.02167557932263815,0.34588235294117653,-0.15832442067736188
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.10895428893358698,0.05937452438757622,0.10406836416029579,0.2595144704759885,0.1939644510406728,0.27721827626417894
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.13017957136044944,0.17326256292519457,0.15791070193985612,0.09217021583252262,0.15382120851799805,0.04633733290094763
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.5240188336485475,0.20750738910007227,0.436020386467036,-0.45093641800440665,-0.1002518098835379,-0.5282105760151086
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.3985491270838635,0.17547171941311604,0.3540953101808201,-0.41531123884065063,0.05478781949370185,-0.48171701112877585
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.4931949519352507,0.24695786722812277,0.4342972046557646,-0.09631570589169447,0.0352151818326187,-0.2636175956804827
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.48070316148383696,0.0926945571079279,0.392789865165066,-0.31971759959657087,0.09662128088754414,-0.351185073121533
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,0.47394390825783794,0.08779508886810182,0.38700557683060516,-0.4557682985942802,0.1310389400549362,-0.39501534981418646
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,0.44007932695136237,0.07927591703118231,0.3457892598560342,-0.25467909373342423,0.1786769720390998,-0.30961582177767677
M322-12_v2_mvmt,322,True,12,3.0,"(182, 7577)",M,0.37954478703219285,0.19259400702107676,0.35184814429428574,-0.03651478071708814,0.1004933379947947,-0.1558093462300431
M353-6_v2_mvmt,353,True,6,5.0,"(97, 7497)",M,0.3017228122312106,0.12455117907716495,0.26753105164369473,-0.07522943504251915,-0.11728550980887431,-0.1952092279195083
M353-8_v2_mvmt,353,True,8,5.0,"(109, 7400)",M,0.27976296171832116,0.16251561908311812,0.2566036592623735,-0.0989853704577631,0.2922369042000944,-0.08734465943054898
M353-10_v2_mvmt,353,True,10,5.0,"(113, 7428)",M,0.260167605314199,0.1465724945555536,0.26431246772680955,-0.015681094628463017,0.002370791844476053,-0.1218925692609903
M361-6_v2_mvmt,361,True,6,5.0,"(108, 7428)",F,0.3959510435533677,0.18269315112358722,0.35275496527303124,-0.24404688463911167,0.001233806292412093,-0.3178696278017685
M365-6_v2_mvmt,365,True,6,6.0,"(87, 7428)",F,0.3593948558250074,0.17112551533372722,0.30261651898254877,-0.1938647615466566,-0.04236385285454658,-0.27032023563326435
M367-6_v2_mvmt,367,True,6,6.0,"(162, 7529)",F,0.3354819189574629,0.2134361098912885,0.318985567964302,-0.72033632988953,-0.06968111275101749,-0.832371751867257
M374-6_v2_mvmt,374,True,6,6.0,"(72, 7417)",M,0.41162102365754527,0.1655167367227948,0.3596634248395931,-0.387459807073955,0.10339827249227665,-0.3205031208624929
M374-8_v2_mvmt,374,True,8,6.0,"(68, 7125)",M,0.4879578786192673,0.1347000544125483,0.4266906451967595,-0.3549818596144043,0.008485502683577706,-0.41105214236454674
M374-10_v2_mvmt,374,True,10,6.0,"(68, 7649)",M,0.24613679326612045,0.11923658142743566,0.2245144998075848,0.04458535618745667,0.012384821163182427,-0.028633706529277724
M387-6_v2_mvmt,387,True,6,7.0,"(90, 7540)",M,0.35319305651345967,0.09688629362377944,0.2900771357439339,-0.7244902179757621,0.22405592091657361,-0.5463043388344294
M387-10_v2_mvmt,387,True,10,7.0,"(117, 7462)",M,0.05495409728173159,0.15346350619050808,0.11887126956791487,0.7927331751779249,0.23656719523868983,0.36750322553793646
M396-6_v2_mvmt,396,True,6,7.0,"(89, 7528)",F,0.23840738304096504,0.14418992345134235,0.21519951197122864,0.03647469458987785,0.07134380453752183,-0.08970331588132631
M397-6_v2_mvmt,397,True,6,7.0,"(69, 7503)",F,0.48935973489799744,0.12992663968600615,0.408655069598706,-0.38650933754529404,0.07742574870699,-0.44882158010467965
M410-6_v2_mvmt,410,True,6,9.0,"(99, 7428)",M,0.2574501419232631,0.1511978091904778,0.2178280089576092,-0.03649987913947305,0.12146482958665698,-0.02679075014100393
M410-8_v2_mvmt,410,True,8,9.0,"(102, 7532)",M,0.30096210471727186,0.13284133288668712,0.2564707408037454,-0.032070817007691176,0.2570018865186475,0.0059135103758525655
M410-10_v2_mvmt,410,True,10,9.0,"(71, 7137)",M,0.1588160378738169,0.12695047024995465,0.14300942667773534,-0.06877957521734346,0.06302043211914454,0.009280657349326888
M412-8_v2_mvmt,412,True,8,9.0,"(135, 7515)",F,0.13163223122265943,0.18682538536564172,0.15408474816534715,-0.09891583771096457,-0.07335792258112588,0.02838940426958757
M412-10_v2_mvmt,412,True,10,9.0,"(101, 7163)",F,0.3383127202110449,0.06066914891221348,0.25873971571863214,-0.22703329119258323,0.5154867256637168,-0.18341761483354405
M415-6_v2_mvmt,415,True,6,9.0,"(131, 7585)",F,0.2836282160732978,0.12594465660109797,0.23132482097549037,-0.8906214942786628,0.17489342607134845,-0.8129534066262808
M415-8_v2_mvmt,415,True,8,9.0,"(62, 7420)",F,0.3769267484309094,0.1503824516062153,0.32748121954326703,-0.12845459672870838,0.10800902425267907,-0.13099266779469823
