id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.08128999827268267,0.06064239139353808,0.08992989586347518,0.05969726404403432,-0.10810263882143434,0.06916788084830827
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.07397508094063474,0.08471821296022862,0.08490902560652484,-0.015869596438316824,-0.011417492460146492,-0.09913112164296999
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.12903200407703874,0.07764376157364847,0.1173563221369119,-0.13830242947188054,0.0171960100361055,-0.09136527752279544
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,0.02325202845982135,-0.04634310286847163,0.029331766052221923,-0.681635926222935,-0.05907511360598772,-0.7304196738839882
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.22703548362460252,0.125395850428671,0.20254128010891098,0.0007269666360575364,0.15006121824303645,0.0894551576369758
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,-0.020844024630639273,-0.0005421099620830177,-0.0038574027750039263,0.10752101298984827,0.29694720372593963,0.21722519375614016
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.19686375147748264,0.048196429870787386,0.16036005205234924,-0.4087986463620981,0.22866328257191199,-0.23187817258883253
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.288224328080469,0.10780984589229582,0.245472388370219,0.08833077054501963,-0.10387835298137707,0.07353493934734323
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.2274111896497816,0.11564723627783223,0.2051113117004657,0.20755793226381464,0.2202139037433155,0.19632798573975047
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.21132893654622834,0.09554544261507839,0.162633946299981,-0.010671755185695615,0.19905297006961375,0.1014876850772112
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.27708802635451085,0.19820985922892365,0.2668118082998509,-0.0359961085288077,0.13962454509422406,0.09876409757503692
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.36503302347409844,0.1452233662050279,0.29969296641235066,0.047096317280453256,-0.19294932326093797,-0.027502360717658155
M316-10_v2_no_mvmt,316,True,10,3.0,"(104, 7207)",F,0.4274272135116736,0.1779614182439709,0.37111659327594004,-0.11654641066405773,-0.014226896579837747,-0.25734784558313967
M316-12_v2_no_mvmt,316,True,12,3.0,"(94, 7392)",F,0.4264509245327814,0.21922233607803887,0.3761899207455968,0.0266793711291091,0.04907098618389709,-0.08373034778465935
M322-6_v2_no_mvmt,322,True,6,3.0,"(140, 7572)",M,0.33705779916417744,0.10683822879926817,0.27895532331534145,0.12644141872583625,0.05849722642460919,0.12102874432677763
M322-8_v2_no_mvmt,322,True,8,3.0,"(83, 7594)",M,0.3325318301590886,0.04693889544566493,0.2643220182235156,0.029891743415737613,0.15782032638552268,0.029608983680723882
M322-10_v2_no_mvmt,322,True,10,3.0,"(45, 7308)",M,0.31185741695030156,0.07768094794023235,0.24962461445305853,-0.187428961127529,-0.08645904372205805,-0.1667045540653179
M322-12_v2_no_mvmt,322,True,12,3.0,"(182, 7577)",M,0.3491353592898289,0.13255809370642194,0.291582300026164,-0.1145942586334149,0.009905605407295176,-0.12053762187779202
M353-6_v2_no_mvmt,353,True,6,5.0,"(97, 7497)",M,0.2944116941375731,0.10238881049665453,0.24291601761198287,-0.05641155173865454,0.11711711711711711,-0.07354550812494737
M353-8_v2_no_mvmt,353,True,8,5.0,"(109, 7400)",M,0.15380565449564582,0.12872625428288287,0.17067172969984565,0.23493786377221962,0.258376592732421,0.19702689948088722
M353-10_v2_no_mvmt,353,True,10,5.0,"(113, 7428)",M,0.2396035959172188,0.16170805652435033,0.23974611730186987,0.025435209645735958,0.06055679739890265,-0.011108853214116364
M361-6_v2_no_mvmt,361,True,6,5.0,"(108, 7428)",F,0.3546847405433655,0.19258737360160103,0.3227325234870666,-0.027555007197203364,-0.014188772362739055,-0.10380423606827059
M365-6_v2_no_mvmt,365,True,6,6.0,"(87, 7428)",F,0.38479634968714377,0.15692038589568982,0.3139051218047227,0.04471391865638905,-0.06279375822523031,-0.060099016105784275
M367-6_v2_no_mvmt,367,True,6,6.0,"(162, 7529)",F,0.3509372772690525,0.2332133637054961,0.3560010314317679,-0.2553781475021244,-0.05411691041638714,-0.5216691265262311
M374-6_v2_no_mvmt,374,True,6,6.0,"(72, 7417)",M,0.2543291010308243,0.09277299229400685,0.2144589184396182,0.04965008511443163,-0.1510308303385663,0.06790240211840365
M374-8_v2_no_mvmt,374,True,8,6.0,"(68, 7125)",M,0.30369038464867515,0.1134281761198222,0.2620273984114861,0.1731882102485683,0.07178195556355131,0.1388564061047645
M374-10_v2_no_mvmt,374,True,10,6.0,"(68, 7649)",M,0.305324109100917,-0.009017648662982899,0.2282080008857399,0.1718352653654348,0.004095247531292292,0.22966412365005448
M387-6_v2_no_mvmt,387,True,6,7.0,"(90, 7540)",M,0.2749395626392897,0.07094559492114642,0.21619167444276882,-0.1158125491169293,0.23034288786863544,-0.028704967531124607
M387-10_v2_no_mvmt,387,True,10,7.0,"(117, 7462)",M,0.21241565346784858,0.11974973291427454,0.18769868023810152,0.18395971199067715,0.2426853123569318,0.16689557581054645
M396-6_v2_no_mvmt,396,True,6,7.0,"(89, 7528)",F,0.31501392907706866,0.0673866709073961,0.22861617480311944,-0.050017452006980795,0.12645724258289703,-0.00153577661431063
