id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,0.00019216721469546483,0.00028492093583093236,1.0836827578809253e-05,-0.018657924558847346,0.0022664723976040103,-0.056418973611785654
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,-0.0014246705220876787,-0.00038670248084042466,-0.0008415900402996918,0.013679448513571734,-0.0472856527358897,-0.011776533103547322
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,0.00011097092705111044,-5.601826347827079e-06,0.00024972245225078475,0.0854292882932501,0.08628602900679273,0.14307569916161803
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,0.0015695200395334965,-0.0011219956549551905,-0.000207936947083526,0.10251269713980223,0.04731355252606255,0.13859930499866346
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,-0.00013905208039374374,1.5113244298567523e-05,-0.0002839798105108398,0.12492347719620449,0.053336394245485155,0.07874196510560147
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,0.00018344777781583043,0.00021312310863119943,-4.3467539254658894e-05,0.11301531856056471,0.15405887275770477,0.07095295273441764
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,-0.0008070483690025141,-0.00023663137922929736,-0.0005464832846300408,0.1806768189509306,0.15461928934010152,0.1329610829103215
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,-0.00020261114736080875,0.00011528850340155853,-7.269706412483695e-05,0.060105928583632326,0.08218007859217495,0.033931317273193234
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,0.0007783692407511334,-0.00016852511445451888,0.0002550407772453143,0.013725490196078433,0.07340463458110517,0.014581105169340462
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,0.0006316569402831144,0.0005384366162023254,0.00048616109537161944,0.031202515989964312,0.047068801017703804,0.08321848828580515
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,-0.0007905458808821363,-0.000280345714481734,-0.0005180269595198869,-0.019673548805534537,-0.031852412351817815,-0.05657046085107917
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,-0.0007039932484095959,0.00022656789460489006,-0.0003478414565064095,-0.004878816493547376,-0.03785017311929493,-0.03914856783128738
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,3.7576164168555744e-05,-7.864491072932838e-05,0.00031237596608685097,-0.0027720027720027724,0.016183604418898538,0.013044718927071864
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,-0.0009363560047982027,-0.0005259811111023879,-0.0003197248334066418,-0.013736700015880576,0.039105923455613784,-0.0210814673654121
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,0.0005595970558471895,0.0003695031325680959,0.00033000034295052393,0.013615733736762472,0.018692217179357873,-0.021852412170112624
M322-8_v2_null_normal,322,True,8,3.0,"(83, 7594)",M,0.00041037360712652414,0.0002503674443332497,0.000426928840433633,0.025650347390531587,0.08874616254645337,0.08014218775246405
M322-10_v2_null_normal,322,True,10,3.0,"(45, 7308)",M,-0.00021701806025794225,-0.0011288911932833166,-0.00028001954205789895,0.12862771842085322,0.14457831325301204,0.11332120936576495
M322-12_v2_null_normal,322,True,12,3.0,"(182, 7577)",M,0.0011640204133272734,0.0004517772156569566,0.0008657989272097433,-0.02874567843685662,-0.010449442566911396,-0.05504408965544032
M353-6_v2_null_normal,353,True,6,5.0,"(97, 7497)",M,0.00044508162738966735,-0.0003106374312512024,-0.0001318701592091688,0.07253515197440431,0.08609076366085713,0.0938368274816873
M353-8_v2_null_normal,353,True,8,5.0,"(109, 7400)",M,-0.001416005203265359,-0.00036838299166810196,-0.000852606740966104,0.06131036652509046,0.022848828063551985,0.04613025011798017
M353-10_v2_null_normal,353,True,10,5.0,"(113, 7428)",M,0.0007042341031173231,-0.00013404955892324492,0.00037374900777994985,-0.016595542911332382,-0.022928943981575564,0.038271354060827746
M361-6_v2_null_normal,361,True,6,5.0,"(108, 7428)",F,3.483509961690105e-05,0.0003934272437864274,0.0004647902836712392,0.0033312769895126448,0.012872712317499485,0.02784289533209953
M365-6_v2_null_normal,365,True,6,6.0,"(87, 7428)",F,-0.00031414650472605344,0.00012539752589473942,-0.00040863914326419904,-0.029986839631509683,-0.014225731653819644,-0.028764805414551606
M367-6_v2_null_normal,367,True,6,6.0,"(162, 7529)",F,0.000588845921042898,0.0015954121197923599,0.0009145562435726885,0.02956303949192718,0.015430028176573195,0.007290129254438928
M374-6_v2_null_normal,374,True,6,6.0,"(72, 7417)",M,-0.00023495288062075638,0.00016184339621894744,0.00012814737650231135,0.16685580984805498,0.1834058382195322,0.06323687031082531
M374-8_v2_null_normal,374,True,8,6.0,"(68, 7125)",M,-0.0002422571650541718,-0.000191015090530079,-0.00027394015370441304,0.0072261701298311914,0.07055260711822735,0.016611196066084966
M374-10_v2_null_normal,374,True,10,6.0,"(68, 7649)",M,-0.00047035906221345384,-0.000478021877660899,-0.0004027994689006535,0.05479044882591896,-0.0023118332837940526,0.010733511674758086
M387-6_v2_null_normal,387,True,6,7.0,"(90, 7540)",M,0.00034660281301668186,0.000346508252694588,0.0003082002417349688,-0.025933738677255232,0.007114199445754227,-0.008685941183769695
M387-10_v2_null_normal,387,True,10,7.0,"(117, 7462)",M,0.00014379513185279848,0.0005180778528665321,-0.00010229191302428297,0.18812169642485538,0.1619844341782162,0.1434636034461231
M396-6_v2_null_normal,396,True,6,7.0,"(89, 7528)",F,0.0007423880726177921,-0.0002663544340442534,0.0003130011935711585,0.015741710296684114,0.06760907504363002,0.030750436300174523
M397-6_v2_null_normal,397,True,6,7.0,"(69, 7503)",F,-0.0009817489874933442,-0.00013499481851418022,-0.00025757479027291644,-0.1331722877760228,-0.09641054228994395,-0.16349221096968006
M410-6_v2_null_normal,410,True,6,9.0,"(99, 7428)",M,0.00024725518629587184,0.000573967932579762,0.0007064919824316697,0.012287486906776248,0.020385142212553383,0.026669889614052054
