id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,0.022155805249640895,0.041674558024481494,0.03505240545356041,-0.21810749554800066,-0.03857050348065405,-0.2023636069289299
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,-0.04227830397709634,0.06170877171164225,0.00999642998883007,0.0457776820336062,0.14986356455550767,0.015079707022834985
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.12556527697544323,0.07409586965935325,0.11272434623131071,0.06982436815372377,0.07423046325194298,0.0004895661220243541
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,-0.0404267619100299,-0.031299368512562244,-0.015534731168532717,-0.7800053461641274,-0.27225340817963106,-0.7329591018444266
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.25660529064845844,0.14185008942215996,0.23396481693568608,0.07954545454545454,0.14726813590449955,0.11214416896235078
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,-0.08000090343549822,-0.006002852276232644,-0.03859870021766854,1.217188807626533,0.0740821598806535,0.9112542298875669
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.1768171700639638,0.062430333518416044,0.15307063388882133,-0.6100846023688663,0.1598646362098139,-0.20182741116751268
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.15971233756091816,0.06529686011338734,0.1434804191263558,-0.05808986844353324,-0.003348710063215444,-0.11816162651631643
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.06334182901172584,0.13087976219095426,0.11776316289624753,0.5737611408199644,0.20645276292335116,0.3395365418894831
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.0853304891518081,0.08981050687671917,0.10682544223981413,0.26149333898724336,0.23276440863634756,0.07321813491642813
M308-14_v2_trim_mvmt,308,False,14,2.0,"(107, 7269)",F,0.1466064979449922,0.17126517876694325,0.16896630692656814,0.2038338197672324,0.14293950203581596,0.1463265232587468
M316-8_v2_trim_mvmt,316,True,8,3.0,"(83, 7579)",F,0.4897547578138337,0.17531161917830831,0.40251746000982624,-0.20400535096002514,-0.16166981429021088,-0.3089392508655964
