id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.05685381770422921,0.044376977425760473,0.06740006741859948,-0.20949340144742445,-0.09782886334610473,-0.1469135802469136
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.09011994986103936,0.03138215980930219,0.0712944417431727,0.016640812297278245,-0.1469938419592911,0.03553800592300097
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.19355031866639122,0.13227572220097988,0.18170243217348994,-0.2765881513204854,0.13962249187088585,-0.11281624236656355
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,0.17195972846080512,-0.3069467616031981,0.07674245508178516,-0.7812928669410152,-0.4497599451303155,-1.1424897119341564
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.2506825243912004,0.25089308099965385,0.2846732863165396,0.11994820418455668,0.07554692291964833,0.43607305936073054
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,0.043550134420335444,-0.0025795362973562025,0.034672209101348814,-0.7536526946107786,0.4013972055888224,-0.669061876247505
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.052604480708639,0.09241555143399456,0.06482442736571722,-0.7590611424495881,0.16368410815016535,-0.7042080010374115
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.3043800383958146,0.1504568531022679,0.2741492817754512,0.017472434266327396,0.055725190839694655,-0.015691263782866827
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.20925876761512086,0.13822609870909897,0.20498960496027707,0.10743448334829635,0.10486939421144885,0.061391133341883626
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.19268559709657887,0.07101573703763712,0.1433887091782687,0.06694129763130792,0.3366190966602912,0.12147516061007306
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.191706307649465,0.20188764844433282,0.21816080532500898,-0.0717257027606202,0.11794613219042818,-0.005714525820412622
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.3253730929648947,0.07612744457940421,0.24566819950888186,-0.042962768517303226,-0.2263201645010281,-0.03915649472809203
M316-10_v2_no_mvmt,316,True,10,3.0,"(104, 7207)",F,0.40208205200947655,0.14880493866054867,0.34876094688044057,-0.17471354849995624,-0.00629755969561794,-0.31269133210880784
M316-12_v2_no_mvmt,316,True,12,3.0,"(94, 7392)",F,0.35325392440471554,0.1496627467437262,0.3054887171053953,0.046396277763146344,0.11631990167676234,-0.036520059696251425
M322-6_v2_no_mvmt,322,True,6,3.0,"(140, 7572)",M,0.29687422149724235,0.028116630322952814,0.226127594414924,0.2053365991241743,-0.3220143991687078,0.3099161285534031
M322-8_v2_no_mvmt,322,True,8,3.0,"(83, 7594)",M,0.38037386145518676,0.014366554891823669,0.3021943729858371,-0.0004242681374628625,0.2680431810682129,0.01937491161080471
M322-10_v2_no_mvmt,322,True,10,3.0,"(45, 7308)",M,0.28689193015403497,0.015213962716189666,0.20022781524113267,0.06549118387909321,-0.06455826103181266,0.2249743446216998
M322-12_v2_no_mvmt,322,True,12,3.0,"(182, 7577)",M,0.33052794698907056,0.05407240536734579,0.25608632749332205,-0.0978068176062402,-0.03540495365445982,-0.1201438484526161
M353-6_v2_no_mvmt,353,True,6,5.0,"(97, 7497)",M,0.29340567380062077,0.1273423666979907,0.2504681861088345,-0.06516087097822554,0.028003466580002172,-0.038403206586501995
M353-8_v2_no_mvmt,353,True,8,5.0,"(109, 7400)",M,0.12685061078210463,0.13039574599123938,0.15634475645781043,0.3388137155051167,0.21160095057956257,0.27149716281099956
M353-10_v2_no_mvmt,353,True,10,5.0,"(113, 7428)",M,0.2548069316333904,0.12733851167996096,0.2382970162054188,0.1773360867320599,0.020478403028738597,0.08113921872311133
M361-6_v2_no_mvmt,361,True,6,5.0,"(108, 7428)",F,0.36951052763349657,0.14888970757107423,0.31488689662896113,-0.07363397757098541,0.0768790264853257,-0.1279885468861847
M365-6_v2_no_mvmt,365,True,6,6.0,"(87, 7428)",F,0.27143537590700506,0.10711352039351413,0.23146648388673935,0.1711095603628751,-0.06778320539660386,0.06945801349150967
M367-6_v2_no_mvmt,367,True,6,6.0,"(162, 7529)",F,0.27499415895575263,0.15867973681858896,0.28273595802228396,-0.08101231922870915,-0.14550973040528478,-0.3771201571148009
M374-6_v2_no_mvmt,374,True,6,6.0,"(72, 7417)",M,0.12106965778109327,0.0336405418951293,0.10347967614788868,0.2893126852117388,-0.10175891406175315,0.3754421183443265
M374-8_v2_no_mvmt,374,True,8,6.0,"(68, 7125)",M,0.34430169327936133,0.08822068558177007,0.2825390668647071,-0.0019108563302670805,-0.05537039505843666,0.014398080255965883
M374-10_v2_no_mvmt,374,True,10,6.0,"(68, 7649)",M,0.3566647433933169,-0.009994051776846157,0.2716950939868663,-0.21125234013203273,-0.5685781850428614,-0.1724307813577692
M387-6_v2_no_mvmt,387,True,6,7.0,"(90, 7540)",M,0.20212110668614114,0.1160062600626932,0.19242754694948272,0.01070580826430268,0.1574867993993121,-0.007605483699074736
M387-10_v2_no_mvmt,387,True,10,7.0,"(117, 7462)",M,0.2057835395924706,0.13411547313387417,0.19681085479934626,-0.01464693185322233,0.021122417514646927,-0.03993216157878507
M396-6_v2_no_mvmt,396,True,6,7.0,"(89, 7528)",F,0.1976265807856486,0.044968528866228145,0.15073934540168327,-0.11800228496817368,0.05277188401066317,-0.027854850116968602
M397-6_v2_no_mvmt,397,True,6,7.0,"(69, 7503)",F,0.39133220435029176,0.1633780156069949,0.340790687255123,-0.07514450867052022,-0.07210447441661313,-0.19434810533076427
M410-6_v2_no_mvmt,410,True,6,9.0,"(99, 7428)",M,0.36556238877381025,0.08426840157899561,0.3035202367509253,-0.21717920217364456,-0.243114733852044,-0.20816351735210573
M410-8_v2_no_mvmt,410,True,8,9.0,"(102, 7532)",M,0.1994725780333855,0.08162329270250618,0.17749205834779982,0.02944015444015443,0.0023058773058773213,0.0685864435864436
M410-10_v2_no_mvmt,410,True,10,9.0,"(71, 7137)",M,0.19527583764635847,0.03488190024530501,0.14382365728739563,-0.11677697553148815,-0.24453469715202564,0.010028078620136384
M412-8_v2_no_mvmt,412,True,8,9.0,"(135, 7515)",F,0.21952632507713032,0.12017933516786264,0.1993344842082915,0.12236222863215425,0.0019735843327766856,0.010626992561105199
M412-10_v2_no_mvmt,412,True,10,9.0,"(101, 7163)",F,0.16931535280863974,-0.0004962849452600086,0.1253229297715596,0.09760164165704759,0.4824077636697875,0.2572784404258048
