id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,-0.0002516979694846259,-0.0004726639007238126,-0.00019865765228340256,-0.06862494678586632,-0.047467007237122175,-0.06875266070668369
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,-0.0003102944193756577,-0.0005959608305560038,-0.0007555108377958938,0.09049029285949327,0.06665726507779814,0.09025525313778028
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,0.0008298782373785291,0.00020189779014219173,0.0002644644405080415,0.0940201443413435,0.10674914743437226,0.09659766833214371
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,-0.0004799707975605148,0.0023000527415698775,0.0004894431759147612,0.1507201646090535,0.10459533607681752,0.10965363511659808
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,0.0013769825209537976,0.0006648820503236678,0.0011627615247964346,0.0902337626933824,0.09824166837047639,0.05148912969399578
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,0.0001750853802427898,-0.00031962367964475345,-3.817924525361053e-05,0.09860279441117764,0.14439121756487025,0.09588822355289421
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,0.001340646746787398,-5.2839655520156e-06,0.0007047906632930413,0.12387343577773456,0.13126499384036827,0.08480840303442912
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,-0.0004492637896460874,0.0008020352803484036,4.729457877399869e-05,0.04444444444444443,0.04130619168787107,0.023876166242578458
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,0.0006016370430462112,-0.00012994562864790862,0.00022872565542859436,-0.030823821127784187,0.011286392202129025,0.015647043734769783
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,0.0013324901458359995,0.00035626949707142204,0.00047636982920584394,0.086459712618312,0.10396743661419253,0.07557255652003336
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,0.0008914940075828738,0.0010877055003127474,0.0008751906448616329,-0.03970755073742594,-0.030505483423673267,-0.01781587461658053
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,5.939133803836964e-05,0.00012591966400038468,-6.741786542151201e-05,-0.035437721485759285,-0.010412565078531742,0.02030012687579297
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,0.00024120152019767259,0.0008271854269536413,0.00020628008299499088,0.04618210443453162,0.01989853931601504,-0.01718709000262398
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,0.0006750752591988092,0.0005140393695194379,0.0001872065473776408,-0.012465981915547361,0.014309542621367747,0.01000790097445352
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,-0.0009255255676582963,-0.0004985646710870336,-0.0003571910524865389,0.012172493134416979,0.003970904772507973,0.002449343130705853
M322-8_v2_null_normal,322,True,8,3.0,"(83, 7594)",M,-0.0006854690154878392,-0.0010185318698556149,-0.0009001562592785297,0.13939565360863623,0.08414651393013718,0.09051053599208032
M322-10_v2_null_normal,322,True,10,3.0,"(45, 7308)",M,0.0009593394312226531,0.0013877800895146799,0.0007405999888273971,0.22044966881238923,0.1993656124638493,0.17361694187890664
M322-12_v2_null_normal,322,True,12,3.0,"(182, 7577)",M,0.0002802855301521195,-8.318176321561828e-05,0.00030804914747425077,-0.05581725168414122,-0.021020108392848093,0.0031910044066251306
M353-6_v2_null_normal,353,True,6,5.0,"(97, 7497)",M,-0.00020137201343863625,-0.0006632087256921258,-0.0006460014434981141,0.09847253818654533,0.09143104755714442,0.1234427472646517
M353-8_v2_null_normal,353,True,8,5.0,"(109, 7400)",M,-2.230058317685613e-05,-0.0004551548799677364,-5.6402450259981283e-05,0.028177894175275227,0.05053591347786023,0.015422668412629124
M353-10_v2_null_normal,353,True,10,5.0,"(113, 7428)",M,-4.2567008199566976e-05,-0.00023597004114326125,-0.00015172507124402204,0.05605747719841679,0.017165720185854414,-0.013594906212355871
M361-6_v2_null_normal,361,True,6,5.0,"(108, 7428)",F,-0.0003552585675879205,0.0007826167559513299,0.00011835848224365485,0.07229778095919827,0.016511572417084227,0.017990932951562875
M365-6_v2_null_normal,365,True,6,6.0,"(87, 7428)",F,-0.00034583407567219426,-0.0014240082819724977,-0.0007322406338145692,-0.019213770644335892,-0.020004652244708078,-0.0050709467317980985
M367-6_v2_null_normal,367,True,6,6.0,"(162, 7529)",F,0.0005245959597542034,0.0002906848083881438,-0.00026752531685029905,0.02740582038921621,0.001339046598821637,0.04798250312444207
M374-6_v2_null_normal,374,True,6,6.0,"(72, 7417)",M,0.0020944937889618848,-0.0005488438925597983,0.000831014251765082,0.1802886913297008,0.15204091387056687,0.12178568014530158
M374-8_v2_null_normal,374,True,8,6.0,"(68, 7125)",M,5.035625546031495e-05,0.000232804056913158,0.0003026860817987451,0.013509309869795151,0.05665911211838422,-0.03839488068257565
M374-10_v2_null_normal,374,True,10,6.0,"(68, 7649)",M,-0.00031864343734508286,-0.0005327486570253702,-0.0005301527054663923,0.05443886097152428,0.12346043945216276,0.06985909941866193
M387-6_v2_null_normal,387,True,6,7.0,"(90, 7540)",M,-0.0007697729689801411,0.000705198839286738,-6.387700245852474e-05,-0.03226275250690307,-0.016325146538778278,-0.013176379402218686
M387-10_v2_null_normal,387,True,10,7.0,"(117, 7462)",M,2.307450017838875e-05,-0.0003630616574573833,5.760946885607497e-05,0.15253366224689072,0.15124884366327476,0.1218521944701408
M396-6_v2_null_normal,396,True,6,7.0,"(89, 7528)",F,0.000363719331165048,-0.00035106161316488226,0.0007815416161943139,0.042598335237473486,0.06849464120559273,0.03106468636091616
M397-6_v2_null_normal,397,True,6,7.0,"(69, 7503)",F,1.5975385157495072e-05,-0.0015729305481606715,-0.0003311907003426718,-0.1435666880753586,-0.05305073859987155,-0.18659815885249412
M410-6_v2_null_normal,410,True,6,9.0,"(99, 7428)",M,0.0007754625027932945,0.00010076862743212422,0.00020232756390107194,0.044646165246387544,0.0610720019760405,0.04322588613066568
M410-8_v2_null_normal,410,True,8,9.0,"(102, 7532)",M,0.0007276403166149679,-0.00115889587335551,-3.45538075403773e-05,0.021825396825396828,0.06971256971256971,0.011475761475761478
M410-10_v2_null_normal,410,True,10,9.0,"(71, 7137)",M,-0.0005596127371198466,0.00048060429868336817,1.648538229405576e-05,-0.02547131969514641,0.06483152827918169,-0.00491375852386683
M412-8_v2_null_normal,412,True,8,9.0,"(135, 7515)",F,-0.00030908076452088295,0.00023701700427073308,-0.00020864228765958773,0.1068771823288295,0.15677344263954252,0.09083548403420878
M412-10_v2_null_normal,412,True,10,9.0,"(101, 7163)",F,-0.0006634075480574465,-0.0007783789020144842,-0.0006122633482514754,0.1563849343764696,0.13530845196870592,0.13406865888589628
M415-6_v2_null_normal,415,True,6,9.0,"(131, 7585)",F,-0.00016586294273964166,0.001098998934071783,0.0007586697823797722,0.08755408500890811,0.08208195469585136,0.09955883600576908
M415-8_v2_null_normal,415,True,8,9.0,"(62, 7420)",F,-0.0012112615203557493,0.0009182191588347978,-2.81296744347952e-05,0.01704420011480548,0.030423455645339333,0.005696118691217382
