id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_null_shuffle,39,False,12,,"(88, 4695)",F,0.0007612074269694696,-0.000926009469779139,9.113281151391162e-05,-0.03354618986802895,0.009706257982120055,0.008045977011494254
M42-12_v2_null_shuffle,42,False,12,,"(113, 4794)",F,-0.0002341438273038828,0.00014741814578596142,0.0002675551373050199,0.10948150237390118,0.053683072439242224,0.054529215437408914
M44-12_v2_null_shuffle,44,False,12,,"(93, 4987)",M,5.401084740556663e-05,7.704553498297876e-06,-0.00029518343765722505,0.1643270679673249,0.12756761043698947,0.11424379411531445
M45-12_v2_null_shuffle,45,False,12,,"(81, 4877)",M,-0.0007243542497351529,-0.004742374370173399,-0.0007823502713921253,0.0585562414266118,0.11385459533607682,0.04209533607681756
M46-12_v2_null_shuffle,46,False,12,,"(116, 4835)",M,-0.0007882047438716301,-0.0013000219185784082,-0.0013134702246024267,0.08590608600831458,0.08331629523614803,0.06672118857765964
M251-6_v2_null_shuffle,251,False,6,,"(52, 4966)",F,0.00019091848138060084,0.0003227728614584363,0.0004965725000975295,0.1216367265469062,0.1244311377245509,0.11788423153692615
M254-6_v2_null_shuffle,254,False,6,,"(51, 4955)",M,-0.000881893113462314,-0.0018428063276974436,-0.0007391343881811874,0.13677624327303378,0.1111651429682941,0.09080593918174154
M308-8_v2_null_shuffle,308,False,8,2.0,"(88, 7378)",F,0.0004340532464293457,0.0007813443032442256,-4.727575728498586e-05,0.010856658184902461,0.0270568278201866,-0.032697201017811706
M308-10_v2_null_shuffle,308,False,10,2.0,"(111, 7328)",F,0.0009778251611257842,0.0005815413930790601,0.0004412623719035582,-0.01308195459792227,0.03762130734043008,-0.02565089136847504
M308-12_v2_null_shuffle,308,False,12,2.0,"(135, 7630)",F,-0.0003092800288356062,-0.001272186298401055,-0.0008524222895218845,0.060909224657937314,0.0825364131234368,0.08513559903879162
M308-14_v2_null_shuffle,308,False,14,2.0,"(107, 7269)",F,0.0005028113422015927,-0.000318321368956833,0.00022245901259370412,0.012479515946048157,-0.00042018572208916234,-0.024496827597798216
M316-8_v2_null_shuffle,316,True,8,3.0,"(83, 7579)",F,-0.000267888048357898,0.0009862832010255397,0.0001625540777598195,-0.051581572384827405,-0.0013125082031762662,0.002012512578203606
M316-10_v2_null_shuffle,316,True,10,3.0,"(104, 7207)",F,-0.0002757582659963299,-0.0010855790567928173,-0.000590192361123923,0.012245254963701569,-0.0031487798478089767,0.017362022216391146
M316-12_v2_null_shuffle,316,True,12,3.0,"(94, 7392)",F,-0.0001420135038129255,0.0007840577722144628,-0.0004380753934560976,0.00943727504169959,-0.04183127030111491,-0.0039943815292774985
M322-6_v2_null_shuffle,322,True,6,3.0,"(140, 7572)",M,0.001369582032457884,0.002019337245189777,0.0005904505547728823,0.0036369034365026356,-0.009574704965486527,0.003191568321828839
M322-8_v2_null_shuffle,322,True,8,3.0,"(83, 7594)",M,-0.00021707965679380957,0.0005646626423643645,-8.846252563031799e-05,0.08037524159713384,0.15532927921557538,0.09772309432894923
M322-10_v2_null_shuffle,322,True,10,3.0,"(45, 7308)",M,0.0008886439061228807,0.00027404656714679276,-0.00020162079839819582,0.18331933949062412,0.13443418229312434,0.1424573187797369
