id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,0.046000618923793014,0.03234680859493454,0.04572207251568678,-0.33720732226479355,0.09561515538527032,-0.2997020008514261
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,-0.08364562507889904,0.001111851601067557,-0.04555201673087274,-0.28486814271611904,0.017063883796361583,-0.33855121515536124
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.17292108962132627,0.13216199959545735,0.17215975221111748,0.09715282734554682,0.12181774922674281,0.06324847331271313
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,-0.17504936001669424,-0.14029132208178016,-0.1532761943808657,-1.3859739368998627,0.06421467764060361,-1.522633744855967
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.365839189168322,0.23204826815261542,0.35632029744031957,0.22057520616097592,-0.099332106590336,0.27516526954269743
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,-0.04933712641338853,-0.009382967798222652,-0.021276470078448146,1.432814371257485,0.221437125748503,1.1119760479041916
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.06329533069785742,0.11401805482206179,0.09767147047908321,-0.26583673734033586,0.14669649225183168,0.05508007521234521
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.19456622359009687,0.12981144002252154,0.1943093300323694,-0.09189991518235793,0.06768447837150127,-0.05373197625106021
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.07167816486872391,0.14742295818036416,0.1271505131654155,0.20336881706639306,0.08174084049420717,0.12402205976657689
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.0856268725479303,0.06895708716326873,0.09311221092619375,0.12637928497866707,0.2755627482712962,0.03511353047913295
