id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,0.1677810462925692,-0.021486812482103185,0.12050610135007961,-0.0725618631732169,-0.12219796215429403,-0.2609170305676856
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,-0.1397351680941955,0.06027467159940966,-0.0718416808935141,-0.019830949284785435,0.1702427394885132,0.09460338101430431
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.11979334655089173,0.07781266864606205,0.12122910673368012,0.19726704462857972,0.16557639191742984,0.18585550225323447
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,-0.015106935870063821,0.04690362417602197,0.02712444200467458,-0.19994866529774125,-0.017111567419575622,-0.28807323750855585
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.3483335068690491,0.1368734110818002,0.3154617969593136,-0.037436014974406,0.14027045610818245,0.13278325311330122
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,-0.10925207723677745,-0.0783252481546465,-0.10599861966768154,0.34164123431671756,0.29069175991861645,0.0944387928111224
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,-0.05656873898867605,0.071367837273685,-0.008993327585553618,-0.2277743505380766,0.1100143944067448,-0.27178010830077454
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.2802677648365662,0.1410502882230184,0.2547565683267381,-0.004753532591000851,0.06674480692843653,0.04082828677476069
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.10876998659926515,0.14265836071009588,0.12784178658653633,0.051003865818680626,0.2694849731886769,-0.05730140915326099
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.007337230812179878,0.02992237882672338,0.028665479387502024,-0.1519470092332397,0.3354074668807708,-0.07881707480262277
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.005852630253127625,0.11808167303134705,0.027701724944391732,-0.3170866286555086,0.10716694255410458,-0.3915149285758077
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.4339380377577973,0.12434392347421909,0.3305927800182983,-0.23603951890034364,-0.24684994272623137,-0.3288946162657503
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.19034695719887973,0.13588698675670643,0.21260664674745583,-0.49216389064586413,-0.05221730269168598,-0.5843699486963244
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.3763012307456221,0.19056483885756892,0.32616646016277706,-0.04032434801665571,-0.07180948206589231,-0.22916210095697273
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.2533864397053413,0.06094638504055645,0.21157735275351713,0.08718994223581379,-0.14685694869181107,0.19537886510363572
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,0.24794910913007862,0.04791039727258039,0.1927736609701146,-0.22925513987192447,0.054061341422312094,-0.16986855409504548
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,0.16131660126100525,0.05295225658427514,0.12354105807506133,0.41010140405616224,0.1190197607904316,0.3502340093603744
M322-12_v2_mvmt,322,True,12,3.0,"(182, 7577)",M,0.008906281082211167,0.1688456591485027,0.10379237722880512,-0.8458146923426051,0.043376774946508455,-0.06548661090579004
M353-6_v2_mvmt,353,True,6,5.0,"(97, 7497)",M,0.2682106275252038,0.14533587593639563,0.2501588373194958,-0.24923687423687427,-0.10859279609279611,-0.3511141636141636
