id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.06171652764486085,0.031166470161316455,0.06323343427763929,-0.2263464337700145,-0.27350800582241624,-0.2002183406113537
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,-0.039426118010399434,0.08184745554769421,0.01135313342227954,0.02514087559601212,-0.06133506718682272,-0.1392501083658431
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.13866456928010168,0.06652811916527566,0.12199458226936248,0.04702718418374764,0.052987352812908846,0.01351940689053641
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,-0.01340752817181537,0.006068755650453471,0.009046888622745476,-0.5012833675564682,0.1826659822039699,-0.5093258042436687
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.29283444421874466,0.06111255459862238,0.22861771558355204,0.09954923981969592,0.18481167392466955,0.21422568569027425
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,-0.18903563945866922,-0.061015300612523214,-0.13526633867249543,-0.3859782977280434,-0.042387249915225515,-0.4532044760935911
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.1968554189134592,0.04592660558380831,0.15307140564443433,0.14346425388991704,0.09918431695112756,0.0419494139420111
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.29365276929264283,0.1488516531602295,0.2660651413000136,0.08999153480497493,0.0840007814026177,0.09695904147945562
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.21435217066613502,0.12808310358016736,0.194212054242767,0.16872427983539093,0.27098141912956725,0.14577877540840503
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.24615649578177687,0.05415150908531761,0.1476304236487927,0.05325839689549043,0.2454168339355011,0.12852937240733306
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.21773010686196007,0.12028090701257324,0.20864365755069558,-0.12611121329164368,0.29949114094782664,0.08154006498681869
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.29901064186221465,0.10707819836938882,0.22996556103298854,0.03350515463917525,-0.2771334478808706,-0.022121993127147768
M316-10_v2_no_mvmt,316,True,10,3.0,"(104, 7207)",F,0.24598751509644073,0.13813482429541932,0.24125006839089277,-0.10042870194672851,-0.1466722889872795,-0.35181671234802164
M316-12_v2_no_mvmt,316,True,12,3.0,"(94, 7392)",F,0.3783157662741692,0.18921630678096468,0.3258286965575081,-0.034991599094163196,-0.045145737453429764,-0.14281539922565561
M322-6_v2_no_mvmt,322,True,6,3.0,"(140, 7572)",M,0.22624340425296613,0.05289604813654469,0.1818801958742801,-0.010873258579680604,-0.20400951410125723,0.09439347604485217
M322-8_v2_no_mvmt,322,True,8,3.0,"(83, 7594)",M,0.20306929488702707,0.05970831204488098,0.1720836522044925,0.14573643410852716,0.19939332659251768,0.14411863835524097
M322-10_v2_no_mvmt,322,True,10,3.0,"(45, 7308)",M,0.11499577992948999,0.08906500816883829,0.10703884512479739,0.15880135205408216,0.043291731669266774,0.3392485699427977
M322-12_v2_no_mvmt,322,True,12,3.0,"(182, 7577)",M,0.16006191013788573,0.12213697001608839,0.17029931208122542,0.03909745185761524,0.14050444141866042,0.02930687933605654
M353-6_v2_no_mvmt,353,True,6,5.0,"(97, 7497)",M,0.3407268642190979,0.12953392602535205,0.28684694296018726,0.022970085470085472,0.10439560439560439,-0.04334554334554335
M353-8_v2_no_mvmt,353,True,8,5.0,"(109, 7400)",M,0.19019871513730224,0.1362014424503919,0.19754886389298926,0.1915277777777778,0.27361111111111114,0.1429861111111111
M353-10_v2_no_mvmt,353,True,10,5.0,"(113, 7428)",M,0.27335453481009225,0.06472106080092291,0.22216216459266552,0.016659454781479878,0.08517236405596422,-0.022573200634645886
M361-6_v2_no_mvmt,361,True,6,5.0,"(108, 7428)",F,0.36809259465538086,0.11825294845324974,0.3010594732294009,0.004467353951890035,0.050515463917525774,-0.05553264604810995
M365-6_v2_no_mvmt,365,True,6,6.0,"(87, 7428)",F,0.21626139362538493,0.09619312497541684,0.17685358178264982,0.4279707899977871,0.03931548277642545,0.3482333849671756
