id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_null_shuffle,39,False,12,,"(88, 4695)",F,0.0006080242730391233,-0.0004236686580203737,-9.782365328831079e-05,-0.09919941775836973,-0.056986899563318774,-0.038719068413391566
M42-12_v2_null_shuffle,42,False,12,,"(113, 4794)",F,0.0015117938351552626,0.0008074274988702843,0.0012349194281682104,-0.009319462505418286,-0.057325530992631116,-0.05234070221066319
M44-12_v2_null_shuffle,44,False,12,,"(93, 4987)",M,0.0009530183240018786,0.0009327765901602235,0.0007990789453672409,0.06512574502107865,0.14311673208315162,0.08714929495566216
M45-12_v2_null_shuffle,45,False,12,,"(81, 4877)",M,-0.0015039634487641325,-0.0010868785647418287,-0.001784662282946719,0.10053045859000684,0.11550308008213553,0.11806981519507187
M46-12_v2_null_shuffle,46,False,12,,"(116, 4835)",M,0.003907770551939788,0.0011824641462569404,0.0012572288414969184,-0.009015203606081443,0.01764840705936282,0.0493544197417679
M251-6_v2_null_shuffle,251,False,6,,"(52, 4966)",F,0.0005418550434265328,-0.0019350221106085716,-0.0008456177546626122,0.29459138691081727,0.26746354696507285,0.1996439471007121
M254-6_v2_null_shuffle,254,False,6,,"(51, 4955)",M,-0.0014939909072624017,-3.4852065378941706e-05,-0.0001109290616511872,0.22523819315922955,0.13256563164027693,0.11762286654328603
M308-8_v2_null_shuffle,308,False,8,2.0,"(88, 7378)",F,0.00047954457355262086,0.0012785758279670832,0.00031826596650659235,0.17562023832779838,0.11805691215732238,0.10041023637429185
M308-10_v2_null_shuffle,308,False,10,2.0,"(111, 7328)",F,0.0005221307876918851,0.0009210842166346685,0.0006444681218739605,0.06422247162987903,0.05262501558797856,0.054869684499314134
M308-12_v2_null_shuffle,308,False,12,2.0,"(135, 7630)",F,0.00031534232889738776,2.7975844546917313e-05,0.0002685813616876144,0.17101565636290644,0.16298675230830992,0.19055265622909137
