id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,0.17881352889355118,-0.00469568048620232,0.1321484246998086,-0.05910277711844293,0.12413956800379777,-0.06448294960044308
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,-0.11958458968447375,-0.03629885601663805,-0.0801967614765062,-1.2675847771360877,-0.01384569820820377,-0.9697171627424849
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.14954774699826398,0.06786556252257596,0.1371022894308278,-0.317239552288231,0.05086429564871846,-0.2580303331346447
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,-0.04850328170123872,0.016958527134012857,0.0016127590771003815,-0.8618350293703979,0.32423264664515594,-0.7596591379167701
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.4532111953207725,0.19317609107811232,0.42410697955746396,0.6534751422211229,-0.08038585209003216,0.789430291038008
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.03194850379979972,-0.09046463036085575,-0.01944589985862875,-0.07317261628805438,0.24038015762633286,-0.1402410755679184
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,-0.025745601337819463,0.1227910785610406,0.03499967378987853,-0.5703493862134088,-0.14573497009757636,-0.6645892351274788
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.3241094865811549,0.13404839345681857,0.2869864943826835,-0.09127671865973426,0.0816002310803004,-0.08636626227614096
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.15227066181104124,0.13022899734924853,0.15254260519493812,-0.07344252486725003,0.1337222346870092,-0.26377982200284195
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.05712088179199076,0.04348682089798192,0.05403757489989313,0.08024554396864136,0.2600399378744176,-0.07151837881813475
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,-0.01991427770569879,0.06003196365793698,-0.0011372604152372345,0.2217201385750866,-0.056032535020334374,0.11304413315258323
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.47485196880867553,0.12317842067926327,0.3663192748948452,-0.585790381874109,-0.04644009303023482,-0.6146747693000225
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.19441563938181564,0.06308239528419163,0.19263169985913942,-0.8824814329401486,-0.1419833988641328,-0.8978447648172418
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.40832638652497855,0.1608487864492622,0.3475717185708844,-0.2594446669336537,-0.06881591242824722,-0.4065545321051929
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.16744845389742335,0.0020570853503165116,0.12365220402855097,0.2696535988384153,-0.27684436147410635,0.3939708220977667
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,0.3072687660523851,0.05558513792015202,0.23604155009884797,-0.2241447891805887,0.17316361707769823,-0.22752585521081942
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,0.20701315050037605,0.01922539473092433,0.14338568477553776,0.33833111912443853,0.3342822800025306,0.34086164357563103
M322-12_v2_mvmt,322,True,12,3.0,"(182, 7577)",M,-0.053421819094826406,0.09926127866693117,0.023354946717183293,0.024254767635623026,0.015490958464481884,0.17971980497438747
M353-6_v2_mvmt,353,True,6,5.0,"(97, 7497)",M,0.22996910767677609,0.08410955261652285,0.20140341183291707,-0.029307039167351397,0.11353053957819774,-0.09333059435771021
M353-8_v2_mvmt,353,True,8,5.0,"(109, 7400)",M,0.3002886194784049,0.18606698355098117,0.258397702624377,-0.39548472775564414,0.12071713147410358,-0.3153386454183266
M353-10_v2_mvmt,353,True,10,5.0,"(113, 7428)",M,0.20547901637370505,0.02934728485301523,0.15075448654998383,-0.2032670357460187,0.02057275647597568,0.0855717312555533
M361-6_v2_mvmt,361,True,6,5.0,"(108, 7428)",F,0.3192698451248292,0.04306473917177555,0.26274775826709496,-0.20670274771024147,0.28170968637246735,-0.18914793227865664
M365-6_v2_mvmt,365,True,6,6.0,"(87, 7428)",F,0.12582703054681044,0.1059127397253704,0.10486906832153359,0.364075358770319,0.1921376589811603,0.3845473712847719
M367-6_v2_mvmt,367,True,6,6.0,"(162, 7529)",F,0.39057277540504076,0.15044073804603958,0.3588361868624379,-1.4114303511640585,-0.2870824573697734,-1.4463910301331464
M374-6_v2_mvmt,374,True,6,6.0,"(72, 7417)",M,0.23855166898965496,0.12444605784713865,0.21698777269188851,-0.023746701846965684,0.20255733712198093,-0.1121710303768351
M374-8_v2_mvmt,374,True,8,6.0,"(68, 7125)",M,0.1742994149237626,0.0848532317635728,0.15194002069521748,0.20429111677085743,0.03966967662267498,0.08219495253530913
M374-10_v2_mvmt,374,True,10,6.0,"(68, 7649)",M,0.12265392177119262,0.14235746490877038,0.12457600557129284,0.0467549103330487,0.08333333333333331,0.06397665812695705
M387-6_v2_mvmt,387,True,6,7.0,"(90, 7540)",M,0.342376956170666,0.12522717922356352,0.2959249820032719,-0.5768172251902217,0.04532944795208031,-0.5796503156872268
M387-10_v2_mvmt,387,True,10,7.0,"(117, 7462)",M,0.11229246663994184,0.1409439558883521,0.13322456531758456,0.24150675195451315,0.1643212508884151,0.1451314854299929
M396-6_v2_mvmt,396,True,6,7.0,"(89, 7528)",F,0.053955393482664336,0.10138981191266071,0.08704231320016417,0.04730608612309169,0.10467584035051689,-0.19593345656192238
M397-6_v2_mvmt,397,True,6,7.0,"(69, 7503)",F,0.22415282322792812,0.04146159248578347,0.17578601941179922,-0.5661121133159617,-0.3601256096746175,-0.5178058395135965
M410-6_v2_mvmt,410,True,6,9.0,"(99, 7428)",M,0.23896902018634938,0.15467090199899844,0.2038792195229491,-0.28254477412456563,0.10137663726276397,-0.3410852713178294
M410-8_v2_mvmt,410,True,8,9.0,"(102, 7532)",M,0.1996441360466277,0.09790215727375651,0.17162975548871626,-0.21614967996061052,0.07842723500035169,-0.19068720545825418
M410-10_v2_mvmt,410,True,10,9.0,"(71, 7137)",M,0.14626176098413365,0.10636081572301552,0.13833336128395024,-0.020738820479585224,0.1782242384964355,-0.016922301432994894
M412-8_v2_mvmt,412,True,8,9.0,"(135, 7515)",F,-0.06626193264869122,0.12921689097448438,0.0010662214822200423,-0.8242737346510932,-0.035714285714285705,-0.3857442348008386
M412-10_v2_mvmt,412,True,10,9.0,"(101, 7163)",F,0.2660805917327862,0.03368508534864721,0.1934500930275529,-0.38430223090701837,0.4702817130760462,-0.3197361993160723
M415-6_v2_mvmt,415,True,6,9.0,"(131, 7585)",F,0.1589931403009975,0.13891126334905457,0.14027227185081131,-0.1364025554896924,0.2973061977211354,-0.014028848053744313
M415-8_v2_mvmt,415,True,8,9.0,"(62, 7420)",F,-0.004118577364080122,0.05410514325136315,0.017396928570971804,-0.6197048455517715,0.11632909123498834,-0.35143693612953336
