id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.026948037180216686,0.023085408774297853,0.039655086180181924,0.19139172402879973,-0.010048263311970894,0.23482870480259513
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.04261680737097414,0.0027044579668192826,0.03066788142553597,-0.14882274544646823,0.010661928031985785,-0.07981637790611582
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.15976295979512886,0.040711274439926386,0.12419540210315291,-0.12358434333399565,0.11702761772302801,-0.14696337505795087
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,-0.06764470383118544,-0.05978844933253765,-0.062239997644890785,-1.2185819475469513,0.27235873252254494,-1.3400347480764458
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.3790227947850763,0.1313642903345577,0.3436703509910426,0.4689586940390799,0.04913842855965043,0.6344298788028692
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,-0.022554554216482635,-0.0585365471735996,-0.018064117167113536,-0.5143718127028281,0.011976510585690018,-0.3343378148663267
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.26450200171848387,0.07960527502099651,0.20903420151662494,0.09600251809883538,0.02033364809568776,0.02259993704752911
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.32577851032161714,0.13058375040221454,0.28282006025065193,-0.005704794916233394,0.09358752166377816,-0.0170421721548238
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.2052943649516995,0.1284889574975245,0.19194796500029773,0.1347692767930596,0.04061027597038366,0.04906140154064768
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.21469977733923248,0.06035159847850274,0.13827108156555135,0.022483544116559426,0.3460542859255972,0.16056504696398194
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.1450964639726327,0.11161132663132523,0.14768242211414762,-0.10423256514535323,0.04277752673595421,-0.13066726916704324
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.2933516017928581,0.08072796681998451,0.21741477584359914,-0.07629979743416611,-0.14134593742966464,-0.13166779203241052
M316-10_v2_no_mvmt,316,True,10,3.0,"(104, 7207)",F,0.17753986235078115,0.0900564013410893,0.17494459461135145,-0.0674239114606087,-0.1185379350516965,-0.21399446628804425
M316-12_v2_no_mvmt,316,True,12,3.0,"(94, 7392)",F,0.36361231358658624,0.15158810594027414,0.3103213453934928,-0.0059404618875984454,0.003737818715792279,-0.11560539313843277
M322-6_v2_no_mvmt,322,True,6,3.0,"(140, 7572)",M,0.11160086526809422,0.011049185182761673,0.08809864478026384,0.09036852658507916,-0.35711816358985,0.22353591924220426
M322-8_v2_no_mvmt,322,True,8,3.0,"(83, 7594)",M,0.25946398624039035,0.06559046360419904,0.2141486780724292,0.08764253513656854,0.21373640944046668,0.050715990453460646
M322-10_v2_no_mvmt,322,True,10,3.0,"(45, 7308)",M,0.13902671272834588,0.06649869780995492,0.10555501151335456,0.3619915227430885,0.17859176314291136,0.5285000316315556
M322-12_v2_no_mvmt,322,True,12,3.0,"(182, 7577)",M,0.1339343518071411,0.053045105290100265,0.10711493618078954,-0.04826266740727026,0.2998210207986175,0.014812071838548414
M353-6_v2_no_mvmt,353,True,6,5.0,"(97, 7497)",M,0.28254654873167995,0.07231096241424227,0.22012794298739333,0.023007395234182427,0.19124897288414133,-0.01972062448644206
M353-8_v2_no_mvmt,353,True,8,5.0,"(109, 7400)",M,0.10958899318910213,0.16582274089551238,0.15621680512945724,0.33140770252324037,0.11819389110225761,0.2261620185922975
M353-10_v2_no_mvmt,353,True,10,5.0,"(113, 7428)",M,0.18978444760526614,0.05460717219027523,0.15192747052484762,0.15979768983664822,0.14681156448636457,0.2837810129177773
M361-6_v2_no_mvmt,361,True,6,5.0,"(108, 7428)",F,0.365460734477879,0.08640815332152846,0.2937645946940497,-0.04093810713294476,0.3136969192339717,-0.10047182903136272
M365-6_v2_no_mvmt,365,True,6,6.0,"(87, 7428)",F,0.23579486613311265,0.13923707998890672,0.19617689540319183,0.2915051350064613,0.23689043052438277,0.40229885057471265
M367-6_v2_no_mvmt,367,True,6,6.0,"(162, 7529)",F,0.3164698949299269,0.1500816679497732,0.3182978997359145,-0.5258117262321887,-0.24371252822549253,-0.7703028887331621
M374-6_v2_no_mvmt,374,True,6,6.0,"(72, 7417)",M,0.13145150727587332,0.08699814531847948,0.13654767284891145,0.37412894932683843,0.223665516541506,0.32535011162979505
M374-8_v2_no_mvmt,374,True,8,6.0,"(68, 7125)",M,0.18227986109479793,0.10936063131510015,0.16486718669465927,0.3841166936790924,0.07301072779192715,0.2810064058038126
M374-10_v2_no_mvmt,374,True,10,6.0,"(68, 7649)",M,0.24643255945993603,0.16510348158534904,0.22355098631251097,-0.036720751494449186,-0.046897238827213215,-0.1382009678337603
M387-6_v2_no_mvmt,387,True,6,7.0,"(90, 7540)",M,0.263864040229064,0.13475693520923124,0.2431578214951336,-0.03359235875020235,0.01635097943985753,-0.14189736117856563
M387-10_v2_no_mvmt,387,True,10,7.0,"(117, 7462)",M,0.2557627092876512,0.09021717521284416,0.2179096278802707,-0.047619047619047616,-0.004619758351101639,-0.06780383795309167
M396-6_v2_no_mvmt,396,True,6,7.0,"(89, 7528)",F,0.1740262364422681,0.059290820053337245,0.14247744139381868,-0.1606079277058944,0.10104744300677758,-0.06859724789484492
M397-6_v2_no_mvmt,397,True,6,7.0,"(69, 7503)",F,0.2078106339160558,0.10647771628438679,0.188028813852606,0.055321707757065554,-0.12667869312487473,0.022182134028195365
M410-6_v2_no_mvmt,410,True,6,9.0,"(99, 7428)",M,0.31247564193593574,0.10924554497059757,0.24722191859394163,-0.1544373162256081,0.09435979684576316,-0.18404170008019247
M410-8_v2_no_mvmt,410,True,8,9.0,"(102, 7532)",M,0.13330200170456336,0.12171537282763968,0.13573803724565217,0.13561229513962159,0.2056692691847788,0.15263417035942886
M410-10_v2_no_mvmt,410,True,10,9.0,"(71, 7137)",M,0.15364099527081324,0.0839118659081987,0.13608595078975516,0.04529416000576079,0.007128969539857427,0.0211708792395766
M412-8_v2_no_mvmt,412,True,8,9.0,"(135, 7515)",F,0.14189552613070688,0.09565132465907725,0.14373401355682028,0.18658280922431866,0.14120994309673557,0.10205151242887092
M412-10_v2_no_mvmt,412,True,10,9.0,"(101, 7163)",F,0.18033235771995637,0.04482378990710344,0.1451575961375017,0.10022797589969061,0.27536231884057977,0.19711773326819737
M415-6_v2_no_mvmt,415,True,6,9.0,"(131, 7585)",F,0.29257552580133067,0.1800457014582353,0.2610647728339387,-0.09741157873937957,0.17256141737469538,-0.10834485938220377
M415-8_v2_no_mvmt,415,True,8,9.0,"(62, 7420)",F,0.14001556375107013,0.04933268734424885,0.10495458088246962,-0.06620063332735854,0.17129712612774092,0.08627591563601601
