id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,0.001311464165257137,0.0008528818913129916,0.0012699105230654087,-0.05562148904185458,0.014637233958382777,-0.08742780283250258
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,0.001326526019606269,-0.002630257190914225,-0.00045250535545965435,0.006515622686213531,0.07122760254701613,-0.004738634680882576
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,-0.0005639520490318405,0.0028724134446048424,0.0008791316223398297,0.13537320352341214,0.2078945625538115,0.18246241472945227
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,-0.0008927347978984891,-0.00030334726810227604,-0.0003793629268969246,0.1098701083809051,0.07917597418714321,0.06676594688508315
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,7.628448707605273e-05,0.00027063520823569895,-0.0005825814039949595,0.030175612169181302,0.027949542418995794,0.06810124495011954
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,-0.001063886828390254,0.00021886617445841014,-2.7006033265091425e-05,0.2226085612733735,0.2763096893834029,0.12393756760933394
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,0.001217015038266829,0.0010942432499096587,0.0009497538399060768,0.14321687126219704,0.115014164305949,0.08372678627636135
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,-0.0001504402324222309,0.0010545900391736554,0.0003256086632778461,0.07076834199884459,0.21143847487001732,0.07690641247833623
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,-0.0004503639953821115,0.00020622792464588833,-0.00016375193103796898,-0.00545957669583427,0.07060055343654176,0.01682746241866728
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,0.0003367255699011158,-0.0012182872430727023,-0.00016050910101186698,0.1792027216921825,0.11493232749057022,0.0557651061312033
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,0.0009453017247020289,0.0007230418098500167,0.0007683108848996192,0.10219912637445397,0.09835818647386656,0.03840939900587438
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,0.00013737160647510878,-0.00045809373393090847,6.350990155387297e-05,-0.03488633805986946,0.00487658489008928,-0.03848750844024308
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,-0.0030260081560124484,0.0018054955981973994,-0.001404019951771585,0.00036405999708752725,-0.02002329983981359,0.0023299839813601384
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,-0.0009431271901324849,-0.0011233037172937884,-0.00047484068479207594,-0.0184221065278334,0.016753437458283265,0.029969296489120275
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,-0.0004908024745033463,-0.0011757075926643041,-0.000448936869590947,-0.015556938394523951,-0.01680149346608587,-0.014243241374541936
M322-8_v2_null_normal,322,True,8,3.0,"(83, 7594)",M,6.875051606027991e-05,0.0002886380149856374,-9.997929676856788e-06,0.07524529302572262,0.0888358525590029,0.10096791302041898
M322-10_v2_null_normal,322,True,10,3.0,"(45, 7308)",M,-1.1744936747180057e-05,-0.00029472674533983665,-0.00045291805799324575,0.13690137280951475,0.17941418358954891,0.16593914088694883
M322-12_v2_null_normal,322,True,12,3.0,"(182, 7577)",M,-1.576412191349924e-06,-0.0015701023247013275,-0.00058002508990571,-0.046966611121397266,-0.03826451891625007,-0.06363019193976423
M353-6_v2_null_normal,353,True,6,5.0,"(97, 7497)",M,-0.0004022854726895637,0.001218657916621688,7.225694066709423e-05,0.08449739797315803,0.08798959189263214,0.09305669679539852
M353-8_v2_null_normal,353,True,8,5.0,"(109, 7400)",M,-0.00026781786966458985,-0.0014786590334730108,-0.0006560589863761547,0.0655378486055777,0.10013280212483398,0.05345285524568394
M353-10_v2_null_normal,353,True,10,5.0,"(113, 7428)",M,-0.0010766658126020218,0.0015653782403182697,0.00036319597354842267,0.008338459435445292,0.021187888729410152,0.10259039026724077
M361-6_v2_null_normal,361,True,6,5.0,"(108, 7428)",F,0.0009667398517656958,3.252732901150952e-05,0.0007496173109771655,0.08694143769081322,0.05072162087149597,0.11552872606161532
M365-6_v2_null_normal,365,True,6,6.0,"(87, 7428)",F,0.0008798355429776067,0.00010205723032859307,0.0006030438839468801,0.042576344963612865,0.002244439910222386,0.0033326532000272015
M367-6_v2_null_normal,367,True,6,6.0,"(162, 7529)",F,0.00013735836459973983,-0.0016179900734668697,-0.000939291939877237,0.0008564977030288768,-0.02982169275091489,-0.027018609359183984
M374-6_v2_null_normal,374,True,6,6.0,"(72, 7417)",M,0.0005559462896013845,-0.0002653263416592594,0.00010504584572283563,0.1554698599553481,0.21838847168662473,0.0914011230633922
M374-8_v2_null_normal,374,True,8,6.0,"(68, 7125)",M,-0.0005051131948045978,-5.273073986491845e-05,-0.00022646398874280558,0.07987960175966659,0.09137917727869106,0.025314501813691433
M374-10_v2_null_normal,374,True,10,6.0,"(68, 7649)",M,0.00115689424613218,0.0014274123185634216,0.0015815732497366222,0.11912894961571306,0.08432963279248505,0.03729006547110732
M387-6_v2_null_normal,387,True,6,7.0,"(90, 7540)",M,0.0003441836227283124,0.0005113631018972235,0.0005267227328485872,0.00858021693378663,0.019507851707948835,0.049700501861745176
M387-10_v2_null_normal,387,True,10,7.0,"(117, 7462)",M,0.00034961946795890623,0.0012899740464753272,0.0012205508665362713,0.2103056147832267,0.16552949538024167,0.13980099502487564
M396-6_v2_null_normal,396,True,6,7.0,"(89, 7528)",F,0.0002337787132213679,-0.0006570378456857224,-0.0009558030851501816,-6.846032724036616e-05,0.10371739576915177,0.058670500444992134
M397-6_v2_null_normal,397,True,6,7.0,"(69, 7503)",F,0.000914078616232225,0.001829386073272471,0.0011310784384632767,0.07082247611411772,0.06227032805505445,0.03801697066880471
M410-6_v2_null_normal,410,True,6,9.0,"(99, 7428)",M,-2.3214714194654315e-05,-5.939272770627441e-05,0.00012102812018043874,0.10832665062817427,0.1164795509222133,0.051724137931034496
