id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,0.02744516084547083,0.005223753254330899,0.02928964602333157,-0.36743413244718726,0.12200332304770947,-0.284437059893979
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,-0.08920714495065592,-0.022336286430850064,-0.05030397995856162,-0.4568339997038353,0.22286391233525837,-0.36080260624907445
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.12321769965177493,0.02329664520318911,0.09205790670536082,0.141665010927876,0.1541161666335519,0.035631498774753294
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,-0.023059634895243063,0.02812937375913038,0.020108651574629106,-0.8097956482170927,-0.0706544221063953,-0.569620253164557
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.415380478687098,0.12750116789610144,0.3637596239546322,0.39071646467144855,-0.05086981614312804,0.3796685629483057
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,-0.1220751232767963,-0.06121304198221855,-0.08850293187193459,1.2936176788749807,-0.11350641322824907,0.8769123783031989
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.07621495759643912,0.11460081180595105,0.09564716316873358,-0.33415171545483163,0.017186024551463633,-0.3497639282341832
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.1553166209592998,0.10542514134399397,0.15774148815685932,-0.06029751588677064,0.00859329867128828,-0.11294049682264588
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.14029450180892328,0.12462205050498935,0.15533397695868775,0.11764265948694938,0.04517238800388901,0.11083688579762171
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.07895204805562021,0.05350708892805676,0.07640055809554572,0.28074846535019604,0.24273352562680275,-0.003845869388358848
