id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,0.43955800681121665,0.06788292365249647,0.3601695065160468,0.18921374297984805,0.02015196564255038,0.16435414601916087
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,0.004199902423770834,0.01627619537268402,0.02732897024124376,-0.5150791928834888,0.1034931655456715,-0.31214290880162004
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.49452955574604035,0.11659650156747915,0.4377910564313958,0.3923217037971136,-0.027182289477371446,0.4265097379851478
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,0.23653071187390165,0.054865955838022874,0.21012873077711725,-0.20031545741324921,0.19558359621451105,-0.23817034700315456
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.40946944205977465,0.15325522259658528,0.37261362210557736,0.8108200650573533,0.25560691662386575,1.0655709638760484
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.09890126917664661,-0.10634106006977338,0.057986232151048034,0.31806615776081426,0.49500880798590724,0.41586742350101136
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,0.34513248629861176,0.18376324617110107,0.308679896108167,-0.007892293407613748,0.25030950170225935,0.13981739399566695
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.3874146656725364,0.0810942267362319,0.31559004582532263,-0.09755388995409911,-0.15850328278426587,-0.11887746208819941
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.3090630865624069,0.15418607453296324,0.27505603099914955,0.10502873563218393,0.11961206896551724,0.09576149425287356
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.28592348270456897,0.07263269016979702,0.21228260183008305,-0.014981273408239699,0.131310861423221,0.027715355805243456
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.3050819529107765,0.14376652574965726,0.2642870191949211,0.07237037037037038,-0.019999999999999993,0.18037037037037038
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.6753418210032286,0.21554738460524756,0.565729493344107,-0.5628250752805913,-0.20102199105757823,-0.7240624144538735
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.4791374285606321,0.09438078428533404,0.4057355947185679,-0.7635946813388355,9.170105456213203e-05,-0.7901879871618525
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.6637870372923242,0.2260781412244675,0.5733181257191065,-0.21515619636113967,0.04437006522485411,-0.33908341915550977
