id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.2453393676097487,0.07700501605264465,0.21524392190407432,-0.023785926660059464,-0.059547406673273864,0.016352824578790875
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.06651015946003622,0.05247637385284543,0.07122004533028242,-0.08367686410645837,-0.07644463730382584,-0.04766037462934838
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.34361758916841545,0.028315917779387793,0.25162282754358006,0.4193638783802718,-0.08028583438419505,0.39176124422026054
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,0.008080668335788762,-0.04696781627990329,0.02433949871030728,-0.7949526813880127,0.16561514195583593,-0.8638275499474238
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.29755230499732876,0.09904310318437201,0.24808246500635409,0.5996404725218285,0.2211950008560178,0.687296695771272
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,-0.16266630228785034,-0.06776186595137812,-0.10227882877367121,-0.8616819990865794,0.4202387942845958,-0.7305408755790436
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.3562487810005209,0.19000449389099072,0.3284550564871068,0.1573816155988858,0.12178891983905911,0.2536366450015475
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.35585839565664934,0.07896797635893672,0.2908192609281073,0.0036023473360060464,-0.1291034803323456,0.008541049328917553
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.2775456641274602,0.12281410739590008,0.24449204895336843,0.13979885057471267,0.1264367816091954,0.12974137931034482
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.22473976490347133,0.09836065145788861,0.1747853094102701,-0.07865168539325844,0.22112359550561791,0.12606741573033706
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.24895612640029532,0.15644290752321288,0.22927826114002603,-0.019555555555555562,0.09755555555555556,0.00940740740740739
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.49184703226800586,0.10084563138221211,0.37518244799835104,-0.16771603248471573,-0.43763117072725616,-0.25796149283693764
M316-10_v2_no_mvmt,316,True,10,3.0,"(104, 7207)",F,0.473637956469061,0.15903803693311142,0.40735018646913024,-0.20953690967446126,-0.10013755158184319,-0.3365428702430078
M316-12_v2_no_mvmt,316,True,12,3.0,"(94, 7392)",F,0.5542510818460223,0.12003313233055646,0.4507245393384346,0.013216615173360795,0.03673189152076896,-0.08899759697905937
M322-6_v2_no_mvmt,322,True,6,3.0,"(140, 7572)",M,0.43641639168795965,0.09878854777706124,0.3537381958794043,-0.015282086636791904,-0.07468688957830631,-0.04033092037228542
M322-8_v2_no_mvmt,322,True,8,3.0,"(83, 7594)",M,0.48082767899320744,0.019072364080894973,0.377922859468431,-0.15077202543142595,0.038374205267938236,-0.17438692098092642
M322-10_v2_no_mvmt,322,True,10,3.0,"(45, 7308)",M,0.32022123912872646,0.08557129009398788,0.24474870523107853,-0.12203084543510073,-0.2854891365529663,-0.0019137678712146861
M322-12_v2_no_mvmt,322,True,12,3.0,"(182, 7577)",M,0.4468648623545972,0.14328034833197834,0.36656507272206423,-0.016857720836142953,-0.21532928748033264,-0.11081141829624633
M353-6_v2_no_mvmt,353,True,6,5.0,"(97, 7497)",M,0.5341381227556042,0.20743352661933004,0.46691380330159193,-0.09477032463280008,-0.02254654317522687,-0.1608195341004771
M353-8_v2_no_mvmt,353,True,8,5.0,"(109, 7400)",M,0.37523965822521493,0.13573536269520514,0.32459748833428137,-0.010928961748633871,0.25347521809989454,-0.07247627264883519
M353-10_v2_no_mvmt,353,True,10,5.0,"(113, 7428)",M,0.5460363281186078,0.23477040876147134,0.4840501168487833,-0.0017543859649122794,-0.03176361957525393,-0.053000923361034166
M361-6_v2_no_mvmt,361,True,6,5.0,"(108, 7428)",F,0.5428666955655098,0.14410602925274146,0.4562287544115228,-0.20120601480802988,-0.19769483245553773,-0.27364323334096635
M365-6_v2_no_mvmt,365,True,6,6.0,"(87, 7428)",F,0.38031505362538487,0.07228201451296505,0.2850770236297206,0.14752751766058816,-0.25053392475768027,0.2023164120256284
M367-6_v2_no_mvmt,367,True,6,6.0,"(162, 7529)",F,0.48926731396389106,0.2168674677986847,0.43682138254415126,-0.5589326913431638,-0.15457919550606883,-0.7255492025278363
M374-6_v2_no_mvmt,374,True,6,6.0,"(72, 7417)",M,0.2782397581691663,0.07662440109137802,0.2248560308167327,0.10000578402452427,-0.1914512117531378,0.07282086876048355
M374-8_v2_no_mvmt,374,True,8,6.0,"(68, 7125)",M,0.3423135909966415,0.09605622501176726,0.2750026121304948,0.08275780650492888,-0.13234165633669795,0.07909804616020306
