id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,0.003680442777871213,0.00033209608279230273,0.0018402616322224865,-0.015113974231912776,0.020482325735051203,-0.051040634291377604
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,0.0008109590105827963,-0.0013187951429760234,-0.0007973569244903486,-0.019960945975265793,-0.043176394011716204,-0.05633904679250742
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,-0.00037005257436471605,-0.0022416855066010643,-0.0008359403173251062,0.03769090654336555,0.031665966092195595,0.020456774555135206
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,-0.003732576954660802,-0.0009887914709955147,-0.0022287873775638637,0.07518401682439538,0.11356466876971609,0.1056782334384858
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,-0.0014475134267183483,0.00017970504373070504,-0.0011546906399996241,0.05007704160246533,0.017291559664441014,0.034497517548365005
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,0.0009962489647259729,-0.0004239577048648136,0.00010818108670323877,0.13388138578978273,0.11926665361779865,0.1266392640438442
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,-0.00023067503406221402,-0.00021750892815350053,-0.00016201663661580805,0.056716186939028156,0.09749303621169916,0.03969359331476324
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,0.0005750177999192828,-0.0009172825061465737,-0.00025037618262959316,0.02736621927836849,0.017779327174481437,-0.022776131543780134
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,-0.00020101180731220894,-0.0003982513047433628,-0.0007141410510497222,0.0015086206896551709,-0.01673850574712644,0.033979885057471265
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,0.0002596054286693692,-0.0005007470558117685,-0.00020539401139891113,0.1145318352059925,0.06367041198501872,0.06539325842696628
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,0.00142044768150834,-0.000661761055886707,0.0006408286268396738,0.03281481481481481,0.026222222222222223,0.018888888888888886
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,0.001752905246419947,-0.001781408930029986,8.920235884682646e-05,-0.08340177023451044,-0.05100830367734282,-0.028834747695957653
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,-0.0010706461168598518,-0.0014001888548616846,-0.00023151847904242723,-0.011187528656579555,-0.022650160476845493,-0.00678587803759743
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,0.0007920639853277777,0.0009245917774429337,0.001163621828323228,-0.014332303467215932,0.02394438722966015,-0.05578441469275661
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,0.0018755122584886764,0.00016461106185561834,0.0010577904720138085,-0.032632425600367686,-0.0352751924623693,-0.009307135470527408
M322-8_v2_null_normal,322,True,8,3.0,"(83, 7594)",M,-0.00035887455370326485,0.0017739873605117753,0.0010967232826867488,0.08662579473206175,0.01737057220708446,0.05597184377838328
M322-10_v2_null_normal,322,True,10,3.0,"(45, 7308)",M,-0.0007271145814551343,-0.0003805707065713558,-0.0005629568842881899,0.1624451198919284,0.15918045705279746,0.22267252054486095
M322-12_v2_null_normal,322,True,12,3.0,"(182, 7577)",M,0.0008384172620830333,-0.00013515530830786253,0.00022152628390756471,-0.011800404585300066,-0.047426387952348846,0.013598561474488638
M353-6_v2_null_normal,353,True,6,5.0,"(97, 7497)",M,0.00036414877345089633,6.59544543054402e-05,-0.00019314106838370882,0.07446908036299,0.051361212461408914,0.04340911217139114
M353-8_v2_null_normal,353,True,8,5.0,"(109, 7400)",M,0.0007867210810610509,0.00013326113711271837,0.00028093237361524986,0.05982168536094334,0.08762343016009969,0.0389224427188189
M353-10_v2_null_normal,353,True,10,5.0,"(113, 7428)",M,-0.0007611716438670382,0.0004970935234512409,-0.000459795623310062,-0.014866112650046164,0.052908587257617726,0.012742382271468133
M361-6_v2_null_normal,361,True,6,5.0,"(108, 7428)",F,-0.0009005763130960001,0.00038359832134763277,-0.0001067819656853188,0.024654606518586374,-0.0184718723761545,0.040912907411647964
M365-6_v2_null_normal,365,True,6,6.0,"(87, 7428)",F,0.0012767042509700174,-0.0001849469938840053,0.0006573823143592862,-0.03753901757844586,-0.06489239362575983,-0.047067520946278946
M367-6_v2_null_normal,367,True,6,6.0,"(162, 7529)",F,-0.0012671169817312512,0.00012348543702313448,-0.00045295610300710037,0.039422208847427025,0.016852241950045144,0.009128297722941112
M374-6_v2_null_normal,374,True,6,6.0,"(72, 7417)",M,0.0003883977968806389,0.00018460244742808706,0.000285159941394223,0.1700503210133611,0.15483833651454681,0.09219735091676787
M374-8_v2_null_normal,374,True,8,6.0,"(68, 7125)",M,-3.4435666674770515e-05,-2.2916030327403832e-05,2.4372953003176177e-05,0.14833835074670915,0.10542470928516615,0.10949766837849004
M374-10_v2_null_normal,374,True,10,6.0,"(68, 7649)",M,-0.00025733281911541746,0.0003781329343037399,-3.321855959246295e-05,0.06492976627615549,0.03030832896193974,0.026636358337704724
M387-6_v2_null_normal,387,True,6,7.0,"(90, 7540)",M,0.0008491864322355125,0.00010683084413025978,3.756299429013555e-05,-0.022114895780376207,0.005168615488900184,0.031350618539230636
M387-10_v2_null_normal,387,True,10,7.0,"(117, 7462)",M,-0.0005443239318319842,0.0005451425999115853,0.0001817049152729747,0.18475947211579394,0.1805874840357599,0.11809280544912727
M396-6_v2_null_normal,396,True,6,7.0,"(89, 7528)",F,-0.00043376935431819206,-0.00034519846706655867,-7.106787891523241e-05,0.02195748656855875,0.00011679514132211685,0.06020789535155337
M397-6_v2_null_normal,397,True,6,7.0,"(69, 7503)",F,0.00032265957126995006,0.0003243734703811576,3.7891349859313083e-05,-0.08046822332536618,0.024146595575167,-0.07703621989336273
M410-6_v2_null_normal,410,True,6,9.0,"(99, 7428)",M,0.000756177525039877,-0.0008273590286890541,3.45114078865839e-05,-0.01751761112150116,0.008665295181098433,-0.03721713110155226
M410-8_v2_null_normal,410,True,8,9.0,"(102, 7532)",M,1.122708656348867e-05,-0.00029861658124372993,-0.00024209356628957334,-0.02367975944371359,0.048111257282465715,0.028566059011464015
M410-10_v2_null_normal,410,True,10,9.0,"(71, 7137)",M,0.0002794504743277353,-0.0004949509078601005,-0.0005574384951592975,0.0166012261486533,0.03354687607632432,-0.010608252393745268
M412-8_v2_null_normal,412,True,8,9.0,"(135, 7515)",F,0.0007766387459645344,-0.0003551121726106817,0.0002948260179749193,0.05985285344999007,0.06475773845032147,0.023132498177238683
M412-10_v2_null_normal,412,True,10,9.0,"(101, 7163)",F,0.0002728083819887712,-0.0011277199052719062,-0.0004092089899624234,0.05097728473322768,0.055533544638140524,0.01631008980454304
M415-6_v2_null_normal,415,True,6,9.0,"(131, 7585)",F,-0.00045555012817020626,-0.0007107351362329603,-0.00018680637368923984,0.07228322072072073,0.09783220720720721,0.08460022522522523
M415-8_v2_null_normal,415,True,8,9.0,"(62, 7420)",F,-0.000895930023714555,0.00035919313169881825,-0.0003657994944590169,-0.014553014553014554,-0.0052668052668052665,-0.014968814968814966
