id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,0.07838399197467262,0.0674640840268096,0.08830890541840941,-0.20259332672613148,0.06995374958704989,-0.13206144697720515
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,-0.030548450303547747,0.03541166538317719,0.014257094528828269,-0.10363781008172417,0.12410501193317422,0.08085629565343169
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.13773758612379405,0.033645645252822355,0.11243790567306114,-0.06655457475129606,0.10046237915090374,-0.07103825136612021
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,0.04040186005331647,-0.028100933087310754,0.02185295270743353,-0.12145110410094637,-0.033648790746582544,-0.04048370136698212
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.3673092297485844,0.08837737363657087,0.29173629317416183,0.8871768532785482,0.04160246533127889,0.6809621640130115
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,-0.14666920860592753,-0.08549639212938755,-0.0998801603536819,1.9186403079532852,0.036275853069746206,1.4477066614471197
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.3681026152855616,0.2476640015700933,0.3461264776195467,0.09548127514701332,0.011761064685855777,0.03474156607861343
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.1280152641689115,0.03683748755151516,0.11403394265585164,-0.4713845796293068,-0.1016791586775899,-0.4610423566323862
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.15671987178165425,0.12033091393696758,0.16257362745448073,0.2576867816091954,0.20201149425287354,0.24324712643678162
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.21107195489009825,0.09655809371040287,0.16892382255348554,0.20337078651685392,0.2531835205992509,0.08434456928838951
M308-14_v2_trim_mvmt,308,False,14,2.0,"(107, 7269)",F,0.25735552337690554,0.14334872533429266,0.22594634827835783,0.1434074074074074,0.040148148148148155,0.12511111111111112
M316-8_v2_trim_mvmt,316,True,8,3.0,"(83, 7579)",F,0.6251836006617176,0.16606118339160844,0.5152855124102528,-0.3330595857286248,-0.15475864586184868,-0.4562460078474313
M316-10_v2_trim_mvmt,316,True,10,3.0,"(104, 7207)",F,0.2710453674604169,0.09192622449648087,0.21618352210893016,-0.3213204951856946,-0.007977991746905085,-0.25364511691884456
