id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,0.4105311485468703,0.0637302845846878,0.33199614787412757,0.4970005659309564,0.03938879456706282,0.45161290322580644
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,-0.015314998575054344,0.0011827393671572208,0.012158107433649696,-0.545414168332223,0.2952476127026427,-0.3468798578725294
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.44679922785038395,0.12601725600826097,0.38855460588414964,0.33340616124098754,0.06110261452188478,0.3674167941155051
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,0.052780690874088446,0.000785380429196383,0.06920405934821192,-0.4416930101861609,0.2920618194590798,-0.4397611520899192
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.418085968443211,0.20494194303752,0.43735322449330594,0.80515967273687,-0.3081947743467934,1.2022301398785957
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.2302279182792402,-0.008697631925828786,0.18583266008465404,0.01740020470829069,0.7291879904469464,0.15813715455475943
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,-0.010013938491856918,0.16271752516181306,0.10093547318756267,1.0206353283671545,0.21996746296771985,-0.03904443873619316
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.3884322406673735,0.1547759046767106,0.34223844790783875,-0.0018034265103697034,0.05660755435327121,-0.020739404869251573
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.3990699454487433,0.16306429259355104,0.34608034283942474,-0.3115942028985507,0.05973615756224451,-0.26356373095503527
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.2733555785819607,0.09406284629001999,0.21130640335792963,-0.038859291758069577,0.09213412723284238,-0.06769037919147601
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.2867237208655214,0.1427305262942761,0.24902674399470984,0.05426356589147287,0.07141472868217057,0.0997093023255814
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.5951334223792131,0.16484545965793854,0.4852516271774638,-0.7184216409568521,-0.18678739101274314,-0.8830762351889111
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.45717904766377643,0.08225664072858722,0.39135861922317217,-1.0314757481940144,-0.08090815273477811,-1.0928792569659442
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.4785446763445253,0.15105198960856067,0.40359225034519636,-0.37154855643044615,-0.00545931758530184,-0.4676115485564304
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.6048879109147851,-0.01802772828004627,0.4798638943000644,-0.40859735237245276,-0.11743269373791464,-0.4152907928008329
