id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.16967010542815142,0.07050990103119988,0.15570207649556472,-0.015280135823429556,0.13774759479343518,0.0054329371816638035
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.01379520951194696,0.05090415107744095,0.04513020273582688,-0.21174772373972905,-0.004663557628247825,-0.059182767044192765
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.3243603294559714,0.0653540162834353,0.2543768373886858,0.35685674750564417,0.04537178646857475,0.3840943849683199
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,-0.20777683664959237,-0.09225550060365584,-0.16384817919701078,-1.4827889005971198,0.5319634703196348,-1.4824376536705306
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.26651400404890585,0.15848662339406586,0.2658082631327394,0.33326735286355236,0.14621272103457378,0.49181842174716284
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,-0.05689316812012833,-0.008364568321218067,0.006158479301507334,-1.5000852951211192,0.7253497099965882,-1.0392357557147733
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,-0.03156597792881737,0.09266692670392766,0.0065743607296199335,-1.2007021149070984,-0.0046236835345491905,-1.1390530011131093
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.34557166159161234,0.14903175625082274,0.3051806962724608,0.03276224827171626,0.07554353271215308,0.035066626590521996
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.2621856127236047,0.14535102517531476,0.24294690422939852,0.02647714604236344,0.02861389817911557,-0.02870680044593087
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.21442204931667702,0.10891486149844323,0.1763703117356967,-0.03300950590201609,0.15021414394651625,0.06539224903374072
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.19961637064132176,0.1447307491423066,0.20168166466758153,-0.1260658914728682,0.06676356589147286,-0.04079457364341087
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.37000544841262195,0.055460876296916345,0.26208758061332177,-0.11178180192264699,-0.5361055220210149,-0.11032863849765256
M316-10_v2_no_mvmt,316,True,10,3.0,"(104, 7207)",F,0.4552653086240402,0.1432966594355623,0.39678573258629724,-0.3273477812177502,-0.11382868937048503,-0.4726522187822497
