id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,0.0005533155678166212,-0.0022281010668802836,0.00017984965326633354,-0.0023769100169779155,-0.11431805319750991,0.026485568760611197
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,0.000834278495628343,-0.001193726095619294,0.00043010042622766226,0.10004441483455473,0.06129247168554297,0.07495003331112593
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,-0.0015026903247232519,0.0004923148248079597,-0.0006994078513471179,0.08346078217172821,0.0573155633238657,0.07807151700531645
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,-0.0011559037667718019,-0.0015477699690465614,-0.00041904750867496,0.06357569371268001,0.009834913944502978,0.11907270811380402
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,0.0008527095857126624,-0.0006774063927985349,0.0002130709610432466,0.055555555555555546,-0.026392187912377945,0.056149379783584065
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,0.0001993554820335062,0.0003708319111650048,-0.00010372388108658105,0.004435346298191742,0.029767997270556117,-0.0029000341180484574
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,0.0008282792779666262,-0.0007032699152593278,-0.00011354414892173132,0.20369894682763937,0.11524959328709647,0.08630875931158488
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,-0.0007359381043255475,0.0027198591227356904,0.0006463017670682264,0.01292455665764953,0.04528604348261697,-0.023845306081554954
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,-3.788815822278497e-05,0.00012787443276447033,0.00016385855721259224,-0.019137866963953913,-0.04096989966555184,0.00929022668153102
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,-0.0004361631409048893,0.0003889499099129725,0.000808318023859373,0.0322782826700094,0.06361642118458162,0.05337929593648804
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,-0.0006828168368403093,-6.509007677943592e-05,-0.00036529166563417274,0.061821705426356593,0.051744186046511625,0.059980620155038765
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,-0.0020041950538105275,0.00013184955671686775,-0.0010000010929336002,-0.04437737536329086,-0.048401520232506164,-0.01710261569416498
