id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_null_shuffle,39,False,12,,"(88, 4695)",F,0.00266399076525069,0.0014791950782799567,0.0014330946185059682,0.05602716468590832,-0.025580079230333893,-0.013582342954159598
M42-12_v2_null_shuffle,42,False,12,,"(113, 4794)",F,0.0011409004947221721,-0.000432476180249216,5.56280611049815e-05,0.023650899400399744,0.010659560293137908,0.07284032866977572
M44-12_v2_null_shuffle,44,False,12,,"(93, 4987)",M,0.0007108649067620297,-0.00018638200639945114,-0.00023465393086970036,0.055713349355473014,0.08142160075741023,0.07020610297866144
M45-12_v2_null_shuffle,45,False,12,,"(81, 4877)",M,-0.00013489179586684792,0.00048067658559164167,-0.0006596543467027126,0.07112750263435196,0.04197400772743239,0.0911485774499473
M46-12_v2_null_shuffle,46,False,12,,"(116, 4835)",M,0.0018353917557179576,0.0002379466796891031,-0.00034098906702876344,0.007719714964370546,0.01115069939297968,-0.008577461071522833
M251-6_v2_null_shuffle,251,False,6,,"(52, 4966)",F,0.0002235940514055836,-0.0010392390430263706,-0.00025448259614295666,0.03445922893210509,-0.0591095189355169,-0.053650631183896264
M254-6_v2_null_shuffle,254,False,6,,"(51, 4955)",M,-0.0007486348679233307,0.00031215733954049866,-0.0007856960574071752,0.15609213117561435,0.1260381882010446,0.05394297456974056
M308-8_v2_null_shuffle,308,False,8,2.0,"(88, 7378)",F,0.0003520908596624282,4.1661024753123325e-05,-0.00010012334037068868,0.04137861937681596,0.07634505560565075,0.030558060314597738
M308-10_v2_null_shuffle,308,False,10,2.0,"(111, 7328)",F,0.0029971108460838977,0.00030815666970164003,0.0006321493474949676,-0.03539576365663322,0.04561501300631736,0.01737272389446302
M308-12_v2_null_shuffle,308,False,12,2.0,"(135, 7630)",F,-0.000869074881973153,-0.00029300210090245566,-0.0007902876750230953,0.056513109787945257,0.08868693199623942,0.0691528256554894
M308-14_v2_null_shuffle,308,False,14,2.0,"(107, 7269)",F,0.0014122955300188943,0.00108559344314721,0.0008844619502781359,0.05707364341085271,-0.023837209302325572,-0.0068798449612403195
M316-8_v2_null_shuffle,316,True,8,3.0,"(83, 7579)",F,-0.0014383482339551225,-0.0001489803383363191,-0.0009263135297845414,-0.061815336463223784,-0.09423205902079142,-0.07679409792085849
M316-10_v2_null_shuffle,316,True,10,3.0,"(104, 7207)",F,0.001815943905203633,0.001310299243571195,0.0005807537355420071,0.03353973168214654,0.05510835913312694,-0.016615067079463357
M316-12_v2_null_shuffle,316,True,12,3.0,"(94, 7392)",F,0.0005837882236976312,0.004438687734916064,0.0007730233590813355,-0.005144356955380587,-0.01553805774278215,-0.05427821522309711
M322-6_v2_null_shuffle,322,True,6,3.0,"(140, 7572)",M,0.002449703351889403,0.003622192688410299,0.0015286141386589443,0.0068421835490108576,0.016807972631265804,0.03978878476870445
M322-8_v2_null_shuffle,322,True,8,3.0,"(83, 7594)",M,0.00016778555449403561,0.0007337892135497093,-1.8912073322054802e-05,0.08571924344959224,0.053531146972063154,0.06854069061252818
M322-10_v2_null_shuffle,322,True,10,3.0,"(45, 7308)",M,0.0008035910344615884,0.002953373771564596,0.001338326970172674,0.17033458579352298,0.1647879763821793,0.16112005725532294
M322-12_v2_null_shuffle,322,True,12,3.0,"(182, 7577)",M,0.0018478133255063515,0.0011659250501020457,0.0006864863019628701,0.013505376344086011,0.0275268817204301,0.021161290322580645
