id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,0.10464915205881346,0.057060925187341446,0.10360913641120274,-0.2150537634408602,0.2706281833616299,-0.10039615166949632
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,-0.05490050021855149,0.01195939431301573,-0.008540380061628775,0.04052853653120142,0.2723739729069509,0.14623584277148569
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.1486187082013818,0.0605734216140211,0.1339222570334288,0.2079236763527784,0.16466389920617583,0.20843347170635787
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,0.015013010033720938,0.0105431551530378,0.028932123156142166,-0.28099754127151383,0.16210045662100456,-0.19423955040393395
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.4791026171110294,0.11335188306538738,0.40971947437461353,0.7718395354974927,-0.007719714964370546,0.6771575613618368
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,-0.08603803494942913,-0.032902700915467084,-0.025918260895948182,1.989167519617878,0.5801774138519277,1.5400034118048447
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.07227117882064413,0.1285883885249787,0.11631583930807418,0.1031766418357736,0.16191454747838,0.10677284014042299
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.1822306319513808,0.1153177939425989,0.18344540030207201,-0.18875864141869553,-0.011722272317403066,-0.12453661957719667
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.20029354508901492,0.13648296440626254,0.1958496066926148,0.08370494240059458,0.02341137123745818,0.09485321441843182
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.1819536874432413,0.11247362024893538,0.16029061655007956,0.17131515721299487,0.16442076673978898,-0.02413036665622063
M308-14_v2_trim_mvmt,308,False,14,2.0,"(107, 7269)",F,0.25482162438506073,0.1364541334923609,0.22465515568869063,0.2010658914728682,0.07645348837209304,0.16521317829457366
M316-8_v2_trim_mvmt,316,True,8,3.0,"(83, 7579)",F,0.5321871009840289,0.13537064581392028,0.4259875625453029,-0.45942320590207913,-0.1568298680974737,-0.5479543930248155
M316-10_v2_trim_mvmt,316,True,10,3.0,"(104, 7207)",F,0.20350831114092738,0.0755545959620422,0.17496164413304705,-0.3963880288957688,0.04551083591331271,-0.4505675954592363
M316-12_v2_trim_mvmt,316,True,12,3.0,"(94, 7392)",F,0.246003874630653,0.13754640097584425,0.22246288888621366,-0.0022047244094488233,0.12073490813648295,-0.06666666666666665
M322-6_v2_trim_mvmt,322,True,6,3.0,"(140, 7572)",M,0.018846266172107225,-0.029023456090555254,0.004810748948884987,1.091625762308493,-0.028186821359512105,1.0611334225792057
M322-8_v2_trim_mvmt,322,True,8,3.0,"(83, 7594)",M,0.31378790886675134,-0.006691413655199679,0.22690913366002055,-0.02351205969113309,0.2818844351900052,-0.06749956619816067
M322-10_v2_trim_mvmt,322,True,10,3.0,"(45, 7308)",M,0.08862558130094585,-0.03619463842419224,0.03340002058086431,0.1419753086419753,0.44319198425478623,0.7317051350867775
M322-12_v2_trim_mvmt,322,True,12,3.0,"(182, 7577)",M,0.3173154336989063,0.11312897352173124,0.279575586934128,0.01436559139784946,-0.09978494623655912,-0.12834408602150538
M353-6_v2_trim_mvmt,353,True,6,5.0,"(97, 7497)",M,0.17781665782191078,0.1032281010431685,0.16777014305330026,0.2837541796379569,-0.017295053614666205,0.15542488181713365
M353-8_v2_trim_mvmt,353,True,8,5.0,"(109, 7400)",M,0.2485824647389566,0.14153054319193853,0.22171634231312118,-0.06611254418649086,0.22719021687207416,-0.12324448265978787
M353-10_v2_trim_mvmt,353,True,10,5.0,"(113, 7428)",M,0.22411298537772226,0.0989955601923397,0.19143976234729998,0.3096089264435056,0.089372765680858,0.2110280576318925
M361-6_v2_trim_mvmt,361,True,6,5.0,"(108, 7428)",F,0.4223896823672395,0.14067797110177108,0.3398836911898098,-0.197134670487106,0.07516714422158548,-0.2793696275071633
M365-6_v2_trim_mvmt,365,True,6,6.0,"(87, 7428)",F,0.37056348126962124,0.16511166342320746,0.3163649428621692,-0.08336443946746298,-0.06295881547841235,-0.21102401393554807
M367-6_v2_trim_mvmt,367,True,6,6.0,"(162, 7529)",F,0.39200018860638736,0.19307250851842675,0.35051054137439475,-0.5533519789812695,-0.04635986100516993,-0.7518433765573354
M374-6_v2_trim_mvmt,374,True,6,6.0,"(72, 7417)",M,0.16792479649275058,0.09911877184914572,0.17912470075279527,0.6990517870167762,0.39489423778264043,0.5369803063457329
M374-8_v2_trim_mvmt,374,True,8,6.0,"(68, 7125)",M,0.39054083577995596,0.14401864076321189,0.30619262334447106,-0.006453549452198714,-0.037370553804592525,-0.0480264145279904
M374-10_v2_trim_mvmt,374,True,10,6.0,"(68, 7649)",M,0.5150274308286822,0.18832554737083318,0.42672221674041916,-0.2583655083655083,-0.05984555984555986,-0.41409266409266404
M387-6_v2_trim_mvmt,387,True,6,7.0,"(90, 7540)",M,0.28533833097390215,0.12568065372278334,0.2475810097954769,-0.12379058979456593,-0.08986083499005966,-0.16527501656726307
M387-10_v2_trim_mvmt,387,True,10,7.0,"(117, 7462)",M,0.1286535832975969,0.1752891958494358,0.17407446241089156,-0.0007662835249042146,0.07522349936143038,0.1363984674329502
M396-6_v2_trim_mvmt,396,True,6,7.0,"(89, 7528)",F,0.39999849839709517,0.19068979892752272,0.33561692956654243,-0.6943396226415094,0.044528301886792444,-0.6971069182389937
M397-6_v2_trim_mvmt,397,True,6,7.0,"(69, 7503)",F,0.3369502357298436,0.15314846428908324,0.2861583999021268,-0.03192996008754989,-0.09038238702201623,-0.2859533925582593
M410-6_v2_trim_mvmt,410,True,6,9.0,"(99, 7428)",M,0.2282004938938204,0.08527412900597811,0.1741058746273314,0.2892986698911729,0.05935106811769447,0.3350463522773075
M410-8_v2_trim_mvmt,410,True,8,9.0,"(102, 7532)",M,0.36763261673176606,0.17015231106050555,0.3163529748349603,-0.012386706948640483,0.25226586102719034,-0.09325276938569989
M410-10_v2_trim_mvmt,410,True,10,9.0,"(71, 7137)",M,0.36590792202609235,0.173571620228083,0.2994653724898998,0.04259599405230473,0.19933525758768475,0.009446339543426926
M412-8_v2_trim_mvmt,412,True,8,9.0,"(135, 7515)",F,0.23135828402743927,0.12391363075009683,0.19876971685941489,-0.15139308492782813,0.07261944724180375,-0.16056842340830257
M412-10_v2_trim_mvmt,412,True,10,9.0,"(101, 7163)",F,0.21553187830483045,0.07906166398600768,0.16442164709582513,0.15573106520858648,0.29910895099230456,0.20078979343863912
M415-6_v2_trim_mvmt,415,True,6,9.0,"(131, 7585)",F,0.23024480131701008,0.19790082394816597,0.23221830208076882,-0.008009686132066686,0.1442674862624569,-0.03045543447890473
M415-8_v2_trim_mvmt,415,True,8,9.0,"(62, 7420)",F,0.029593829540828093,0.1066634856327071,0.08073291498738804,-0.2573862606489034,0.029635671560630777,0.015406924052927297
