id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,0.2749008157735649,0.03965460443401573,0.21286812895167617,0.4019388516032811,0.1522744220730798,0.3011185682326622
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,-0.05548123111735516,0.0017132854696174501,-0.011453844407419896,-0.9801706827309239,0.2735943775100401,-0.3014558232931727
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.3941672674149768,0.09716188595830047,0.3429824221199798,0.3265242958836273,0.2051996285979573,0.3488084184463014
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,0.07062254309619351,-0.00039067498459918233,0.06293683684436219,-0.6816961889425657,0.19484702093397746,-0.7181964573268921
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.27919611499505714,0.1463119128593578,0.2631703684356585,0.8295977011494252,0.05560344827586207,1.0212643678160918
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.07476938513504566,-0.12902134084615613,0.022395157801481658,0.5189608212864028,1.0886235072281585,0.6444584119002724
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,0.2877034611524597,0.1682886370740737,0.23605760129020836,-0.25342212356640764,0.2959674435812061,-0.1598224195338513
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.34397134018166126,0.1448829683691101,0.3002030592155648,-0.04174408522234609,0.00842313885792146,-0.07432181345224824
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.2857422150505386,0.1438906857016765,0.2502851316340065,-0.023055881203595155,0.05835612869610524,-0.013546958447310135
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.19259694420985413,0.0587894975798147,0.13978712312119976,0.12962962962962962,0.23679193899782133,0.061819172113289765
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.23730989589653503,0.11932946472851,0.208966797530686,0.24649122807017543,-0.033959899749373426,0.25375939849624063
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.5385629780965607,0.15155559764680313,0.4208700535398764,-0.36105947955390333,-0.054987608426270145,-0.5207558859975217
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.10837494265329888,0.07153564308743653,0.10452369132140962,-0.6573872698274613,-0.24648397854139478,-0.6350587211831231
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.5439815651938014,0.25880744653475135,0.4620831682513282,-0.06748466257668712,-0.02894447066226208,-0.2988831209690105
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.4224078684897039,0.08685389055784991,0.3307912676315595,0.0287037037037037,-0.16319444444444442,-0.026851851851851842
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,0.36501228236108657,0.04297864838688354,0.27934862937104865,-0.13052976515565265,0.2998361551064992,-0.17513198616420897
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,0.2087904507838026,0.0682528224714922,0.14708464686453923,0.26998736690128133,-0.05720988991156831,0.30824760873488544
M322-12_v2_mvmt,322,True,12,3.0,"(182, 7577)",M,0.22120366020601293,0.27273610049706504,0.2925474400024366,-0.6257703081232493,-0.04126984126984126,-0.18169934640522878
M353-6_v2_mvmt,353,True,6,5.0,"(97, 7497)",M,0.5367515054012135,0.21100163145762385,0.47196202724744174,-0.1625880608083055,-0.015943641082684454,-0.27437893956247683
M353-8_v2_mvmt,353,True,8,5.0,"(109, 7400)",M,0.5127694777737651,0.2281341411105017,0.4396808528193999,-0.0389257181710012,0.06765255821859596,-0.0958694543600204
M353-10_v2_mvmt,353,True,10,5.0,"(113, 7428)",M,0.499020461667534,0.19989597219775204,0.4284309719800663,-0.21266968325791852,0.11764705882352941,-0.31997414350355524
M361-6_v2_mvmt,361,True,6,5.0,"(108, 7428)",F,0.5400267296598191,0.09732680106031152,0.43525647003444323,-0.25764494257644943,0.377750103777501,-0.4023799640237996
M365-6_v2_mvmt,365,True,6,6.0,"(87, 7428)",F,0.2718616870274945,0.10296686806176457,0.1941291874267523,-0.09212857504429257,0.558972412047583,-0.028094153378891398
M367-6_v2_mvmt,367,True,6,6.0,"(162, 7529)",F,0.5297978508232479,0.1573757987238205,0.4706278602917674,-1.2928383952006002,-0.19516310461192352,-1.4415073115860517
M374-6_v2_mvmt,374,True,6,6.0,"(72, 7417)",M,0.44880934010617785,0.12228909022338215,0.38954812343122047,-0.3530701754385964,0.12061403508771928,-0.4613486842105263
M374-8_v2_mvmt,374,True,8,6.0,"(68, 7125)",M,0.5542362235152114,0.10511889697906768,0.4542744362613421,-0.22586412395709177,0.3573698847834724,-0.3710766785856177
M374-10_v2_mvmt,374,True,10,6.0,"(68, 7649)",M,0.5033723710002884,0.24111884384589644,0.43258894890341715,-0.19104477611940296,-0.1253731343283582,-0.39303482587064675
M387-6_v2_mvmt,387,True,6,7.0,"(90, 7540)",M,0.42771283085795286,0.16046864922706755,0.36981717810152637,-0.45068582625734815,0.0304811669932506,-0.5249292401480513
M387-10_v2_mvmt,387,True,10,7.0,"(117, 7462)",M,0.3546426077341014,0.1918054840867831,0.32372619353892995,0.009799196787148596,0.09220883534136547,-0.1383132530120482
M396-6_v2_mvmt,396,True,6,7.0,"(89, 7528)",F,0.5304415859543832,0.22558081722643084,0.46327271139287357,-0.5796659896185963,-0.04017151884450462,-0.7087564883773415
M397-6_v2_mvmt,397,True,6,7.0,"(69, 7503)",F,0.49096116586793237,0.10385125178629487,0.40798547154879505,-0.31014374830485486,-0.08407919717927853,-0.42866829400596684
M410-6_v2_mvmt,410,True,6,9.0,"(99, 7428)",M,0.4966064227834888,0.11653328853805205,0.3790019229798336,-0.25447056459714684,0.06298975286317057,-0.2758689973879847
M410-8_v2_mvmt,410,True,8,9.0,"(102, 7532)",M,0.4907961194592255,0.13216061874052115,0.4024577111308975,-0.16605128205128208,-0.06051282051282051,-0.21517948717948718
M410-10_v2_mvmt,410,True,10,9.0,"(71, 7137)",M,0.5633348074708563,0.18444183266862665,0.4645267769368076,-0.22882213972325346,0.12509843626954664,-0.21239734503318705
M412-8_v2_mvmt,412,True,8,9.0,"(135, 7515)",F,0.11134228134085912,0.16641900576339125,0.13174669143896447,-0.14087890349017948,-0.03829306203193443,0.15062879751307048
