id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.11280928870702564,0.04738715207306101,0.10220835706417862,-0.11304996271439226,0.2692020879940343,-0.08396718866517525
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.05810151921495854,0.02062566276748916,0.04630405940239637,-0.0788152610441767,-0.16239959839357426,-0.03488955823293175
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.25906611106903815,0.03551919903479598,0.187672332568077,0.11296812132466727,-0.0634478489631693,0.05540080470442586
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,0.01671427243093299,-0.05465859531928446,0.01819955373021773,-0.6854535695115406,0.2705314009661836,-0.8588298443370906
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.11105847346177859,0.10266720693874089,0.11630436378476501,0.07126436781609197,0.20086206896551725,0.2130747126436782
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,-0.15019830062657388,-0.09774095809280722,-0.11026936139764233,-0.34338990152943644,0.6186884558977582,-0.13806830085899854
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.45576928321511984,0.1628946845934782,0.3793896858781096,0.037735849056603765,-0.06770255271920089,0.12134665186829446
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.3175172047014045,0.1299550893226799,0.2763489394769124,-0.010033444816053508,-0.007060572277963579,0.0265081134646352
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.20308256440049255,0.1367501385953803,0.1959945886923447,0.22925621987755632,0.029308323563892128,0.13911684251660805
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.25168910323252286,0.08180093860987829,0.1671667737563333,0.04248366013071895,0.31263616557734203,0.1077069716775599
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.22000722892417385,0.11767758824126952,0.19637947058093846,0.14285714285714285,0.2472431077694236,0.09724310776942355
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.36100189041765374,0.09567539472618497,0.26873722393402083,-0.035161090458488226,-0.11167905824039655,-0.1113692688971499
