id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_null_normal,39,False,12,,"(88, 4695)",F,1.4099493718898928e-05,0.0010300100610681285,-0.000393003181475643,0.046830723340790435,0.08008948545861297,0.002833706189410898
M42-12_v2_null_normal,42,False,12,,"(113, 4794)",F,0.001815199440318355,-0.0009502076738201664,0.00036883796182390167,-0.03940763052208836,-0.1618975903614458,-0.04769076305220883
M44-12_v2_null_normal,44,False,12,,"(93, 4987)",M,-0.0008522807388802906,-0.0017116554002225188,-0.0006506920426931101,0.04178272980501393,-0.019189105540080475,0.03652120086660478
M45-12_v2_null_normal,45,False,12,,"(81, 4877)",M,-0.0048671988487166695,0.0022973398404054586,-0.000845473741871414,0.11969940955448204,0.15458937198067632,0.14546430488459472
M46-12_v2_null_normal,46,False,12,,"(116, 4835)",M,0.0007533803401650309,0.0015993527090687571,0.0014171083294877323,-0.024281609195402294,-0.021120689655172425,0.08548850574712645
M251-6_v2_null_normal,251,False,6,,"(52, 4966)",F,0.0002225874390092124,8.688566956911514e-05,-8.40112493543892e-05,0.23507228158390953,0.11795516446679237,0.18541797611565053
M254-6_v2_null_normal,254,False,6,,"(51, 4955)",M,-0.0017756340920530066,-0.0007640130021793021,-0.0004073839232381893,0.07719817486743123,0.1326920705389074,0.08903687261067948
M308-8_v2_null_normal,308,False,8,2.0,"(88, 7378)",F,0.0004759127862761434,-0.0012316470941048238,-0.000997338697572792,0.14715719063545152,0.23126470952557907,0.07853338288120897
M308-10_v2_null_normal,308,False,10,2.0,"(111, 7328)",F,-0.00046346776099249137,8.741355576113892e-05,-0.00017438219943799772,0.05614172202683341,0.032825322391559206,-0.040640875341930435
M308-12_v2_null_normal,308,False,12,2.0,"(135, 7630)",F,0.0005668167907336595,-5.562580949179346e-05,1.9199377313086384e-05,0.21473311546840962,0.17660675381263619,0.11900871459694988
M308-14_v2_null_normal,308,False,14,2.0,"(107, 7269)",F,0.0012640497958026013,-0.0010863788182899283,-0.00018878359513870103,0.2423558897243108,0.20889724310776941,0.20037593984962407
M316-8_v2_null_normal,316,True,8,3.0,"(83, 7579)",F,4.305059218085079e-05,0.0005567385181628616,4.249447161222514e-05,-0.03128872366790582,-0.03113382899628255,-0.052199504337050805
M316-10_v2_null_normal,316,True,10,3.0,"(104, 7207)",F,-0.0003104131929740363,-0.000911518769120893,-0.00044319778297659496,0.03914745541539798,0.01522401043932145,0.0617659852109613
M316-12_v2_null_normal,316,True,12,3.0,"(94, 7392)",F,-0.001372533354610906,0.0016097717634995963,0.001408220875902004,0.07582192858266479,0.10036180588327828,0.01573069057731634
M322-6_v2_null_normal,322,True,6,3.0,"(140, 7572)",M,-0.0008974882230092639,0.0020155553706555983,0.00013980575757163285,-0.008101851851851855,0.006249999999999995,-0.0636574074074074
M322-8_v2_null_normal,322,True,8,3.0,"(83, 7594)",M,0.0008399188132173601,-0.0011855474433084313,-0.00015015526578217325,0.16530129255415982,0.160932095394138,0.14436555616238853
M322-10_v2_null_normal,322,True,10,3.0,"(45, 7308)",M,-0.0021781456568796356,-0.0015631358068247969,-0.001511817553649337,0.1956325573001263,0.12633098718642843,0.13300848222342537
M322-12_v2_null_normal,322,True,12,3.0,"(182, 7577)",M,-0.00047638649327402143,0.0016254758806380854,0.0010315424695538991,-0.0007469654528478051,-0.02035480859010271,-0.021288515406162452
M353-6_v2_null_normal,353,True,6,5.0,"(97, 7497)",M,1.4433099158495234e-05,-0.0002767757866512823,-0.0006166129136734921,0.14293659621802002,0.13644790507971818,0.09547645532072671
M353-8_v2_null_normal,353,True,8,5.0,"(109, 7400)",M,-0.002228936704778131,-0.00014730345218276825,-0.0004197686206524602,0.18748937616862146,0.14771375148733637,0.14550399456059834
M353-10_v2_null_normal,353,True,10,5.0,"(113, 7428)",M,-0.003016437448730614,-0.0004989708229705014,-0.0013365902370624091,-0.02283990519284637,-0.06658047834518423,-0.015513897866839054
M361-6_v2_null_normal,361,True,6,5.0,"(108, 7428)",F,-0.0003392282464418155,6.604177030523831e-05,4.189145214794346e-05,0.0856510308565103,0.07721046077210461,0.0754116507541165
M365-6_v2_null_normal,365,True,6,6.0,"(87, 7428)",F,0.0024683210718959734,0.0011187018408168226,0.0022295415209465084,-0.006580612503163757,0.024171095925082247,-0.041635029106555296
M367-6_v2_null_normal,367,True,6,6.0,"(162, 7529)",F,-0.0005538181151617747,0.0012379317496569058,-0.00022367802597683336,0.001687289088863898,0.008623922009748783,-0.07142857142857142
M374-6_v2_null_normal,374,True,6,6.0,"(72, 7417)",M,-0.0012687418114650378,-0.0030974189222204417,-0.002526126109124095,0.24191337719298248,0.2759046052631579,0.08511513157894737
M374-8_v2_null_normal,374,True,8,6.0,"(68, 7125)",M,0.0011966862565996946,0.0011696027527948057,0.00023988161787800376,0.18414779499404052,0.2487087802940008,0.11402463249900674
M374-10_v2_null_normal,374,True,10,6.0,"(68, 7649)",M,0.0001029892535525887,0.0022177253500208927,0.0009689492181284669,0.09303482587064676,0.08490878938640131,0.06616915422885572
M387-6_v2_null_normal,387,True,6,7.0,"(90, 7540)",M,-0.001996450515558676,-0.001804305905238553,-0.0013927025280256907,0.0065316786414108515,-0.010668408447637707,-0.06422817330720662
M387-10_v2_null_normal,387,True,10,7.0,"(117, 7462)",M,-0.0004465239763441904,0.0020522807477920233,0.0007783668814721374,0.2713253012048193,0.118714859437751,0.12417670682730925
M396-6_v2_null_normal,396,True,6,7.0,"(89, 7528)",F,-0.0034370604726546503,-0.0002845298885678088,-0.0015772058703884346,0.13642518618821933,0.10686075378018509,0.0625141051681336
M397-6_v2_null_normal,397,True,6,7.0,"(69, 7503)",F,-0.0020899584877340335,0.0014442308999839779,0.00031887554107175797,0.07567127746135068,0.0984540276647681,0.043260103064822315
M410-6_v2_null_normal,410,True,6,9.0,"(99, 7428)",M,0.0008602912999192636,0.00040902278888035935,0.0008749148108868379,-0.01697809925658026,0.07725537472372915,0.04872413100261202
M410-8_v2_null_normal,410,True,8,9.0,"(102, 7532)",M,-0.000431799491611592,-5.350920198797362e-05,-0.0004722813309602233,0.04902564102564101,0.06769230769230769,0.06000000000000001
M410-10_v2_null_normal,410,True,10,9.0,"(71, 7137)",M,0.0009656843671786968,0.0009283150251635635,0.0006561771355984623,0.0001124985937675739,0.09292383845201936,0.07244909438632016
M412-8_v2_null_normal,412,True,8,9.0,"(135, 7515)",F,8.391764369850614e-05,-0.0012226668112205442,-0.0003439919909607062,0.10739013706372758,0.15585700155433094,0.21647590787056661
M412-10_v2_null_normal,412,True,10,9.0,"(101, 7163)",F,0.0003839999096971383,-0.0013030152926754234,-0.0009820950739568653,0.24684614384185194,0.16035895435037065,0.18285862921056054
M415-6_v2_null_normal,415,True,6,9.0,"(131, 7585)",F,0.001175497688651908,0.001913302684363824,0.001317606541711086,0.3097534833869239,0.27277599142550907,0.19506966773847803
M415-8_v2_null_normal,415,True,8,9.0,"(62, 7420)",F,-0.00048706940342375184,-0.00012086135192255092,-0.0004062343371537461,0.07524366471734893,0.11033138401559454,0.040935672514619895
