id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,0.05935427283533346,0.03731224396691373,0.06398583931684937,-0.16614466815809098,0.3552572706935123,-0.04250559284116332
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,-0.04858263347917156,-0.003980008261694449,-0.013863832344861798,-0.050451807228915665,0.1430722891566265,0.19854417670682728
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.12599988418568378,0.026829942598269946,0.10469851912994416,-0.031569173630454986,0.12256267409470752,-0.09656453110492108
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,-0.00475099471745047,0.010741905988254112,0.012049317268336024,-0.522812667740204,0.10252281266774022,-0.2528180354267311
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.28195047174606974,0.08620904149551777,0.23161338969302922,0.6017241379310345,0.07356321839080458,0.39511494252873564
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,-0.16331743014051442,-0.10770927556288686,-0.11904606282227155,2.239262518332286,0.3316572386339828,1.8089252042740416
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.27458776928161976,0.22265785133560279,0.28442713453983587,0.24737945492662478,-0.011592058206930569,0.03933900604266865
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.17840076456578263,0.09487536861377908,0.1669968302482948,-0.02725133159915769,-0.11210206862380774,-0.010900532639663073
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.2296888055097339,0.11947738680027602,0.20993007792344304,0.02683339846294126,0.07073075420085971,0.14549954409274457
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.1681014207193659,0.08160411464319191,0.13751171724819578,0.3846677559912854,0.2697440087145969,-0.034722222222222224
M308-14_v2_trim_mvmt,308,False,14,2.0,"(107, 7269)",F,0.22624180117835546,0.11407722897508303,0.2010855372788161,0.2677944862155388,0.07656641604010025,0.17844611528822055
M316-8_v2_trim_mvmt,316,True,8,3.0,"(83, 7579)",F,0.5066097851768978,0.12257028354121172,0.39240462881334826,-0.13088599752168523,-0.03500619578686493,-0.24364931846344481
M316-10_v2_trim_mvmt,316,True,10,3.0,"(104, 7207)",F,0.015237005128791168,0.0819103156078222,0.04492749922550857,-0.31665941713788603,-0.2724372915760475,-0.3707409018413803
M316-12_v2_trim_mvmt,316,True,12,3.0,"(94, 7392)",F,0.4783291227499557,0.22930629699380123,0.4103541227555383,-0.05096743747050495,0.04058518168947617,-0.27214094698757274
M322-6_v2_trim_mvmt,322,True,6,3.0,"(140, 7572)",M,0.1303513166464587,0.058423415205310775,0.11865758685382644,0.6148148148148148,-0.22800925925925927,0.561574074074074
M322-8_v2_trim_mvmt,322,True,8,3.0,"(83, 7594)",M,0.24188578702800753,0.07209278796803173,0.18583409659276973,0.07591480065537957,0.12652466775896595,0.1358092117240124
M322-10_v2_trim_mvmt,322,True,10,3.0,"(45, 7308)",M,0.050526869735175825,0.03843613165373122,0.04728319010969643,-0.3750225591048547,0.2719725681284967,0.07561811947301929
M322-12_v2_trim_mvmt,322,True,12,3.0,"(182, 7577)",M,0.15964997206798134,0.2329554446732589,0.2405031838078553,0.017740429505135373,-0.0907563025210084,-0.10868347338935574
M353-6_v2_trim_mvmt,353,True,6,5.0,"(97, 7497)",M,0.35081930652278426,0.1754636480251685,0.3076110214167913,0.02335928809788654,0.0810159436410827,-0.07322951427512048
