id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,0.2882157350853344,-0.012816057704506495,0.20537606306033404,0.5370210314030538,0.27167963123019306,0.4802650532987611
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,-0.0435764448845665,-0.034391576449235225,-0.018448187136306266,-1.0934126459572595,0.1707424542850848,-0.7807887199823749
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.3790005715367849,0.08810762391018091,0.3110184585036153,0.26478327101509486,0.1591192355629414,0.29483451045561554
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,0.10374543464937519,0.1116126852056708,0.13654714029914464,-0.02389937106918241,0.14758909853249474,0.09056603773584902
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.45749990637146254,0.17408478604599123,0.42461313298962217,0.5034947261405515,0.022620409200660826,0.6187571483034693
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.10467692164657981,-0.10176893565338661,0.06488414742246283,0.24501607717041796,0.5121114683815648,0.28188638799571275
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,0.0229109126051313,0.1899502835423058,0.12750621390561778,0.07979840403191936,0.18297634047319056,-0.21951560968780623
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.3759681842419831,0.16483303461300447,0.3319107166483224,0.05448717948717948,0.11639676113360324,0.04082321187584345
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.3266588646417542,0.14517007691111813,0.2816455271213,-0.1953977121574887,0.04376163873370577,-0.21428571428571427
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.2625218901498746,0.0822224886069243,0.1883398211597067,-0.039609993906154786,0.24009750152346132,-0.05301645338208409
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.2767282979765439,0.13557918435016447,0.23854361063172227,0.11987381703470032,-0.03640904311251314,0.12684016824395372
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.5686154182185876,0.16714946253903692,0.46196126569715434,-0.41908797417272,-0.021993543179983862,-0.6043179983857949
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.1965321191527799,0.05480611793327849,0.16984799090071098,-0.8011996572407885,-0.18526135389888598,-1.0015424164524422
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.5476874850332024,0.20445417183945083,0.46642533445161316,-0.1659443842542434,-0.04460093896713615,-0.3972553268327916
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.544688690106656,0.02586464261418562,0.425525934918129,-0.11544795783926216,0.17786561264822134,-0.18231225296442685
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,0.40901731062899127,0.04929566232987926,0.3109578481411851,-0.19779565087876078,0.2750968126303247,-0.21403038427167115
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,0.34845094166005847,0.04159359629388544,0.22520479135518118,0.024326909935766028,0.5651223178898456,0.056033893672270074
M322-12_v2_mvmt,322,True,12,3.0,"(182, 7577)",M,0.37105184156606663,0.2304701477717678,0.36065072340576476,-0.07145692735212388,0.15826386132062986,-0.10983194389307925
M353-6_v2_mvmt,353,True,6,5.0,"(97, 7497)",M,0.412914924488157,0.13418505882177972,0.35489012380485585,-0.2531007751937984,0.01821705426356589,-0.37306201550387597
M353-8_v2_mvmt,353,True,8,5.0,"(109, 7400)",M,0.4289579852153132,0.1841061338142093,0.3583375754180486,-0.1274746499275712,0.13391276356027687,-0.1331079993561886
M353-10_v2_mvmt,353,True,10,5.0,"(113, 7428)",M,0.5646162727110641,0.15310980155562195,0.4611507483185648,-0.4841097869266883,0.13109425785482123,-0.5247381726254965
M361-6_v2_mvmt,361,True,6,5.0,"(108, 7428)",F,0.5346795491868147,0.06740628791968997,0.43560274282735784,-0.5459443716324449,0.31440221348478226,-0.6325906509392748
M365-6_v2_mvmt,365,True,6,6.0,"(87, 7428)",F,0.38846031062615555,0.22249609099623213,0.339348303352153,-0.2791666666666666,0.08115942028985508,-0.5403985507246376
M367-6_v2_mvmt,367,True,6,6.0,"(162, 7529)",F,0.45360955450018614,0.15863517205695166,0.41612738326249205,-1.614978396543447,-0.33525364058249324,-1.8306929108657384
M374-6_v2_mvmt,374,True,6,6.0,"(72, 7417)",M,0.12005990061237504,0.09069327997905717,0.1414810479946489,0.8281213805883715,0.6025017373175816,0.6495251331943479
M374-8_v2_mvmt,374,True,8,6.0,"(68, 7125)",M,0.30940573540335947,0.09512856390511196,0.23446444325605403,-0.046022878425113066,0.04948124501197126,-0.12769353551476453
M374-10_v2_mvmt,374,True,10,6.0,"(68, 7649)",M,0.2955158008405948,0.17501515530828848,0.24318608023848223,-0.21090321090321085,0.043428043428043434,-0.2506352506352506
M387-6_v2_mvmt,387,True,6,7.0,"(90, 7540)",M,0.46405604297320807,0.21167499741275508,0.4131565627904959,-0.4700269653598838,-0.13150798589504253,-0.5724953329184816
M387-10_v2_mvmt,387,True,10,7.0,"(117, 7462)",M,0.3470115051929622,0.2186298379555977,0.33565748490242936,0.02357255107386068,0.045049764274489264,-0.18421512135498513
M396-6_v2_mvmt,396,True,6,7.0,"(89, 7528)",F,0.3692271344881636,0.18150998818200859,0.3212783681042313,-0.45145631067961167,0.037756202804746494,-0.5285868392664509
M397-6_v2_mvmt,397,True,6,7.0,"(69, 7503)",F,0.5107502579107875,0.1610501100559297,0.44243015178830414,-0.35336672231496935,-0.21257651641624928,-0.4744017807456872
M410-6_v2_mvmt,410,True,6,9.0,"(99, 7428)",M,0.5567328874002138,0.1938669551619433,0.440244968056484,-0.38636028870231254,0.14081602592428927,-0.44704669318014434
M410-8_v2_mvmt,410,True,8,9.0,"(102, 7532)",M,0.43266222733743,0.13459918247649202,0.35276772409461377,-0.21547144754316067,-0.00879814077025232,-0.2647742363877822
M410-10_v2_mvmt,410,True,10,9.0,"(71, 7137)",M,0.48957616356521044,0.10775625119967375,0.37887809417224433,-0.33951475815175397,0.2806366867562973,-0.3189615206305053
M412-8_v2_mvmt,412,True,8,9.0,"(135, 7515)",F,0.13971693026692725,0.1709496784044701,0.1577825730895354,0.0850263355906697,0.003009781790820163,0.07750188111361926
M412-10_v2_mvmt,412,True,10,9.0,"(101, 7163)",F,0.4117302344276082,0.12393808395093005,0.3177536387158408,-0.20071982281284603,0.21733111849390915,-0.2159468438538206
M415-6_v2_mvmt,415,True,6,9.0,"(131, 7585)",F,0.40135720849010864,0.16340024705017503,0.32738701512243706,-0.2817564035546262,0.30963582505663,-0.3319393622582331
M415-8_v2_mvmt,415,True,8,9.0,"(62, 7420)",F,0.3048555204501399,0.09035016947605916,0.24387643226681802,-0.19772012578616355,0.4123427672955975,-0.10521488469601678
