id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_no_mvmt,39,False,12,,"(88, 4695)",F,0.029476564882035754,-0.0014687380091082094,0.027256116662279298,-0.3220973782771535,0.22443099971189856,-0.3425525785076347
M42-12_v2_no_mvmt,42,False,12,,"(113, 4794)",F,0.010302460911955327,0.010477339035076774,0.022735257928335747,-0.32099581405595945,-0.0405375633399427,-0.360652126018947
M44-12_v2_no_mvmt,44,False,12,,"(93, 4987)",M,0.2715055630781829,0.03502220879896366,0.192346738951135,0.23043899736878548,0.14651710289433595,0.13211466555878687
M45-12_v2_no_mvmt,45,False,12,,"(81, 4877)",M,-0.14143445052980455,0.0029405982098732668,-0.07179213209892897,-1.2379454926624736,0.3079664570230608,-1.1251572327044026
M46-12_v2_no_mvmt,46,False,12,,"(116, 4835)",M,0.31846963994068306,0.11125222371325907,0.28810418088017165,0.10649383657389756,0.12987673147795145,0.23802262040920066
M251-6_v2_no_mvmt,251,False,6,,"(52, 4966)",F,-0.1717318819613575,-0.07903520509314606,-0.10715596026572823,-1.7035369774919613,0.5530546623794212,-1.342336548767417
M254-6_v2_no_mvmt,254,False,6,,"(51, 4955)",M,0.22225432186795452,0.13063376138328323,0.20017556475948012,-0.12011759764804704,0.21895562088758228,-0.05221895562088758
M308-8_v2_no_mvmt,308,False,8,2.0,"(88, 7378)",F,0.3345813934949108,0.15593439588579547,0.29663468577220403,0.0465587044534413,0.08333333333333334,0.04875168690958165
M308-10_v2_no_mvmt,308,False,10,2.0,"(111, 7328)",F,0.20552084272118115,0.14465838347859328,0.2023444066689916,0.18435754189944137,-0.042431497738760315,0.027134876296887475
M308-12_v2_no_mvmt,308,False,12,2.0,"(135, 7630)",F,0.2525608034473832,0.0969672631468732,0.17803270008988425,0.03366849482023156,0.17169408897014016,0.11852528945764777
M308-14_v2_no_mvmt,308,False,14,2.0,"(107, 7269)",F,0.19734020935797086,0.12701822035972352,0.1853954588029507,0.13656677181913773,0.08740799158780233,0.056125131440588845
M316-8_v2_no_mvmt,316,True,8,3.0,"(83, 7579)",F,0.38018579580368334,0.0819549144842819,0.2838849897013006,-0.045601291364003226,0.04015334947538336,-0.10916061339790152
