id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_null_shuffle,39,False,12,,"(88, 4695)",F,0.0018309585984076628,0.0026229184246300474,0.0008567139734680163,-0.04465571881302217,-0.09795447997695188,-0.022471910112359564
M42-12_v2_null_shuffle,42,False,12,,"(113, 4794)",F,-0.000149229253903113,-0.0013819107391294019,-0.0003365714301833162,-0.05243445692883894,-0.0980392156862745,-0.03216567525886759
M44-12_v2_null_shuffle,44,False,12,,"(93, 4987)",M,0.00021156502956595029,0.0017802757063387267,-9.774798554523113e-05,0.09181553801412544,0.10663343027281538,0.12034344273646308
M45-12_v2_null_shuffle,45,False,12,,"(81, 4877)",M,-0.002984631415414068,0.002156924762077619,-0.0012425490551164113,0.06855345911949687,0.039622641509433947,0.03270440251572327
M46-12_v2_null_shuffle,46,False,12,,"(116, 4835)",M,-0.00023518351588937094,-0.0007864368436415357,-0.0008583618151644714,0.030753590036853472,-0.029864023382894903,-0.04320752319227347
M251-6_v2_null_shuffle,251,False,6,,"(52, 4966)",F,-0.0010994749889469213,0.00013772705724372466,-0.0009576354957890708,0.1365487674169346,0.18799571275455523,0.15755627009646303
M254-6_v2_null_shuffle,254,False,6,,"(51, 4955)",M,-0.000976817476831422,0.0008291215196963675,0.00025553779327348,0.18717625647487052,0.1359372812543749,0.09603807923841523
M308-8_v2_null_shuffle,308,False,8,2.0,"(88, 7378)",F,0.002673728302910758,0.00015396585088717926,0.0016349941044851524,0.1862348178137652,0.08215249662618082,0.06089743589743589
M308-10_v2_null_shuffle,308,False,10,2.0,"(111, 7328)",F,-0.00018473463798215616,0.00033623342463919085,-0.0003451439581492279,0.04229848363926577,-0.008645916467145513,0.035647778664538436
M308-12_v2_null_shuffle,308,False,12,2.0,"(135, 7630)",F,0.0019949939816222167,-0.0004827265279457674,0.0007527044703600917,0.23308957952468007,0.23522242535039614,0.09993906154783669
M308-14_v2_null_shuffle,308,False,14,2.0,"(107, 7269)",F,9.947467521436079e-05,0.0013725279707195348,0.000363062029056489,0.13341219768664564,0.1449789695057834,0.157465825446898
M316-8_v2_null_shuffle,316,True,8,3.0,"(83, 7579)",F,0.0009656095023811666,0.001630971102302591,0.001283573132879458,0.04862792574656981,0.11743341404358351,0.017352703793381764
M316-10_v2_null_shuffle,316,True,10,3.0,"(104, 7207)",F,-0.0015914395086561457,0.0002288285358486366,-0.0008196629932205682,-0.04147386461011139,0.04987146529562982,0.037017994858611826
M316-12_v2_null_shuffle,316,True,12,3.0,"(94, 7392)",F,0.001693291936328422,0.0012797043820665696,0.00018924113187278246,0.07963163596966413,0.03683640303358613,0.04929577464788734
M322-6_v2_null_shuffle,322,True,6,3.0,"(140, 7572)",M,-0.0010223090215792723,0.0028489531903557663,-0.00045492399387596816,0.08563899868247694,0.10227272727272728,0.031291172595520424
M322-8_v2_null_shuffle,322,True,8,3.0,"(83, 7594)",M,0.0003649548324280091,0.002126851557141634,0.0009995713108896776,0.17202859696157283,0.182007745010426,0.12034554661900505
M322-10_v2_null_shuffle,322,True,10,3.0,"(45, 7308)",M,-0.001214716298555411,0.0017775964497084072,2.519209588736517e-05,0.30955309553095534,0.22372557058903922,0.14937816044827115
M322-12_v2_null_shuffle,322,True,12,3.0,"(182, 7577)",M,-0.0007720319155263419,-0.0010906044830297724,-0.0005681196800927515,0.035860791319306605,-0.007410348021701738,-0.06378192404393279
M353-6_v2_null_shuffle,353,True,6,5.0,"(97, 7497)",M,0.0029604462651550536,0.0006237722054760496,0.0008103637296479964,0.06550387596899225,0.17751937984496127,0.09941860465116278
M353-8_v2_null_shuffle,353,True,8,5.0,"(109, 7400)",M,0.0009794660908828536,0.0020969903043249315,0.0004310324374789732,0.175921455013681,0.15467568002575244,0.19394817318525673
M353-10_v2_null_shuffle,353,True,10,5.0,"(113, 7428)",M,0.002669986565131374,0.0009635957180340113,0.0006127392249253085,0.08721560130010836,0.047851209823040815,0.03773925604911522
M361-6_v2_null_shuffle,361,True,6,5.0,"(108, 7428)",F,0.0018904938396630043,0.002037715537249566,0.00026643000620730573,0.04601718363186254,0.07455948740352408,0.08824814329401488
M365-6_v2_null_shuffle,365,True,6,6.0,"(87, 7428)",F,-0.00112279158121081,-0.003804096195480181,-0.0020404582522484814,-0.011956521739130426,0.022101449275362325,-0.02681159420289854
M367-6_v2_null_shuffle,367,True,6,6.0,"(162, 7529)",F,0.003143493587552298,0.0005116612483482289,0.0021863996124662213,0.011201792286765886,0.056008961433829406,0.04432709233477357
M374-6_v2_null_shuffle,374,True,6,6.0,"(72, 7417)",M,0.0008131353561654649,0.0008146520108339868,0.0005379071771293816,0.18554551772063932,0.2902478573083159,0.1535788742182071
M374-8_v2_null_shuffle,374,True,8,6.0,"(68, 7125)",M,-2.8092144977581682e-05,0.001290727931625826,-0.00016219845239437268,0.2428837456770418,0.17557861133280128,0.2021814312317106
M374-10_v2_null_shuffle,374,True,10,6.0,"(68, 7649)",M,-0.0003253808615752932,0.001685856594104343,0.0001376030393214325,0.20628320628320634,0.22106722106722107,0.15592515592515593
M387-6_v2_null_shuffle,387,True,6,7.0,"(90, 7540)",M,-0.0017204550968115918,-0.0010088038647295624,-0.002932636601137882,0.0056004978220286225,0.039825762289981324,-0.010786143953536612
M387-10_v2_null_shuffle,387,True,10,7.0,"(117, 7462)",M,-0.0018093717737325142,-0.0004634208220074269,-0.0001508497998980872,0.19504103370001746,0.24078924393225076,0.1648332460275886
M396-6_v2_null_shuffle,396,True,6,7.0,"(89, 7528)",F,-0.0006890137824459892,-0.005380964173162762,-0.003078845362957149,-0.05016181229773462,0.192017259978425,0.1704422869471413
