id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_segment_0/2,nvc_segment_1/2,nvc_whole,lag_segment_0/2,lag_segment_1/2,lag_whole
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,0.03087975319263828,-0.012202874672744439,0.022179828870790827,-0.40132526649380573,0.345145491212907,-0.4903486027081532
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,-0.07861272425678972,-0.032822612574514395,-0.036635118540699486,-0.3661599471249174,0.2026878166997136,-0.04979070279797313
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.16310737557137425,0.014603683205363212,0.11451872274964306,0.13197618058440658,0.25259659326963024,0.15524165628029357
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,0.07834252823127402,0.07372840223361993,0.09806599358701532,-0.4127882599580713,-0.12599580712788258,-0.2270440251572327
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.39330048202000756,0.10162761561174723,0.3353860726727256,0.4489769983479477,-0.06849663235481002,0.4531706697166094
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,-0.14774132465001316,-0.1011934691183961,-0.10498510640159253,2.218863879957128,0.4030010718113612,1.8979635584137193
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.08439173885993655,0.15597523542361702,0.12895263934990706,0.2202155956880862,0.122917541649167,0.04605907881842364
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.18389507269766828,0.1291513618946812,0.1836806812780317,0.0011808367071524943,0.024797570850202438,-0.024966261808367075
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.221323812636004,0.1335675424907191,0.20893194113685992,0.02380952380952381,0.018089917531258316,0.050944400106411276
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.21530896473506309,0.09575286738296748,0.16576913949822505,0.0763254113345521,0.1983546617915905,-0.02620353443022547
M308-14_v2_trim_mvmt,308,False,14,2.0,"(107, 7269)",F,0.24762463073189056,0.13185619161719458,0.2189627282336841,0.1805993690851735,0.019847528916929567,0.22384332281808622
M316-8_v2_trim_mvmt,316,True,8,3.0,"(83, 7579)",F,0.5250980655129973,0.13954646378774982,0.41987417888395084,-0.21045197740112992,-0.08979015334947538,-0.31759483454398707
M316-10_v2_trim_mvmt,316,True,10,3.0,"(104, 7207)",F,0.0332015216560009,0.046440808063873136,0.045128905968507514,-0.05672664952870606,-0.09991431019708653,-0.34635818337617824
M316-12_v2_trim_mvmt,316,True,12,3.0,"(94, 7392)",F,0.4287787902593679,0.20618614787184214,0.37177110028375127,-0.059768869628024544,0.005236547490068623,-0.21054532322137953
M322-6_v2_trim_mvmt,322,True,6,3.0,"(140, 7572)",M,0.17657061310985292,0.010581704357878583,0.12840057438828759,0.6959815546772068,-0.01613965744400525,0.6500329380764163
M322-8_v2_trim_mvmt,322,True,8,3.0,"(83, 7594)",M,0.24863878839417303,0.05379636232269341,0.19166642315854548,0.09249329758713137,0.15102770330652365,0.10172773309502534
M322-10_v2_trim_mvmt,322,True,10,3.0,"(45, 7308)",M,0.048715242182643406,0.0005863201995295887,0.02621237745629617,0.30955309553095534,0.2562525625256253,0.7805111384447178
M322-12_v2_trim_mvmt,322,True,12,3.0,"(182, 7577)",M,0.18329154935315148,0.18877039842111867,0.23107676295645782,-0.3027656477438137,0.1744078337964801,0.08601296810903797
M353-6_v2_trim_mvmt,353,True,6,5.0,"(97, 7497)",M,0.22034495996890957,0.12186949763391113,0.20627283525914844,0.21027131782945735,0.09670542635658913,0.012403100775193809
M353-8_v2_trim_mvmt,353,True,8,5.0,"(109, 7400)",M,0.26339979994838997,0.154749354260759,0.23868069125628158,0.09367455335586673,0.14711089650732337,0.08063737324963785
M353-10_v2_trim_mvmt,353,True,10,5.0,"(113, 7428)",M,0.2772438722787878,0.1582268974163417,0.23516290522685693,0.09227157818707114,0.15926327193932827,0.13434452871072589
M361-6_v2_trim_mvmt,361,True,6,5.0,"(108, 7428)",F,0.3537251055857408,0.028733247933747524,0.25971720951534066,-0.034512887723896886,0.474151740206786,-0.054026503567787945
M365-6_v2_trim_mvmt,365,True,6,6.0,"(87, 7428)",F,0.4277051339748102,0.20727471088949856,0.3572316988637749,-0.08134057971014494,-0.0007246376811594177,-0.12898550724637678
M367-6_v2_trim_mvmt,367,True,6,6.0,"(162, 7529)",F,0.33800509999785366,0.14732235132782598,0.3026049169107865,-1.1004960793726994,-0.17586813890222433,-1.248039686349816
M374-6_v2_trim_mvmt,374,True,6,6.0,"(72, 7417)",M,0.032856927447770634,0.06452555028025607,0.06718249671231086,0.23210562890896455,0.1220755154042159,0.592077831827658
M374-8_v2_trim_mvmt,374,True,8,6.0,"(68, 7125)",M,0.22569305550729002,0.153415840214548,0.179638760660866,0.023144453312051082,0.10508113860069167,0.05240755520085128
M374-10_v2_trim_mvmt,374,True,10,6.0,"(68, 7649)",M,0.2161312387488963,0.20416436322121667,0.2110754666501531,-0.28020328020328017,-0.035805035805035815,-0.10210210210210206
M387-6_v2_trim_mvmt,387,True,6,7.0,"(90, 7540)",M,0.2903202391822642,0.16449588237110965,0.2683263013394485,0.0437668533499274,-0.1449906658369633,-0.1613773076125285
M387-10_v2_trim_mvmt,387,True,10,7.0,"(117, 7462)",M,0.20178484383373177,0.1592680775810964,0.21693003092383478,0.09429020429544263,0.10878295791863106,0.1639601885804086
