id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_whole,nvc_segment_0/2,nvc_segment_1/2,lag_whole,lag_segment_0/2,lag_segment_1/2
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,0.36406018374249294,0.444775897478923,-0.07768901697135719,1.125,1.0,1.4583333333333335
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,-0.16056612157609768,-0.23633770951375915,-0.009796653354539917,-1.1,-1.8666666666666665,0.19999999999999982
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.44532649634512966,0.502765416102259,0.2333058145678276,0.5333333333333333,0.4,-0.5666666666666667
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,0.03471649121525314,0.04566508174938203,-0.08815691175574072,-0.5833333333333333,-0.625,0.8333333333333334
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.5515863193281689,0.5919392406322626,0.2803969602443182,0.7666666666666667,0.7333333333333333,-1.3333333333333335
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.06920608664280536,0.11822420547816023,-0.19651080085474457,0.9333333333333332,0.3,3.0
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,0.04659424681974635,0.018884645130847144,0.062342860362936695,-0.10000000000000009,0.2666666666666666,0.4999999999999999
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.5388840917796014,0.6082526865897754,0.10420311213991951,-0.23333333333333334,-0.16666666666666666,-0.5000000000000001
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.19844686737292053,0.2274403053912141,0.04552091994352532,0.2,0.5666666666666668,-0.2333333333333333
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.058193461444134106,0.14584468868522465,-0.07628157925502262,0.9666666666666668,0.20000000000000004,0.16666666666666666
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.003685277910798185,0.041737415701603865,-0.04863244694332129,0.4666666666666667,0.9,0.8666666666666668
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.5685042817773917,0.7127390553002304,0.32233244408445244,-0.9583333333333333,-0.7916666666666666,-0.4583333333333333
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.45238850419468546,0.4872872962799993,-0.132220185694384,-1.8,-1.4666666666666666,-0.03333333333333332
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.613004461165645,0.6879539377527611,0.35491258425540095,-0.5833333333333333,-0.41666666666666663,0.16666666666666669
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.4312830854382244,0.5687657206657212,-0.10415708358921441,-0.09999999999999995,-0.3666666666666667,0.6333333333333334
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,0.4490169419307636,0.5791663004679546,0.025927865344689063,-0.4583333333333333,-0.375,-0.5833333333333333
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,0.2992825061938619,0.44824407703978997,-0.023028360912602738,-0.08333333333333331,-0.25,1.0833333333333333
M322-12_v2_mvmt,322,True,12,3.0,"(182, 7577)",M,0.29417366581704024,0.31956448350889144,0.2106011507266047,-0.3666666666666666,-0.29999999999999993,-0.7333333333333334
M353-6_v2_mvmt,353,True,6,5.0,"(97, 7497)",M,0.4818295858412439,0.5405534169544475,0.17571361333014962,-0.5833333333333333,-0.3333333333333333,-0.12499999999999997
M353-8_v2_mvmt,353,True,8,5.0,"(109, 7400)",M,0.48182448665146976,0.5744664950094578,0.3392362138312735,-0.6666666666666666,-0.75,-0.29166666666666663
M353-10_v2_mvmt,353,True,10,5.0,"(113, 7428)",M,0.4365417501366869,0.5469141283376115,0.0819421690741017,-0.9333333333333332,-1.5,-0.4
M361-6_v2_mvmt,361,True,6,5.0,"(108, 7428)",F,0.5312745202437892,0.618571485954802,0.10796503545092026,-0.7916666666666666,-0.5416666666666666,0.2916666666666667
M365-6_v2_mvmt,365,True,6,6.0,"(87, 7428)",F,0.2589322606029118,0.34753117847902126,0.0918889762369072,-0.20833333333333331,-0.16666666666666657,0.625
M367-6_v2_mvmt,367,True,6,6.0,"(162, 7529)",F,0.5629992124995085,0.5884417843684508,0.35771288522455585,-2.041666666666667,-1.7916666666666665,-0.6666666666666666
M374-6_v2_mvmt,374,True,6,6.0,"(72, 7417)",M,0.3200815479199839,0.34368155498347935,0.0987889830431361,-0.4333333333333333,-0.2333333333333333,-0.06666666666666665
M374-8_v2_mvmt,374,True,8,6.0,"(68, 7125)",M,0.441514948516699,0.5813238734503705,0.012781871093004608,0.0,-0.29999999999999993,0.10000000000000005
M374-10_v2_mvmt,374,True,10,6.0,"(68, 7649)",M,0.3055175898660095,0.4348178584945912,0.18820828317296295,-0.2333333333333333,-0.5,0.3
M387-6_v2_mvmt,387,True,6,7.0,"(90, 7540)",M,0.5234162599302774,0.6184334628022398,0.25579883234008194,-1.0666666666666667,-0.9666666666666668,-0.33333333333333337
M387-10_v2_mvmt,387,True,10,7.0,"(117, 7462)",M,0.14553526358267888,0.13957233723600515,0.2416645946071715,1.0833333333333335,1.25,-0.7083333333333333
M396-6_v2_mvmt,396,True,6,7.0,"(89, 7528)",F,0.33097034849143875,0.3635367964181592,0.24827891526647933,-0.8333333333333333,-0.6666666666666667,-0.75
M397-6_v2_mvmt,397,True,6,7.0,"(69, 7503)",F,0.498167836056649,0.5942940374918659,0.11289885197246377,-0.4666666666666666,-0.6,-0.5333333333333333
M410-6_v2_mvmt,410,True,6,9.0,"(99, 7428)",M,0.49798866108475753,0.6076313121315974,0.24670568672471693,-1.0416666666666665,-1.125,-0.25
M410-8_v2_mvmt,410,True,8,9.0,"(102, 7532)",M,0.4365746393257381,0.522573718257989,0.1455180498550936,-0.8,-0.9333333333333332,0.8333333333333333
M410-10_v2_mvmt,410,True,10,9.0,"(71, 7137)",M,0.3448302598608996,0.4541228164046605,0.08095793092526288,-0.2333333333333333,-0.6666666666666666,0.9
M412-8_v2_mvmt,412,True,8,9.0,"(135, 7515)",F,0.09868803079104163,0.1229681624208819,0.20599630145299402,0.0,-0.8333333333333333,0.13333333333333336
M412-10_v2_mvmt,412,True,10,9.0,"(101, 7163)",F,0.38704070240841537,0.5073728256046298,0.004015526985310908,-0.4999999999999999,-0.4333333333333333,1.1666666666666665
M415-6_v2_mvmt,415,True,6,9.0,"(131, 7585)",F,0.36788630458149657,0.4886001580290391,0.11076719800072128,-1.0,-0.9583333333333333,0.7916666666666666
M415-8_v2_mvmt,415,True,8,9.0,"(62, 7420)",F,0.3020338235038111,0.3610482943256116,0.016985891816605758,5.551115123125783e-17,-0.37499999999999994,0.25
