id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_whole,nvc_segment_0/2,nvc_segment_1/2,lag_whole,lag_segment_0/2,lag_segment_1/2
M39-12_v2_mvmt,39,False,12,,"(88, 4695)",F,0.17528038931064105,0.22830674296779188,0.01413313488165472,0.03298739106599368,0.10037051740108507,0.06811092837293711
M42-12_v2_mvmt,42,False,12,,"(113, 4794)",F,-0.05230011644678185,-0.09906162547647777,0.010625629780187322,-0.4699045967042499,-0.7073431627638046,0.08647007805724197
M44-12_v2_mvmt,44,False,12,,"(93, 4987)",M,0.2060235871796506,0.22619930027391497,0.10082498817331291,-0.01515374574291632,-0.07986141781742878,0.07262805602174917
M45-12_v2_mvmt,45,False,12,,"(81, 4877)",M,-0.02116910200566786,-0.04952195991387988,-0.016845031078692556,-0.810696802416415,-0.8195326875672673,0.11108217893969376
M46-12_v2_mvmt,46,False,12,,"(116, 4835)",M,0.3332418874238361,0.33220728582416886,0.19686206746378318,0.6458200695430726,0.4157075926016618,-0.07563217264965638
M251-6_v2_mvmt,251,False,6,,"(52, 4966)",F,0.01711839235255658,0.04687448024857766,-0.05947428615757382,0.2195627177853262,0.15898219097523936,0.5896551421474402
M254-6_v2_mvmt,254,False,6,,"(51, 4955)",M,0.10278763931304405,0.07106858071445712,0.11556090726945685,-0.3188727791902395,-0.174732968383762,0.14565152660390757
M308-8_v2_mvmt,308,False,8,2.0,"(88, 7378)",F,0.2775942056310526,0.3169577109733186,0.12375595540322301,-0.017863626461404398,-0.01670176457773582,0.0321287084775575
M308-10_v2_mvmt,308,False,10,2.0,"(111, 7328)",F,0.18401455069869893,0.1930795350141427,0.13525455728529096,-0.15365465621419327,-0.05637576147257873,0.19557995565117753
M308-12_v2_mvmt,308,False,12,2.0,"(135, 7630)",F,0.11816607683436983,0.14225704009410212,0.05712967206659329,0.05905932188555728,0.061509916154667506,0.21962575924661729
M308-14_v2_mvmt,308,False,14,2.0,"(107, 7269)",F,0.14182030866166484,0.13502869610862991,0.14138020826518422,0.028915185423577752,0.05253255433975343,0.06404416497499628
M316-8_v2_mvmt,316,True,8,3.0,"(83, 7579)",F,0.4290992093703569,0.5295094057857904,0.17122201314979,-0.6308625702293145,-0.5330510138261771,-0.11453571528732084
M316-10_v2_mvmt,316,True,10,3.0,"(104, 7207)",F,0.2931182005585667,0.3252413488602753,0.11589451382178835,-0.7132984100726036,-0.6531936402904146,-0.04387464387464387
M316-12_v2_mvmt,316,True,12,3.0,"(94, 7392)",F,0.41423728499979146,0.47959128945679497,0.20112988270361654,-0.33508211055551,-0.17728229089816105,0.008306691805339233
M322-6_v2_mvmt,322,True,6,3.0,"(140, 7572)",M,0.350089722296894,0.4391935812064189,0.03682244686905496,-0.15619712883394474,-0.1852940683786455,-0.055170276563311395
M322-8_v2_mvmt,322,True,8,3.0,"(83, 7594)",M,0.3479880203651617,0.4347166994371873,0.0620225203564984,-0.32392718294547934,-0.3429974388738416,0.14099091629355295
M322-10_v2_mvmt,322,True,10,3.0,"(45, 7308)",M,0.2714031581429487,0.3653095717924512,0.044759837784599556,-0.07343150379294955,-0.06562248995983935,0.28930834448906734
M322-12_v2_mvmt,322,True,12,3.0,"(182, 7577)",M,0.28734040968322655,0.28863520751759136,0.16958393113780165,-0.11340531666350949,-0.20293345601169052,0.030633507428354932
M353-6_v2_mvmt,353,True,6,5.0,"(97, 7497)",M,0.31846577710590085,0.3589416822036419,0.13822688970314193,-0.26622596153846156,-0.1732071314102564,-0.040594951923076925
M353-8_v2_mvmt,353,True,8,5.0,"(109, 7400)",M,0.3171077036423836,0.36814200380100154,0.17351807207203274,-0.22467518167804446,-0.26728694120237834,0.20083682008368203
M353-10_v2_mvmt,353,True,10,5.0,"(113, 7428)",M,0.32859206816467,0.37138713660731965,0.1207025626217198,-0.280281282098554,-0.2742851624570922,0.01440648950459586
M361-6_v2_mvmt,361,True,6,5.0,"(108, 7428)",F,0.3802551353240114,0.44749969114752697,0.1289210418061512,-0.40674331966444205,-0.374143460820312,0.08039630850598126
M365-6_v2_mvmt,365,True,6,6.0,"(87, 7428)",F,0.24747136960431962,0.30379329737429056,0.1362913605504673,-0.19588817786102,-0.15823838509963062,0.051922376567296195
M367-6_v2_mvmt,367,True,6,6.0,"(162, 7529)",F,0.36256621086443136,0.3901595923655923,0.19333307533100766,-1.142769058835997,-1.0100580941645712,-0.16943649623784884
M374-6_v2_mvmt,374,True,6,6.0,"(72, 7417)",M,0.3262270748330005,0.3673250046594579,0.142894820820203,-0.26885554273010986,-0.2510538241203882,0.13136676499508357
M374-8_v2_mvmt,374,True,8,6.0,"(68, 7125)",M,0.37669828817880324,0.44329745718581015,0.1057171495592258,-0.3190916498388068,-0.2729478867750735,0.07465370035781342
M374-10_v2_mvmt,374,True,10,6.0,"(68, 7649)",M,0.25911941871162164,0.2930847871920892,0.1427630391063329,-0.025867961863644522,-0.0032829645619715676,0.039782334952329565
M387-6_v2_mvmt,387,True,6,7.0,"(90, 7540)",M,0.3351630745255191,0.38968281637563845,0.13737749128980897,-0.6615240194277785,-0.7275519366556465,0.10428145789967755
M387-10_v2_mvmt,387,True,10,7.0,"(117, 7462)",M,0.2075310491856736,0.1859095985480409,0.16777598811471886,0.11004869411243913,0.3324086370567114,0.12132211893168066
M396-6_v2_mvmt,396,True,6,7.0,"(89, 7528)",F,0.25997430263999266,0.282226354839645,0.15501670078305482,-0.44581176816062845,-0.28578901002092283,0.007708402158352609
M397-6_v2_mvmt,397,True,6,7.0,"(69, 7503)",F,0.36193198898480716,0.4367838648434072,0.10601120102088642,-0.5286230233068367,-0.4789799672590418,-0.1261117580544445
M410-6_v2_mvmt,410,True,6,9.0,"(99, 7428)",M,0.32608182770129307,0.3955757557764244,0.14152858235886528,-0.31420230031047136,-0.290378916172735,0.018619460908834318
M410-8_v2_mvmt,410,True,8,9.0,"(102, 7532)",M,0.3188763081599506,0.3824792129795529,0.11434727785774997,-0.217112611915932,-0.2195786289976113,0.08749634823254455
M410-10_v2_mvmt,410,True,10,9.0,"(71, 7137)",M,0.29031006223312633,0.344933547573494,0.13011638016075516,-0.1823011575084054,-0.2370454020480969,0.0551121149124383
M412-8_v2_mvmt,412,True,8,9.0,"(135, 7515)",F,0.1439493418216536,0.12330840009579673,0.16089810284883582,-0.038787610129107336,-0.26838255665761623,-0.09297020742136274
M412-10_v2_mvmt,412,True,10,9.0,"(101, 7163)",F,0.28482591523931367,0.3773265000978177,0.05069883326281347,-0.2588258904420362,-0.3123309425335497,0.4359544875486449
M415-6_v2_mvmt,415,True,6,9.0,"(131, 7585)",F,0.27099288121873966,0.3297306914258185,0.13613498008697203,-0.48432376702836083,-0.529341175675219,0.27574958591082716
