id,number,GCaMP,age,cohort,monitoring_frame_range,sex,nvc_whole,nvc_segment_0/2,nvc_segment_1/2,lag_whole,lag_segment_0/2,lag_segment_1/2
M39-12_v2_trim_mvmt,39,False,12,,"(88, 4695)",F,0.046101231360320856,0.04136306417948746,0.03211196244470683,-0.23637497873305732,-0.2836821111930282,0.06403712735590465
M42-12_v2_trim_mvmt,42,False,12,,"(113, 4794)",F,-0.012182849574168951,-0.05677948442545041,0.023822426612167855,-0.08375252963284187,-0.1485496771706659,0.13687963766021005
M44-12_v2_trim_mvmt,44,False,12,,"(93, 4987)",M,0.12402245261166092,0.13698411797525173,0.06854933042151205,0.04671750630588189,0.083954106920276,0.1396225304007302
M45-12_v2_trim_mvmt,45,False,12,,"(81, 4877)",M,-0.01090581168893663,-0.041227720870898224,-0.014611772124724642,-0.698954969968406,-0.812710481547061,-0.06565288338020346
M46-12_v2_trim_mvmt,46,False,12,,"(116, 4835)",M,0.3102924532608514,0.3500729666018951,0.14204081323138312,0.34712767520446636,0.36851298627095674,0.014594250453009447
M251-6_v2_trim_mvmt,251,False,6,,"(52, 4966)",F,-0.058060790414545135,-0.09811839299703544,-0.039854211772701854,1.1475103352028857,1.5390543399074879,0.12884114069041785
M254-6_v2_trim_mvmt,254,False,6,,"(51, 4955)",M,0.1463406234580557,0.13468828843875438,0.12272955174852976,-0.05444467349229254,-0.19643143452667258,0.10950014124617298
M308-8_v2_trim_mvmt,308,False,8,2.0,"(88, 7378)",F,0.1622566144842285,0.1682027542397993,0.09458653098138925,-0.11699303689718327,-0.11128861778778268,-0.00855259442144926
M308-10_v2_trim_mvmt,308,False,10,2.0,"(111, 7328)",F,0.15725311525930086,0.13199202135155838,0.13447057542052612,0.19401373329706292,0.26024020904946793,0.13687959047407078
M308-12_v2_trim_mvmt,308,False,12,2.0,"(135, 7630)",F,0.11391623986709874,0.11799328416350727,0.07887254216523507,0.021757776260743225,0.21016471494337377,0.25219240665861464
M308-14_v2_trim_mvmt,308,False,14,2.0,"(107, 7269)",F,0.1580620751591116,0.1518576376150848,0.14373156618190827,0.15621131851265038,0.2310326616164117,0.0787328151045535
M316-8_v2_trim_mvmt,316,True,8,3.0,"(83, 7579)",F,0.39568532692428926,0.49648785675436896,0.14281962134238366,-0.3758495293116826,-0.29322900599227825,-0.12680072169092557
M316-10_v2_trim_mvmt,316,True,10,3.0,"(104, 7207)",F,0.1815027618325285,0.18621512113590138,0.11508314993869583,-0.3716570168183071,-0.254948993658671,-0.01315136476426799
M316-12_v2_trim_mvmt,316,True,12,3.0,"(94, 7392)",F,0.32081582189627256,0.3691350947641468,0.18755747830003008,-0.16171635197784878,-0.03815431137342769,0.06331120037161515
M322-6_v2_trim_mvmt,322,True,6,3.0,"(140, 7572)",M,0.005490590614948483,0.008117173611645526,-0.0031632027199786027,0.8537949980736049,0.6790458482000771,0.03874566561133727
M322-8_v2_trim_mvmt,322,True,8,3.0,"(83, 7594)",M,0.21852060967720743,0.2795926196474915,0.04199214836614406,-0.029950435759954295,-0.030484771433309375,0.24895436036334825
M322-10_v2_trim_mvmt,322,True,10,3.0,"(45, 7308)",M,0.07835419617327474,0.11228655025183573,0.028607359314898165,0.2572958500669344,-0.05149486836233824,0.2753324408746095
M322-12_v2_trim_mvmt,322,True,12,3.0,"(182, 7577)",M,0.17060778089594422,0.14520045820261335,0.11811393627832656,-0.07767524513120269,-0.1408545990853246,0.06394609368657483
M353-6_v2_trim_mvmt,353,True,6,5.0,"(97, 7497)",M,0.18657880280016434,0.2112227988632866,0.10892125106806631,0.08171073717948718,0.13004807692307693,0.05639022435897436
M353-8_v2_trim_mvmt,353,True,8,5.0,"(109, 7400)",M,0.19875131510668237,0.2020226077851922,0.15324691346755323,0.09157307494678117,0.09117852161785217,0.2268589884753725
M353-10_v2_trim_mvmt,353,True,10,5.0,"(113, 7428)",M,0.16957228345251252,0.18731029840999341,0.1170086678368591,0.2076694145223735,0.1525454976428139,0.12799915720719535
M361-6_v2_trim_mvmt,361,True,6,5.0,"(108, 7428)",F,0.25577890466855674,0.30980333354472994,0.10836086446489784,-0.05101265935872351,-0.06403830863105607,0.12380620549793181
M365-6_v2_trim_mvmt,365,True,6,6.0,"(87, 7428)",F,0.26470800515226806,0.3266475023368539,0.14285341188483971,-0.12801970067460935,-0.0942198636907549,0.036115013093318084
M367-6_v2_trim_mvmt,367,True,6,6.0,"(162, 7529)",F,0.2894403222832209,0.3223803209157829,0.17741103820453366,-0.6365020183627658,-0.5779743152499591,-0.08474233359345644
M374-6_v2_trim_mvmt,374,True,6,6.0,"(72, 7417)",M,0.19250863232806945,0.21415302157123173,0.09607949835025305,0.12266256252404774,0.11774614167842332,0.15075883886965072
M374-8_v2_trim_mvmt,374,True,8,6.0,"(68, 7125)",M,0.1726002075324164,0.20043106135389233,0.10082291548136048,0.23957558366103374,0.24714812059375774,0.09273036454458497
M374-10_v2_trim_mvmt,374,True,10,6.0,"(68, 7649)",M,0.11328444498855413,0.12158985089056408,0.0765423526568388,0.43126461593811843,0.20831084727468968,0.1965371469688793
M387-6_v2_trim_mvmt,387,True,6,7.0,"(90, 7540)",M,0.2050814840970301,0.24774801793838397,0.09492360604526737,-0.003673319456348698,-0.060140402432553766,0.07586425043875761
M387-10_v2_trim_mvmt,387,True,10,7.0,"(117, 7462)",M,0.1567113585222498,0.13592433225140185,0.13387653220475404,0.20854852196153656,0.01953666814224583,0.14686931287196892
M396-6_v2_trim_mvmt,396,True,6,7.0,"(89, 7528)",F,0.21167299900701125,0.236861583682946,0.13682081046238861,-0.14090775612083833,-0.04393789230260986,0.043121168740593914
M397-6_v2_trim_mvmt,397,True,6,7.0,"(69, 7503)",F,0.2655900751051035,0.3282031874541913,0.11951581115443623,-0.2687965166320692,-0.08942163265994969,0.03802339122069769
M410-6_v2_trim_mvmt,410,True,6,9.0,"(99, 7428)",M,0.200959459941163,0.24321589497909235,0.13416217397753608,0.13119178662150718,0.10637171888230314,0.1146362545865086
M410-8_v2_trim_mvmt,410,True,8,9.0,"(102, 7532)",M,0.18959286781645832,0.19762290978949254,0.137889796604198,-0.019796875805536938,-0.037428468319843276,0.19790001890326686
M410-10_v2_trim_mvmt,410,True,10,9.0,"(71, 7137)",M,0.1940193116943571,0.21391464677009409,0.13421918405283595,0.08615866334727817,0.08004174900974431,0.26196648102045533
M412-8_v2_trim_mvmt,412,True,8,9.0,"(135, 7515)",F,0.21474568958386234,0.24325651037301707,0.13080240135901275,-0.07743669307918215,-0.1174433423837757,0.1067582793077335
M412-10_v2_trim_mvmt,412,True,10,9.0,"(101, 7163)",F,0.09453299780329551,0.11573967956172404,0.053364945635655706,0.38497111844057025,0.22563391096452196,0.45456607856482206
M415-6_v2_trim_mvmt,415,True,6,9.0,"(131, 7585)",F,0.17801598062899607,0.15181075093778085,0.18938300476086828,0.13424094919379373,0.23475475780008787,-0.06047392083291081
M415-8_v2_trim_mvmt,415,True,8,9.0,"(62, 7420)",F,0.09725249658258389,0.06019496873017648,0.09938361681088836,0.08500700229092292,-0.24205260218082905,0.05394597307558426
