id,number,GCaMP,age,cohort,monitoring_frame_range,sex,GCaMP_funcrep_segment_0/2,GCaMP_funcrep_segment_1/2,dHbT_funcrep_segment_0/2,dHbT_funcrep_segment_1/2
M39-12_v1_mvmt,39,False,12,,"(88, 4695)",F,0.9990169399218414,0.4060365099018674,0.9812904950163388,0.7747037629151787
M42-12_v1_mvmt,42,False,12,,"(113, 4794)",F,0.9976029414789536,0.6117336600661187,0.9370193730666964,0.9497314190388944
M44-12_v1_mvmt,44,False,12,,"(93, 4987)",M,0.9965730831485462,0.5797884970640977,0.9755678908101314,0.8947791315620016
M45-12_v1_mvmt,45,False,12,,"(81, 4877)",M,0.998323826583231,0.9114044104861982,0.961704293562436,0.9179715567136696
M46-12_v1_mvmt,46,False,12,,"(116, 4835)",M,0.9960798615308706,0.7510162859881736,0.9790739376449044,0.8662291525420839
M251-6_v1_mvmt,251,False,6,,"(52, 4966)",F,0.9969393189342826,0.7846855660867236,0.9831975228148594,0.9369216287976688
M254-6_v1_mvmt,254,False,6,,"(51, 4955)",M,0.9955300286295992,0.7542538818784996,0.9714524114977908,0.9445067903694307
M308-8_v1_mvmt,308,False,8,2.0,"(88, 7378)",F,0.9964071281567558,0.5785070711202095,0.9858586180039274,0.8366099168347167
M308-10_v1_mvmt,308,False,10,2.0,"(111, 7328)",F,0.99565542448646,0.6660741250218536,0.987925139216341,0.910689510866605
M308-12_v1_mvmt,308,False,12,2.0,"(135, 7630)",F,0.9930260101655176,0.8069157295907379,0.9085859731777632,0.9259494713403754
M308-14_v1_mvmt,308,False,14,2.0,"(107, 7269)",F,0.9951324774036864,0.7659239113874908,0.9837424669436352,0.8849497912063754
M316-8_v1_mvmt,316,True,8,3.0,"(83, 7579)",F,0.998104107890297,0.7154756046444294,0.9163505026645646,0.4805628828233193
M316-10_v1_mvmt,316,True,10,3.0,"(104, 7207)",F,0.9916179545751718,0.5774630567190505,0.956291056184588,0.7165870830040088
M316-12_v1_mvmt,316,True,12,3.0,"(94, 7392)",F,0.997505038921264,0.5961661044929816,0.9528407479317214,0.6409724823112158
M322-6_v1_mvmt,322,True,6,3.0,"(140, 7572)",M,0.9979215790048668,0.5258368100038872,0.961559762197819,0.6047300686133525
M322-8_v1_mvmt,322,True,8,3.0,"(83, 7594)",M,0.9984075291972044,0.6436592019950996,0.940519994392001,0.8810505785061321
M322-10_v1_mvmt,322,True,10,3.0,"(45, 7308)",M,0.99833587596606,0.7677036549261124,0.8880181938979502,0.8499681917716658
M322-12_v1_mvmt,322,True,12,3.0,"(182, 7577)",M,0.9954696226619127,0.6693928286558875,0.973226183192194,0.9140087232862222
M353-6_v1_mvmt,353,True,6,5.0,"(97, 7497)",M,0.9961205403587012,0.5426278088956549,0.9536506862028896,0.6711837076146551
M353-8_v1_mvmt,353,True,8,5.0,"(109, 7400)",M,0.996940379741592,0.6868139873831581,0.9783058062405068,0.9500550249306864
M353-10_v1_mvmt,353,True,10,5.0,"(113, 7428)",M,0.998348423836042,0.4048149487036537,0.9633246314956626,0.8003576539185572
M361-6_v1_mvmt,361,True,6,5.0,"(108, 7428)",F,0.9980372227817128,0.4074629348073044,0.9758688418482424,0.9063516824692518
M365-6_v1_mvmt,365,True,6,6.0,"(87, 7428)",F,0.9941922840017612,0.7666631181108513,0.976086013642812,0.9097109743588015
M367-6_v1_mvmt,367,True,6,6.0,"(162, 7529)",F,0.9946869091484472,0.6553646826982255,0.9878392887015378,0.944915461551432
M374-6_v1_mvmt,374,True,6,6.0,"(72, 7417)",M,0.9973214875673534,0.7098772546273632,0.982933758718172,0.92633247273007
M374-8_v1_mvmt,374,True,8,6.0,"(68, 7125)",M,0.9975047234898516,0.5523663791749903,0.983521482665096,0.8728403067967876
M374-10_v1_mvmt,374,True,10,6.0,"(68, 7649)",M,0.9961073805980584,0.7971738907017196,0.9757319903985048,0.9378305755388424
M387-6_v1_mvmt,387,True,6,7.0,"(90, 7540)",M,0.9982334686661234,0.6119442602379228,0.9785661867889474,0.8860675510537921
M387-10_v1_mvmt,387,True,10,7.0,"(117, 7462)",M,0.9986200601430284,0.5934586948299548,0.938264456564258,0.9094849728242246
M396-6_v1_mvmt,396,True,6,7.0,"(89, 7528)",F,0.9970922419588316,0.5802707564693023,0.9849329397714994,0.9648103735758335
M397-6_v1_mvmt,397,True,6,7.0,"(69, 7503)",F,0.9974213384115252,0.5172017308192475,0.9619142837218808,0.6244618819646461
M410-6_v1_mvmt,410,True,6,9.0,"(99, 7428)",M,0.99740454026771,0.5465900292964012,0.9202165454068088,0.8095697378267264
M410-8_v1_mvmt,410,True,8,9.0,"(102, 7532)",M,0.9949415807364006,0.5076079908752765,0.9465304507122804,0.8530107080754943
M410-10_v1_mvmt,410,True,10,9.0,"(71, 7137)",M,0.9948395419136732,0.510400595962634,0.9294154567628514,0.8538971862930373
M412-8_v1_mvmt,412,True,8,9.0,"(135, 7515)",F,0.9904263063933418,0.580928977207944,0.9889379528570408,0.939091882245898
M412-10_v1_mvmt,412,True,10,9.0,"(101, 7163)",F,0.9983435391519944,0.4101109384519317,0.9680212523638934,0.9604654037465482
M415-6_v1_mvmt,415,True,6,9.0,"(131, 7585)",F,0.996203196436766,0.7615291616587516,0.8636123085275657,0.8554723222671666
M415-8_v1_mvmt,415,True,8,9.0,"(62, 7420)",F,0.9984406885647652,0.4691563082213881,0.9687167456849812,0.8253023743419473
