id,number,GCaMP,age,cohort,monitoring_frame_range,sex,funcsim_whole,funcsim_segment_0/2,funcsim_segment_1/2
M39-12_v1_mvmt,39,False,12,,"(88, 4695)",F,0.2512765547300605,0.2475973675153606,0.2352137253812522
M42-12_v1_mvmt,42,False,12,,"(113, 4794)",F,0.0368394348016988,0.08037853595347,-0.1979602163177543
M44-12_v1_mvmt,44,False,12,,"(93, 4987)",M,0.2382104847055643,0.3293107412898762,-0.0782456536864515
M45-12_v1_mvmt,45,False,12,,"(81, 4877)",M,-0.1081658413901814,0.0294108447856065,-0.2873113403605173
M46-12_v1_mvmt,46,False,12,,"(116, 4835)",M,0.3182478062828059,0.3597036533175949,0.100859471190285
M251-6_v1_mvmt,251,False,6,,"(52, 4966)",F,0.6126507035662155,0.6325484501378174,0.4070334954220303
M254-6_v1_mvmt,254,False,6,,"(51, 4955)",M,0.426009471414873,0.3676631689759685,0.4889015231208102
M308-8_v1_mvmt,308,False,8,2.0,"(88, 7378)",F,0.5619220002959633,0.6038040210942955,0.1530590708393063
M308-10_v1_mvmt,308,False,10,2.0,"(111, 7328)",F,0.3329422536058646,0.3262684427668871,0.3866467217787024
M308-12_v1_mvmt,308,False,12,2.0,"(135, 7630)",F,0.5376410583294345,0.6060055167459132,0.3637840054995532
M308-14_v1_mvmt,308,False,14,2.0,"(107, 7269)",F,0.5059978523097663,0.4460267642126264,0.4783000485093246
M316-8_v1_mvmt,316,True,8,3.0,"(83, 7579)",F,0.5785563751042757,0.7607377814698697,0.0082952690701077
M316-10_v1_mvmt,316,True,10,3.0,"(104, 7207)",F,0.4819163380900623,0.5863812300338839,0.2371956814202977
M316-12_v1_mvmt,316,True,12,3.0,"(94, 7392)",F,0.6224300992485837,0.7624327448408342,0.2381953190622038
M322-6_v1_mvmt,322,True,6,3.0,"(140, 7572)",M,0.5833490335650816,0.6770571292704101,0.3058960949902092
M322-8_v1_mvmt,322,True,8,3.0,"(83, 7594)",M,0.4791183796492794,0.6326555359941579,0.0970338291032433
M322-10_v1_mvmt,322,True,10,3.0,"(45, 7308)",M,0.6086118890297062,0.7481848874966289,0.2837452816700277
M322-12_v1_mvmt,322,True,12,3.0,"(182, 7577)",M,0.44835135489634,0.5181962207651769,0.3709732082041179
M353-6_v1_mvmt,353,True,6,5.0,"(97, 7497)",M,0.5079589386036881,0.5612711861474105,0.3018006176680223
M353-8_v1_mvmt,353,True,8,5.0,"(109, 7400)",M,0.4538480213765005,0.5187258762692631,0.2406526566187311
M353-10_v1_mvmt,353,True,10,5.0,"(113, 7428)",M,0.634371470903736,0.6824875721781883,0.3575507474641874
M361-6_v1_mvmt,361,True,6,5.0,"(108, 7428)",F,0.6370762814565012,0.6687341293341702,0.3850488267186699
M365-6_v1_mvmt,365,True,6,6.0,"(87, 7428)",F,0.5486396119463155,0.6180870157680415,0.3581377376209966
M367-6_v1_mvmt,367,True,6,6.0,"(162, 7529)",F,0.5879274649044836,0.6198442532086801,0.3247853240827481
M374-6_v1_mvmt,374,True,6,6.0,"(72, 7417)",M,0.5637184737541703,0.5937076934034727,0.2782302731230046
M374-8_v1_mvmt,374,True,8,6.0,"(68, 7125)",M,0.6179466658086744,0.6722599895723983,0.2284626860488949
M374-10_v1_mvmt,374,True,10,6.0,"(68, 7649)",M,0.4548028716602087,0.5197845748875004,0.1597800778206355
M387-6_v1_mvmt,387,True,6,7.0,"(90, 7540)",M,0.5983875790429927,0.6564770805508914,0.2636704602464295
M387-10_v1_mvmt,387,True,10,7.0,"(117, 7462)",M,0.3012714752085532,0.4163573776853605,0.1731188808200117
M396-6_v1_mvmt,396,True,6,7.0,"(89, 7528)",F,0.378139282463869,0.4265753035585699,0.3323424345819153
M397-6_v1_mvmt,397,True,6,7.0,"(69, 7503)",F,0.6818129289918852,0.7684079897368103,0.2707062132870685
M410-6_v1_mvmt,410,True,6,9.0,"(99, 7428)",M,0.4155207301894491,0.4850199338847482,0.2254756261350413
M410-8_v1_mvmt,410,True,8,9.0,"(102, 7532)",M,0.3937004051994256,0.5232089441965748,0.1393977637396613
M410-10_v1_mvmt,410,True,10,9.0,"(71, 7137)",M,0.3276587551571511,0.4272697093718917,0.0448601932885461
M412-8_v1_mvmt,412,True,8,9.0,"(135, 7515)",F,0.248926790819838,0.1943362937098915,0.234016648164224
M412-10_v1_mvmt,412,True,10,9.0,"(101, 7163)",F,0.1462852777825954,0.2233976686804108,0.0524800773455809
M415-6_v1_mvmt,415,True,6,9.0,"(131, 7585)",F,0.0813856544576119,0.2322028840373814,-0.0351481858245001
M415-8_v1_mvmt,415,True,8,9.0,"(62, 7420)",F,0.5170119664841829,0.5501093823751984,0.3008350311909606
